fidelity,blocks,coefficients
0.1189181125637736,18,"[-0.8186696686118203, 1.124753981444906, 1.8759979411855232, -0.42749684497163837, 0.9045535276814918, -0.5943522151886513, 0.5790852289630016, 0.5038170023397576, -1.1123118701639407, 0.514275691182601, -1.0659760090656634, 0.2420649855355427, -0.06296375614532679, -0.11926975745343492, 0.6607699789924781, -1.210036966786072, 1.0392363506019697, -2.0112333365493336, -0.8598667177126228, 0.6403607127189852, 0.012156146053433313, -0.9704937101308754, -2.0973524377825505, 0.8337135947587753, 1.073414031121755, 1.1576277436742302, -1.7941116103452097, -2.5819734962617633, -0.4037058686022504, -0.5070639312433747, -0.7905661229654408, -0.8535792004319317, -0.0710893073747764, -0.3810355057085033, -0.9036986073033301, -0.07481945610870279, 3.614056015727856, 3.5471761097455192, -2.458461417814092, 1.7055204596468512, 1.8545274186313303, -2.504109990401746, 1.9405502935456667, 1.426727809047731, -4.107193763130386, 0.46857884976587666, 3.285796619665053, 0.9552141518435682, 2.5559108991166206, 1.7283477085083927, -1.6695068845736252, 1.4826420674098992, -2.8770404362951805, -1.8417609389884884, 1.5595261735765178, -0.14675276389887557, 2.2865357567583127, -1.674370466484036, 1.890148543488964, 0.5988167695188129, 2.065896809752412, -1.076633171406694, 0.7171035355343408, 2.9315957293465806, 2.982427015170561, -1.6021486178210738, 3.0507676603200498, -2.0499843658682724, 1.652956104401318, 4.262337391693293, -0.22701186334788187, 2.3640416726287774]"
0.18147478498931868,18,"[-1.313451878457657, 0.3473876060823393, -1.2222944139299854, 1.0602562000165423, 0.5526389250843096, -0.29339330012095877, -0.5884349661248531, -0.12217148655321335, 0.4325411110276125, 0.46520889980380364, 0.7747756810115128, -0.9664434703072974, -1.677684126209948, -0.32218892643549346, 0.8028610675238461, 1.1501754771059813, -0.7009790215183008, 0.5530964806928363, -1.434054121864746, 2.1029147206506926, -0.621797702280663, 0.9042309786816222, -1.1037426550961555, 1.7751783398172625, -0.34989017523667326, 1.284371200552056, 1.170291353191695, -0.5154942997421381, -1.3371673476744084, -1.555990337985403, -1.3739597393888794, -0.9026643404175478, -1.5455065598848061, -1.8267814731778997, 1.4901598700943066, 0.9892262285716198, -3.2247291627486034, -0.9266003455606335, 1.2321547751932287, -1.9617492005473178, -1.8630938800763142, -3.942586026709445, -1.9034691595385336, -1.449701299857261, 1.9802614199207398, -1.3818849691630795, -2.016801932507128, -1.958814073781399, 1.5842651348872887, -0.5413345471408166, -1.495159167429951, 0.9540306354518283, -1.8799677569768738, -1.4794289711519426, -3.5146679686468247, -1.9357923505957386, 2.420669268974339, 1.7359938072460595, 4.0805010972653974, 1.3515111337314134, 1.263504373286224, -4.439725916350654, -0.03657583416762367, -2.707192960896039, 0.13109539620740818, 1.0620413638357935, 0.227275025793883, 5.5824095513489045, -0.4873526612328248, 0.8661398272105153, 0.2526129926931342, 1.712864305912174]"
0.04522494427269452,24,"[1.584839041539729, -0.6562912628379381, 0.5471492305440168, -0.6952876991841552, -0.8485721243824342, -0.668778194625726, 0.27725291265140445, 1.4912698579710488, 1.1946170485739875, 0.3732408043787775, -1.5231399372585508, -2.676999734311443, -1.045214877618192, -1.4622437972879267, -0.6252742705094793, 1.0439804009875016, -1.1720612594837456, -0.5546054350040291, 0.6060624141014435, -0.9601453805612307, -0.46956388379132, -1.460326950962131, 1.4113210183602685, -0.1671786466738783, -1.8728900163610342, 0.6093587370383851, 1.2397125993510631, -0.24906553733797748, -1.0171136133329681, 0.5335180450550279, 1.3986127394580004, 0.43589988162810744, 0.4078617265118723, -0.8774993277358383, -0.9346029967987057, 0.5321004620515781, 0.30157143995213886, -0.10210187746890928, 0.05697386893630434, 1.3788948054923944, -1.0080676278673417, 1.350562374127685, 0.8283065688958603, -0.4480157629156911, -0.6569927039065915, -0.298734950590384, 1.1023881921323295, 0.9052654611441815, 3.480104126009661, -4.430128622478064, 1.3266434165123138, 1.5837132474802411, -2.281275336419045, 1.4755727055213017, -0.7915136875107971, 1.4457226883379473, -0.9234451764700976, 1.6544103550217006, 1.6873200209936583, 0.7571977127160322, -1.3951656606179927, -2.0185980802145846, 0.5108317063134753, -1.1286192767486318, 1.9607937494840837, -2.6763357528353966, -0.8565351623367035, 1.556567309171193, 1.3347761483637348, 0.9615759896682781, -1.6546510396454428, 2.3888279328137227, 3.088169848309492, 1.8607849053019205, 2.0754416464155323, 2.052556717710374, 0.3660974178761027, -4.492056077494801, -1.7587689315867387, -2.681757644710889, -3.4159692879739207, -3.073613708086591, -4.5622719447822835, 0.7516990559396718, 1.5307087232327559, 2.4059795835388726, -0.3610836288630083, -0.7689870624572737, 0.8671833613317218, 3.951569506590934, 0.1695664735180528, 3.3316768261982905, 2.6688352883303783, 1.7632282052196675, -2.932804011498423, -0.3994781458537583]"
0.05778196923004808,24,"[-6.970968511987021, -10.039733374548144, -8.206345472204667, 13.291539179711943, -6.358526210741161, 10.043075663725928, 13.333659014295408, -7.609101775660854, 0.2050090273506893, 2.6025668351791906, 1.6404458910243491, 8.569578300122807, -4.196342464029857, -3.1666536146452797, -3.3890907921087483, 7.065070725006257, 9.26372447260703, -3.375218982226193, 6.453721297973114, 4.125296341905861, 0.5219616994364769, 0.40502481407165514, -4.3431547624856055, 2.3562053830604404, 0.7086945736793993, 2.8919919620756667, 20.262903156907143, -14.928506251457124, 27.531025955976833, 10.688243852365026, 12.679856510237292, -1.201998278736023, 6.5606429161427124, -3.22856595801779, -0.705185769162183, -2.0286529751443223, 10.17196831115903, -13.703556652502781, 3.9638519309587075, -0.7495704394068179, 4.975766198611407, 9.926175819844596, -12.468508908127086, 8.15493839326517, -11.056355443452963, -4.131924090499289, 2.528746294107857, 5.147874393950302, -8.59519838967823, -7.302081084094379, -16.53475381663936, 1.4691873307710703, 3.2982311988549826, -8.974305917376105, -2.7798051730769755, 1.8406195848203186, -17.346907608386122, 8.101512669726507, 1.1594211573330755, 2.5141620615129217, -1.473861299126742, -2.3619135470523944, -0.5781700057793835, 0.9332253248365485, 1.1610003297453677, 6.593615725506733, -1.1977855887772877, 3.848197674648083, -4.926592598221011, -1.8309219015688232, -0.16485141624141011, -2.3616431500138537, -4.888609300225459, 6.047220633277407, 17.05076576440227, 2.6206725277341074, -0.4067070769523342, 20.135549494978484, -1.939997673414526, 6.848995699675403, 0.9577295555373015, 3.564960501012501, -7.772962302522618, 5.932438986935956, 1.2184147548337148, -5.7158084311031585, -10.42097945875202, -5.089076891573261, 1.5264665313582386, -8.172142008910644, 3.090100980248479, -0.7116002924587621, 6.79251885161046, 7.354413596853396, 16.65855989388879, 0.3535352728423236]"
0.044554952576083884,24,"[0.3022108388277687, -0.7589077305692764, -2.005711203268647, -1.0095079550128003, 0.24276854486235733, 1.117971130118097, -1.38559855748934, 0.5252206372498389, -0.3770646618199165, -1.2085168777521293, -0.6794098309775898, 0.3332743443537314, 0.3572693935414504, 0.9574166017992762, -0.9618174444765357, -0.13498085330209428, -0.31888554668879665, -0.8422604090406999, -0.9498298853061776, 0.5299405509206877, -1.0159478866841922, -0.5432859506919356, 0.41603690777899577, 0.3091605916461251, -0.3340299929867937, -1.2301228691599189, 0.7487809005848592, 1.8740660744227366, 0.29381165013990085, -1.1682201829986065, -0.17950349022512788, 0.03790408485013622, -1.5376241772518087, 0.8726058280188456, 1.086117385812061, 0.8228224105207421, -1.5740603750724589, 1.1797490516899165, 0.9817420598790197, -0.8287508737495504, -1.0966591323630397, -0.8939312628979668, -1.236750750853804, -0.870078165896447, -1.1233893032077724, 0.5874016852521242, -0.023306820463784475, -0.36406334704061466, 2.895485660275726, 1.065863712950981, 2.3877441651784554, -0.9606707058275247, -1.3202950148234331, 2.3206505746708865, 2.3255879305552716, -2.0958898764736418, 2.1201289991883923, -0.58573125187787, -0.9634373800316678, -1.0959985370129255, 2.5398306143192686, 1.1587184960744417, 2.4831761898525992, -2.0686529901639767, 1.6284905070905449, 5.246152285049046, -0.9551452712657321, 1.1838567947450054, -0.8253993021782128, 1.8162290484877672, 1.4302453723666757, -1.3430963694437656, -1.6308732542563786, -1.00897071984902, -0.8720524553510106, -4.980186410068739, 5.355281194576217, -4.167898087529966, 2.542501167708583, -2.3008068869406584, -1.8374424596015508, 0.4983909996755076, 1.6892389166204635, -1.7000390133765715, 0.7059838629145467, 2.266615348795632, -4.404909386894461, 1.383732268922468, 1.683593193838859, 2.6330753846889223, -3.6881523632900253, 3.044660778393819, -1.4169727678651374, 3.6367691395059123, -3.3427724988542993, -2.3908350232849847]"
0.06954956198446083,24,"[0.17124502167525543, 0.008253873102277905, -1.1399817105364018, 0.11208540623114198, -0.6608573212644124, 0.3729169107715202, 0.01188926627019939, 0.374242481861315, 0.5059678057076904, 0.4047933736242187, 0.14002348778942644, -0.980448693728094, -0.38359565217488784, -1.889187520194978, 0.4703387458586816, -0.7065337480363676, 1.063745563463752, -0.15798041329202467, 0.6202461893382238, 0.6289693799715902, 1.0807002047557364, -2.107869071153693, -1.193751104710203, 0.9738248295440373, -0.8179277630523203, 1.3840828117628354, 0.9608679990747708, 0.9980173889124095, 0.49797420009798465, 0.5334473408891282, 0.4906732119747819, -0.758160828604487, 0.4406497184904211, -1.9627311120951376, 0.6142439807414984, 1.0311386944481262, -0.9003700235410461, 0.45206187093824507, -0.14106726772769296, 0.7929932154539688, -0.25530848357350694, 2.428188949505467, 0.12401468191633526, 1.1212202503345836, -0.16846954379778134, 1.0882263613913756, -0.3393256003025014, -0.706577213913279, -0.7303358597159841, 1.9114349188426436, -1.2730868500773553, 1.0869101407904669, 2.2980894938507728, -0.6290331303143982, 3.9078953811289, 1.1841645732566841, 1.2006190258313147, 1.701654582092353, 1.617416119293053, -0.9798431118816894, -0.5437444556801218, 0.7765414435139156, 0.4249693817339529, 2.3975260924838273, -1.127055502496224, 0.5552702732369734, 0.7859911678891592, 0.5853485156652043, -0.6540776966268258, 2.519665735087831, -0.30995383864651777, -1.8584524185136138, 1.6612151492322045, -0.3808829335461472, 1.657300217833693, -0.06692370027909877, -4.3053535432230765, -2.9300103994812123, -1.7871919280681416, -3.5393909328387765, -0.09602190928038783, -3.8935974439117396, 2.5738738927243414, 0.8695019502822526, 2.429788662854361, 1.2122731128120576, -0.4552696244865391, -1.1636964576004727, -1.6290515859644676, 0.29304658380794296, -2.752533534997132, -2.45253614772763, 2.7083477009728583, 1.2437811130827303, -1.3065888970527175, -0.43561298136872856]"
0.0045351904655962505,30,"[-0.25568168092528987, -0.6815726741670077, -0.2781032484460911, 1.202747811244494, -0.13604853047313578, -0.16603767208172832, 1.1405914405921829, -0.21202592726332936, -0.7503454668924179, 0.5943854969586737, 1.7350483260724028, 0.8910226498730246, 0.9312979973310884, -2.604917409302211, 1.078146837017687, 0.8347847774443529, 0.44659662425537416, -0.2405000134272671, 1.915593471168484, 0.19614100125425218, 1.5993085953715431, 0.5714576430944985, -0.5807722322948141, 0.3861311923307018, 0.6521205708743718, -1.7719010531356398, 1.0833691142270696, -0.4923631379589024, 0.5113630347195152, -0.40870011626950925, -1.6835245365046962, 1.0276847145859869, 0.962319983764778, 0.362989079324307, 0.5106931088358297, -1.1791679597902702, 0.9922816209798527, -0.42706554197527913, -0.07288434845800765, -0.5566395319095666, 0.08041234406915353, -0.28252258952432696, -0.8665747862562201, 0.9589767887055775, -0.49099123721944216, 0.6322189056553748, -2.011515144126569, 0.747621665610935, -0.5658870875786708, -1.5725231402565754, 0.7866816210427523, 1.4728262745797616, -0.5568857751155363, -1.193610006600353, -0.7786820151996561, -0.20485291284275733, 1.9317670868351564, 0.3817245129762515, -1.1000600506611615, 0.20683266390572314, -0.9386010783912353, 2.036580628235852, 1.305701371799789, -0.681162782487947, 1.9780711503811221, 2.154580041910891, -1.4568439554345716, -1.9493863592330163, 1.8011496428735587, -0.5484271096639168, -0.4421082883839953, 2.298324564408933, -0.522549609141508, -2.7242746033125407, 2.3965823442502048, -1.8162612171091659, 1.3944641304606884, -2.822911914331551, 2.5131996642640715, 0.36519314240119966, 2.475243142324367, 0.47067112251179155, -1.79318284678053, 2.1130434356254217, 1.1723711635674792, -2.413363701533694, 3.770438957289054, -1.322971694054678, -3.548971186702353, 2.4378463347400965, -1.4936636041162157, 2.531833114805531, 0.38792342162434, 4.220152325238957, -1.4506217073167476, 0.4391262278687774, -3.444882080409395, -2.204355080769195, 0.7465454059628617, -1.5332932624023428, 1.1250792133327538, -3.070617150607353, 3.0334152967271324, -1.4658558018024288, 1.042430374680734, 1.4118241145724453, -2.933646647274682, 3.7197745016204444, -0.3356009354031684, 2.981514009261043, -0.7246601697618545, 0.8744980087629601, 1.6545738556075267, 0.6823102902034466, 1.8985080165057906, -1.9531780722935803, -0.014485091060659018, 1.2962707763750718, -2.674736505730552, -1.351956228710806]"
0.006716706597441058,30,"[-1.2034303967635365, -1.6694512746421306, -1.0633040228021928, -1.0376705620993636, 1.1407536334880175, 0.7427991488452558, 0.07935559393778045, 0.5029160551204238, -0.6812461896106925, -0.3986585055943036, -0.08628834299622838, 0.7779967421042889, 1.218132530539233, -1.4122492082520464, -0.5533159188379155, 0.33263034761963445, -1.6515184739529272, -0.35111292080598616, 0.036372944080170735, 0.5296533170938114, 0.739855216872813, -1.2765270956114323, -0.5285230413214934, 0.26368976052285426, 0.11491066425442407, 0.8125764450207704, -1.7558708625898347, 0.4542626921769756, -0.5502592673474069, -1.0501425452099558, 0.7054208336323811, -0.34099047026232704, -0.8194372803925329, 1.9833313390158427, 0.17581316414452927, 0.10892329727241663, 1.4569842147958751, 0.33729312071059014, -0.9296426688696751, 0.2367613985728704, 0.6777236732644, 0.3064639719950393, 0.9532268217516803, 0.8901704892926551, -0.45968445297290894, -0.7142909097726605, 1.0691454303926944, 0.9839896827789991, 0.7181866739578769, 0.9406667308324107, -0.7263211035021248, -0.6077833567936579, 1.5344106022538113, 0.3419920866771242, -1.0891254627434992, 0.4343261112064617, 1.7207308547979097, 1.1227869860044322, 0.0609661317513454, 0.47277282080974564, -3.3394132909628107, -0.36480397798562636, -1.1524053634557905, -3.5690405209524716, 1.77074192652235, -2.431157352839379, -2.4483020045471724, 1.7921370813127324, 1.7997253390610495, -0.9120812718020703, -1.6042875030832788, -2.0096219690010164, 1.5589448186445927, 1.8178203632533705, -1.784605532610468, 1.5011042779504682, 2.166413872030988, 0.5132077298922635, 1.8704041930882764, -1.9640404382860333, 1.907325665785281, 1.7597405031488575, -3.130215221276704, 1.8839587768630177, -0.7556816835591141, 1.7316364025419602, 2.2111116389308116, -0.3393055843623654, 4.790895681664902, -2.0583455852947705, 0.13365063548873005, 0.20031000681957323, -0.7461111423685942, 2.9617819654797444, 1.1957131724384558, -0.8223426670250538, -2.4234181822555274, 3.0233872159995423, -4.579646138352355, 0.7532666316535527, -3.133215874733739, 1.1481455862837728, 2.0773642708606266, -3.6550802249894083, -3.048980663909202, 2.2304321913351695, 2.0922083758796837, 0.2710146515320514, -1.2797182427201441, 3.7267237406380795, -1.9923208378632615, -2.745101291042186, -0.9040126184556783, -2.6444788190337807, -1.616150130292917, 1.1526592466968817, -0.10025468803027739, 0.4729373395044765, 0.5209998744088444, -4.59372405793137]" 
0.0053378507649145535,30,"[-0.7201359334393567, 0.3689920529151569, -0.03442090951011872, 0.9946223292985116, -0.6032011068333639, 0.9797335029079013, 0.42483729050690006, 0.8642388922340128, -1.0498926649770373, -0.06490586811831504, -0.9389833688859939, -0.06758458211180303, 0.7382400925589458, -1.3815614984408706, 0.37105812990650167, 0.8855161998696212, 1.6135164376661222, 1.4172965777444622, -0.559929879863193, -0.536628078686346, 0.3684669083155353, -1.2347596904367315, -1.0449299298981722, 2.1761609225111114, 0.9468189708277203, 0.8637370010139613, -0.030780348463758534, 1.1580269650619033, -1.3441885679914076, 0.2528624073435109, -1.0021015848023163, 1.4039049714206935, -1.099338780182064, 0.3879896568305069, 0.1889917834729391, -0.5623143182545425, 0.9179108422549489, 1.4777567829142813, 0.37178697751179335, 1.1795584110415898, -0.5678288200866137, 0.5990131218170328, -0.9558030140164632, 0.13560520616719793, 1.378936217492367, -1.5944680149330646, -0.4337885301994745, -0.40701334279624285, 0.4711235371267836, 1.2995747084196572, 1.0395413126922417, -0.263569257303731, 0.5148406943142319, 0.744143303387307, 0.4725571932840711, 0.3418336774728664, 1.308796444667123, 0.2712351830493211, -0.5345585678935451, -0.07185750250102714, 1.4561030354364894, -2.4769214974304155, -1.9223538706877998, -2.149220492859175, 1.0347185070110392, 1.3916533084354334, 1.2934185092608292, -2.0119716141093984, -2.2195605642964154, 0.7395403145723692, 1.1285435895242915, 1.2620672006576374, 2.361363119707829, -2.4977236210456044, 1.2477613365863898, -1.9726965559870364, 2.0545621735567847, -1.091883524870481, -2.117626349206725, -4.296890672717163, 0.5068008746142987, 0.911451077498923, -0.9972098429524985, 2.119493742100194, 0.8832310625790276, -1.6701453751388, -1.8066731925887387, 1.5811602264123672, 0.7371257653441433, 1.7549740965256209, -0.6996212483045762, 0.7418477020138535, -0.23820291132347227, -0.8755512506799352, 3.1741816851241658, 1.6710032833941124, -0.7114901495307496, -3.6507646381779164, 2.3622123704607656, 0.42586538822181275, 0.4696083272874656, 1.1266549294447217, 0.8758508250180214, 2.2866825003306115, -0.11011558782135196, 4.3284790904884565, -2.324837993965334, 0.6255326384070741, 0.6159791170712793, -1.9320668050216552, 1.7824235910907027, 0.983688349900962, -1.425901611653067, 1.3535744784809207, 0.953805621375858, -3.086595133468634, 1.2704937805687972, -1.355424386218391, 2.18226305320272, -0.1167944398848518]"
0.007014970903225004,30,"[0.8514084863041478, -1.4748274788306108, 0.9355164248934716, 0.5996561491549758, -1.0585567616706117, 0.21939329254004195, 0.4679126403364864, -0.5377194792350848, 0.5814257973443894, 0.9818047777688415, 1.029030729258396, 2.2522702511509234, -0.8794947426164255, 0.5725395737897021, -1.0687098016073118, 0.06885395305791166, -0.7015188772747412, -0.10168042973672546, -1.299227206384423, 0.2712309085834569, 0.14168519429155857, 0.9212538064263719, -2.2116524865021776, -2.297622686168588, -0.05233169998650236, -0.4517209242529461, 0.45656077028863923, -1.3827272228750749, -0.7154374037266714, -1.1179103901037781, -0.0870416329865363, -0.3132511102872921, 0.7697966467225226, -0.7720220023293101, 0.7218610916891874, 0.6675353915595821, 0.8255773505878841, -0.7442220459422041, 0.8668177981590965, -0.6518664290576768, 0.005301897449550647, -1.0010104794278216, -0.15302036387803206, 1.7720858105865132, 1.4240934629716508, 0.9352537098227601, 0.23001278579722292, -0.829453636120608, -0.15099680840911056, -0.8327318551564534, -0.9395429137482064, -0.7547159638779367, -0.41013463833229474, -1.9477507228454378, 1.4122711433592667, -0.3243758541287201, 0.32639452097486743, 1.0667211539188357, -0.5779105956479706, 0.4694016951017969, 1.5450649446834106, -2.1418413787821797, 1.287586620469139, 0.9643948911234334, 2.1087695522878125, 0.7414205585862271, -2.455889645917896, -2.151651722244594, -0.691435640974729, 0.36929182379994285, 2.577243408300892, -1.0646159989870723, -4.5185192683053375, -0.48986839749045596, -2.103760636348886, -1.7413374087357942, 1.356269474612221, -2.1774300166805793, -1.953693486769892, -2.1515619430039634, 1.585639957248655, -1.503793435924245, -1.104579348537839, -0.2509434331907698, -1.0911681119756955, -0.6111745856950414, -1.2177214456756595, 1.4045198225427333, -0.740119456060478, 0.8056958547014499, -2.709985788166824, -2.478128601351371, -1.0699656604438166, -0.3426773833101622, -0.7908817543493128, -1.2357661761844811, 1.838386473844649, 0.08285099952507262, 1.0221771311533427, -1.3668925983617755, -3.595798082674515, 2.6061903778212834, 1.9524457760820482, -3.048728522773264, -2.6553423105045684, -0.26465409273516616, 2.5060719605989186, 1.284767050508587, -2.453032549354315, -0.6858682480516, 0.8896485293644846, 2.8018582293342624, -0.7928693695027517, -1.5869696265231459, -4.381511465107042, -1.8730599877051006, -1.0129522573107683, -1.7315591548607188, 0.15473977034837877, -3.287429943946399]" 
