fidelity,blocks,coefficients
0.05663763133430677,18,"[-0.9282730656279983, 0.7670776977539211, -1.1031701488911296, 1.7416273450528617, 0.13042090933126688, -0.5756449180051357, -1.0940387003865881, 0.00027431625064078084, 0.2487473423795811, -1.5551966220968052, -0.41306855690349215, 0.32934851062124104, -0.37705675231495134, 1.3315361623914133, 0.715959395750249, 1.2613178674885221, -0.44554548839314245, 0.031595950813955456, 1.3849306608395477, 0.4754576408963436, 1.5898944396155947, 1.5000664557903385, 1.2025505908178697, -0.1721194567710883, 0.24884002636595426, 2.204010281066163, -0.9321277912736409, -1.1808854231386803, -0.41513519476784577, 1.5757628922616311, 1.183655540268475, -0.6647371003403306, 0.8625682078209215, -0.0502400097874536, 1.7192601235740204, -0.5829435074650862, 1.7914661619363923, 1.7742673844461048, -2.87686113847812, -1.990798116173762, -0.31357271932564534, 4.633835652748263, 1.378478934733461, -2.330501758015911, 3.5353572960810418, -0.37896029233396206, -2.4815274446761935, 0.5505247648751981, -1.079452992854872, -0.39413327062187004, -1.7939123996285182, -2.0049754348741247, -1.2360351623090022, 2.046651029768641, 2.1913352928264485, -2.1751813561881574, -0.8330522260117831, -5.570585963163833, -0.6206292714512215, -2.405636148754761, 2.3928727484515666, 0.7974518354615294, -0.7979676362169296, 3.9647616625168483, -0.8078688755052496, 0.8544127112140429, -4.039359787889537, 4.022312253435135, 2.264009186988469, 4.054021554109867, -0.9201476252175186, -2.1956465478555725]"
0.019084244543606688,18,"[0.5465926049374713, 0.5653060285381617, -0.8765567024367006, 0.9683131496271243, 1.8942981005876067, -1.3924015441523439, -4.67520044189795, -1.5813245117245263, 2.3193874126435223, 0.03872606796812037, 2.217312019520284, 0.6217112546415365, -0.23661776330726475, 1.7717981713953361, 2.1451550299722504, -0.6874605385500979, 1.1416957662045022, -0.9341861619340964, 0.2537300664273308, -0.07469225172589469, -0.6936932936085798, 0.45542482578340143, -0.9550646287596143, -2.138701395084538, -2.2232854324737223, -1.1361134157930466, 0.726780328106418, 0.47940428065215046, -0.5398366429376014, 1.1361501691620706, 1.0191103736138918, 0.2024184709131088, -0.9336206141667381, -0.7962395361812985, -0.55244967362065, -1.8738835751185188, 1.2048458462393477, -0.8258214508619762, -0.015848250257811062, 1.785628285241874, -2.259924412099907, -2.965292285776322, -0.6058358810150528, 0.7218531556599277, 0.030449330672392843, 1.9293268706488937, -2.7679166494494436, 0.5281982063153695, -0.769061276512383, 1.4042730103895897, 0.9698402933787598, 1.076729848454087, 2.2708105327390045, -1.2787186150032364, -2.426395738105655, 2.413450202518517, 3.1374184439375115, -0.7187999082289626, 0.7207363367108696, 2.3533553157555103, 0.7664510053012022, -3.9883941349761614, -1.8202081522409959, 2.2468333909427414, -2.345177437531328, -0.5869713495599151, 3.8193946372213494, 2.4725081315788406, 3.8850648267049745, -0.7555721289632905, 0.7402385280987768, 2.396673890387054]"
0.0032228365036939266,18,"[-0.09203229563398888, 0.22617790395669338, 0.03774653603743304, -0.042103299819448554, -0.042454696622666176, -0.010462726749258345, -0.0955563174990084, -0.0571463896335961, 0.06194358588865364, 0.22977188014741562, -0.20293534341855132, -0.06244436209099407, -0.047442765716164674, 0.08916392985278297, -0.14275710662636037, 0.05550897596867214, 0.007864372414621743, 0.06878836828050057, -1.0414563341996927, 2.1736900100276357, 0.10103067644375573, 1.2538042659523823, 1.2167549168102652, 0.23319106670791748, 0.6999369165862697, 0.691740742441177, -0.8596949258049426, 1.8607664132194655, -1.9593190123597042, 0.18039065656107064, 0.27199387595212543, -0.1880135169734987, -1.3217577486888834, 0.07636701836449956, 0.20967741852765634, -0.017766604923451543, 1.9511963581011547, -3.637765858374128, -1.8356940607439025, 2.0998970497265965, -0.22377247474264153, 0.6844126268010082, -1.0059689056567844, -2.406089797080352, -3.3873064102452037, 1.6594605503525441, -2.5000151409038556, -1.7587198196054379, 0.2834059890868721, -1.5514040513409033, -1.7384047064423016, 1.4051370671134318, -0.2318855478984107, -2.8479333569096528, -0.373252682365011, -2.2484905361322056, -3.0597404566706667, 1.965759606135278, -2.19563397262529, -0.7641406542558403, 1.7379206925202382, 0.6959367159232714, 0.4203142248643061, -2.1879767647070705, -2.5523740630386484, -1.1038002023921953, -2.2533286295680446, -0.3190253472064752, 2.5869274777720177, -1.5351984803891288, -3.0794903101315207, -3.7793680023144267]"
0.0030404279508758902,18,"[0.053116683632254455, 0.1257475427586204, 0.11363770620643597, -0.1643395132640816, 0.07736703947936777, 0.05238605847648843, 0.16359610555780393, -0.22368374981573533, 0.05305058852107747, -0.04214155952395594, -0.04482274294423141, -0.26314281691516683, -0.011981222449260141, -0.11700747185742062, 0.09343807707486322, -0.018725041716816798, 0.06149546937781112, 0.007623774210405937, 1.2891470683125599, 1.3982740190609162, 1.3459632712560174, -0.3905165416501358, 2.168544574713215, 0.11714223739529883, -0.41429272719838567, 0.5384362713379521, 1.8680508590010028, 0.24048471116846068, 0.10754080757667553, 0.11716795942743755, 0.203974136339546, -2.3448629864821453, 1.287459782716566, 0.0043459238069798265, -1.3186487321001643, 1.6021005842968017, 0.8436929982273832, 0.930259147876864, 0.34311492118727294, 1.0672143654048265, 1.3101497809943887, -0.44713678023669806, 2.9364561439542474, 3.305888995534053, -3.1526376453812737, 1.7458594095196351, -1.336440512141167, 1.2047462916515084, 0.9246708357586069, 2.0508863987704857, -2.7574794043882576, 0.4016659992016325, 2.358968898369351, 2.4414805322365383, 3.1087232833141014, 2.2914715121943794, -0.4473535407697938, 1.007301917685488, -2.0156557093078473, 0.6970858676463961, 0.12177163721783067, -0.7923877043556974, 1.461407450406204, -3.1707631080761813, 3.720708520811978, -0.73278136483727, -3.402794501795526, -1.979880182149481, 1.4237858351787436, 0.05865559792926377, 0.8248735602605987, -1.8138565851912463]"
0.0032006534683387544,18,"[-0.00845969286056674, -0.006596625541950673, -0.028208513292439754, 0.19656141093685384, 0.031445118123893334, 0.02946869495312342, 0.03620145861070271, 0.07509548813339244, 0.007688211858838175, -0.06925592280424218, 0.011905263992925639, 0.014230250162887979, 0.029486270641712997, -0.17841236510972086, 0.017094526705124586, -0.025171133411705113, -0.004664833734377127, 0.046312613385123866, -0.2629258433830412, 0.4162614262075267, -1.7669807186206539, 0.21318130885270875, -1.1468413792697085, 0.43858889488684616, -0.057198064566853696, -0.3803604020190339, 0.34195864345432603, -0.9730680880780139, 1.434330669296137, 1.1551870318374857, -0.6261879322672494, -0.5058155758149617, 0.6470915531691193, -0.43475483229941103, 0.3624602748900878, 1.6847445930732114, -0.4758321874668991, 1.4025395464477195, 4.381049485503542, -1.6724563394120326, 0.24111136427980448, 0.014155336483867615, 0.7203731791737344, 0.13691812056144345, -2.2625702843835223, -3.4518401369930864, 1.2154035128525449, 0.28107660088115866, -1.4673273644136016, 2.769275147690073, 1.8753377649193061, 2.5539142502712218, 1.3530983128032208, 0.9958049595051939, 1.575757883081652, -1.241122269524993, -2.043700160455194, 0.43602846865482275, 2.2268027454310153, 1.7491123809709377, -2.1379084201745964, 1.6258268213514306, 0.7838245225030571, -1.3532122395465291, 2.2032446054541492, 1.934469344544919, -1.1199925598961342, 0.3526167862927873, 3.54377838686964, -0.10194975537909909, -1.1131078225032272, 2.7893421939040657]"
0.001680200632899087,24,"[1.2171362205672893, -0.7814921918683654, 1.1924042653099793, 1.78624500668594, 0.2511691124045913, 0.11323938910886241, 1.3404450996545214, -0.06355438380526163, 0.4436928120270564, 0.41511673501819357, -1.2599217563259257, 0.8540524726146357, 0.9254142095684719, -0.09590214517186547, 1.1130209566594091, 1.1823678403585218, 0.5607570996840947, 0.6800593250264121, -0.19649860075816464, 0.35960535908679503, -1.6585379600583228, -1.2007476538301314, -0.21692507208808176, 0.2234705968555214, 2.4567033363844124, -1.5558681015990323, 1.7971818888311597, -1.4075806270196511, -1.1929329501188297, 0.1524946766047103, 0.9170505264306208, -0.11138030953651529, 0.17064276757899122, 0.11736981128680213, -0.9132578928684981, 0.16242228276470974, 0.212476482461399, -0.07113607579311407, 0.7761685937053773, 0.6766600511290365, 0.20909965523270901, 0.1493199719499494, -0.6459907473268338, -0.7291188703053173, 1.280146175335447, -1.83093748742693, -0.4467058016806289, 0.45137351548866084, -0.03345549287037931, 3.183433812166415, 1.619054058254044, 0.006410113907069503, -3.269597173450523, -1.5634334089136284, -0.8618171951676099, -2.038089274049592, -1.4677973116643384, -0.36967276967450435, -1.4546180318812376, -1.1599555113072806, -0.313276473698399, -2.693696073073866, -2.4477967948251784, -1.0638744223259333, -2.301763550591794, 0.2838453302778025, 2.718831737114909, 3.3757241635211277, -0.0022104490562754077, 0.004461732619594869, -1.575719428373247, -0.07431338235405009, -0.508788401933864, -1.2491681101843768, -0.8913393490033412, -0.02907796540726465, 0.7465527869331486, 0.04831832054223611, -0.42969443794514206, -0.31432524622002705, 2.1696483752062217, -1.0518219424664503, -1.962307175620657, 0.4957473934947082, 1.1934353766659482, 0.46502596332488694, -0.6967053307542246, -2.253260193649731, 2.7603166563266806, 1.5605856391786082, 1.5259420509593138, -1.6921481387557291, 0.670549188308821, -1.2795797071173134, -2.8614445683664442, 2.5771599600147446]"
0.0009781804678474781,24,"[0.0976423458354245, 0.0450708234683308, 0.10976747963502345, 0.08416609504894443, 2.551326070782372, -0.08964024119320309, 0.10485248324424644, 0.13969513913978635, -0.22349455300798343, 2.3735987675524037, 0.19185222571130106, 0.09817439361481875, 0.10464682496970999, 0.03769605958097719, 0.059524186293775296, 0.008378579058631288, -1.2534771254122576, 1.1903829602499862, 0.016016288408910853, -0.05483313987446702, -0.046034209736723807, -0.027533341989763437, 0.006811587319806202, -0.07449680205270068, 0.9909477420650091, 0.7105671478179529, 1.4506719329759887, 0.6584572437091945, -0.1462197067998505, 0.3890746504254293, 0.4550190349625619, 0.27485980171484087, 0.24866482812659083, -0.13476539605421262, 1.1225574211169433, 1.9743342171260378, 1.0562819850952958, 0.7320395937688988, 0.4678336590764824, 0.7663663217427629, 0.7493470855455572, -0.6802045420602124, 0.5414009020842547, -0.5236457353726556, 0.7006096048990366, 1.288999517730632, 0.33766541989560206, -1.3141536095001372, 1.2548422513237936, -1.4739003495829288, 3.612006758803497, 2.177902858706418, -0.52269040375497, 0.9564247538849191, 0.49002185275320925, 0.47233587796819054, -0.7410940755657739, -0.41486097094262636, 0.42027037104216425, 2.178242513687377, -1.526022531001938, -2.559186549835382, 2.114662728368936, 2.087936066989978, 0.7610469841037554, 3.1090098597892273, 0.4006039324836421, 3.1069649976511053, 1.8012672154816713, 0.5695265489909448, -2.77394600557009, -1.5567065154837294, -0.9443614233970088, 2.2647812845224053, -3.57309947272525, 0.5409027672256352, 2.425316199161032, 0.16790448062740732, 1.1584460466449906, -2.4993058076042263, 0.8206079200349031, 0.7528221404227818, 1.353149399622874, -2.1365245400174433, -2.372828756091764, -2.5847407449073145, -0.6423548068234998, 1.8509304528464354, -1.6388536401478402, 1.462231976003448, 0.605305856716617, 1.0233566302172725, -1.7465358497919055, 0.32976779077893226, -0.7074764414799524, 2.9589238120929138]"
0.004016045675487967,24,"[0.3234889252476108, -0.7199058919723019, 0.9041008586002988, 1.3230813068426366, -1.1735906624245096, -0.16985152423301364, 2.0396267584172776, 1.3207742533237086, 0.3155755044155781, -1.3918102618053425, -0.215909724711275, -1.80846434653141, -0.4006462248415893, 0.6754048257124319, 1.410011301370879, -0.41837634731613105, 0.3542209065239363, -0.735660807219988, -0.18249518035039197, 0.28665819165418366, 0.6923516193056698, -0.5031776085229992, 0.21213225536648347, -0.503532699384717, -0.3715063685638722, 1.127214787524699, -1.3008956905219038, -0.012508494463467232, -0.21320854884012963, 0.2189044736392828, -0.08732634982018961, 0.4319956656795006, 1.5090404041788057, -0.4164586992140278, 1.3202645549476522, 0.4417062413221508, 0.15790852322688473, 0.9811238597357003, -0.9635762150290185, -1.3105409799427519, -1.6033062002595377, -0.2964708233370816, 0.45878261587233266, -0.40807518168158147, -0.21856089348872068, 1.400495140104974, 0.46323665102003897, 1.1403610929987542, 2.9260194834493842, -1.5897690405361793, 0.05760055263622441, 0.5402037728926237, 2.7437096550526805, 0.7099866289623964, 0.10365644779078634, -0.4506037236078277, -2.8223260565638224, 3.210093971737929, -0.4271726493456094, -2.379842380183451, -0.34932730388988914, 2.784501204862596, -0.09148713448442464, 0.8955698092166372, -0.37477619109305244, -2.427126508737202, -2.8800698865887226, -2.05000900236984, -2.3401164182768253, -2.7876290963907477, 1.7935848059425092, 1.5420175493355517, -0.4528643998590058, -3.0745359534217447, -1.1281490564722159, 0.04001969881277899, 3.424561165194789, -3.5401625963772267, -1.029312720086119, -3.357114776447847, 0.6091758354591973, -1.3479253679800445, 1.8207399136190328, 1.4248330678549765, -1.4980074172175606, -1.6305514537826522, -1.1595723343621676, 1.3566671304591165, 1.9716293669306215, 1.3247298158001153, 0.404119833658792, 0.8064093490311579, -4.383784348077116, 1.2217746221510524, -0.6988860481469528, 0.7868382546250948]"
0.0026459547066395306,24,"[0.31002431252104024, 0.3649750075054139, 0.7293983070758345, -0.1416365625739027, -1.293677104661913, -0.4200972290442632, -0.8916597377217215, -0.037186689093815686, 0.8924852956439758, -0.3963879945042835, -0.23982267248747247, 0.04701683375621748, 0.24255969241679323, 0.12761017318346143, -0.07980986244323177, 0.1964296905886447, 1.4610422539305075, 0.3724499118787606, -0.3477577072135677, -1.3155663928829593, -0.10324490268187583, -0.39061673649828144, 0.38277550483467154, 0.05051592775353075, -1.5430656142797379, -1.613398497700611, 0.9026463130593959, -0.1644279459155559, -0.953906395517016, -0.3462354450239098, -0.6265215010895047, -0.03593155760156625, 1.0142960600258677, 1.3466038217026466, 1.5262503484425696, -0.16717571770117548, -1.2366866873498505, -0.6297854091079967, 0.2642812179272193, 0.18596952553022408, 0.7004554634057037, -0.5312953630890275, 0.5323555317531139, -0.6435019350925779, -0.11128382235661485, -0.2866229406706452, -0.6400578599029692, 0.20158672683301604, -1.3555745161970822, 0.7239143956167815, -1.2388720518952887, 0.20311818935044276, 4.933013215714684, 0.10039626029313631, 3.1368800941395127, 1.730509814603868, 0.6338153145108426, 1.719070220531639, 1.4894895675311566, -0.6809876294915046, -0.6373356187464367, 1.9619630532453418, -2.0786022615782564, 1.1127582030263572, 2.9597671891163846, -1.6250041094226035, -3.2252888467002743, -1.6134431654974988, 1.476843093575127, -1.0455230747506046, 1.7436076011087385, 0.17516310208913308, -0.7574902433229217, -0.7812902892325558, 1.2029358469718672, -2.1078118550261533, 1.5694052257094244, 0.5651969883027901, -0.22913788214289163, 2.2732520523679347, 0.31460595098411, -0.09299684695410694, -1.1750047377782686, 0.5562196452021448, 1.2879914861454436, -1.7084812040560067, -3.5467200812593127, -1.6965900463176324, -1.1616035631322583, -0.23567232240679126, 1.74347305172275, -0.13894476890553895, -2.671652247049538, 2.7075553398362158, -0.0935458682991335, -2.5090770251476813]"
0.0029003682047079593,24,"[-0.01504226893664577, -0.0534400621058, -0.05074043118571417, 0.06907295446079391, 0.02952565193631522, -0.011454734979055749, 0.0011462917563664103, -0.12879741389993676, 0.04927058618243356, -0.1244006905879277, -0.10969510531824193, -0.03801173509851828, 0.09407134976218111, 0.08706790104246258, 0.060868254487574026, 0.10248209831945002, 0.10275820713445466, 0.0561032629732805, -0.635592399345384, 0.4499633799249884, 0.03160131426609591, -0.021140524842502697, 0.01813080289329065, -0.01357308577840309, -0.0375300113253327, 1.8553367301038177, -1.1589985133851546, 0.49678077471106513, 0.6047333218053126, 0.5556420455483925, 0.5377545395369179, 0.09548747369611399, 1.2072476490847281, 0.7128664668577286, 1.0793329659036803, -0.20971577387732276, 0.8528615452558566, 0.3729059295993855, 1.8402990390892668, -0.31179543314905517, -0.0027084160660871496, 1.5539606066016352, 0.5223246780855001, -0.3828283695599819, 1.4242577474475167, 0.0026737022336023463, -0.10720631228860739, 0.40139157631931544, -1.0331856032533826, 0.5885471766445666, 1.6880230189300824, 2.5880619923253487, 2.167430673059573, -1.4434269569623905, 1.4629115147894964, 1.826297848686107, 2.6692225430233085, -1.8696963604670334, 0.3172857900532534, -1.3823196423881114, 2.8730051483636307, -2.795623823060858, 0.08417123524055137, 1.6887257140371685, 0.3467280596583199, 1.7167387189226773, -3.0277245719984767, 3.1583413333549157, -1.7391037908993954, 3.725448665558795, -1.832606646920516, 2.5040761333704515, 0.22205427900584765, -2.4446873733364543, -1.3843647776161119, 0.78118064598012, 3.015214685256799, -1.8576207885032339, -1.8552719628708902, 0.20398910076831028, 0.4544319336744567, 0.8120980656212491, -0.7316161158839477, -2.0649797763525193, 2.448419791873608, 0.9874701737226856, 0.48853446974078246, 2.3213050875199905, 0.858937418502934, -0.9958939994512254, -1.9454499664507958, -1.5741908580353297, 3.536388242381912, -1.0554590695403867, 0.4283796403800419, 1.8547930539147224]"
