fidelity,blocks,coefficients
0.004581478848753817,1,"[-0.8395913279376284, -1.3693828941342885, -1.309193187633393, -1.4017744295609467, -1.3516237171616359, -1.4198970207444122, -1.4407643621148045, -1.4124493830633222, -1.399114472762532]"
0.0031925283314204744,1,"[0.32806178433438526, 5.131039136701832, -1.1675462279064308, -1.2653235021065927, -1.0522295061852291, -1.1247854251738976, -1.149224358554582, 5.131493398702937, -1.1518320433160039]"
0.0034571242678361758,1,"[-5.242147522922294, -0.1688625676443969, 43.800228501573876, 49.99917638923656, -25.19287607914121, -0.16031528562433417, -6.449984258393325, -19.00629756160893, -44.146976876174534]"
0.003568159251024716,1,"[-1.4703674828278592, 3.633853125851142, -2.7256302386898303, -2.686959315228119, -2.723726429507268, -2.7325707728476574, 3.57016607284686, -2.699348914653851, 3.4449015679433206]"
0.0031925283314204744,1,"[-0.32806178725538704, 0.4007827248900756, 0.41618278468800324, 0.5139600640343504, 0.30086605493886237, 0.37342197676669514, 0.39786091014546604, 0.4003284676337686, 0.40046859129564416]"
0.004638633138818515,1,"[2.491403345620768, 2.9161327643198627, 9.191189408351072, 2.904393315824737, 3.0086647733751963, -9.62146590358162, -9.613408960706009, -9.689439785222616, 9.248081980340933]"
0.0031925283314206965,1,"[-0.3280617933998222, 3.678262597007007, -2.589522650164779, 3.7914399365115425, -2.7048393805499784, -2.632283459119172, -2.6078445230112806, -2.6053769663050863, 3.6779484580569672]"
0.004581478848753817,1,"[0.8395912291457881, -3.984560089495959, 2.238435485285284, 2.331016656531756, -4.002319297384189, 2.349139387937412, -3.9131786410571836, 2.341691658736124, 2.328356719382948]"
0.0031925283314204744,1,"[-0.32806178384398976, 1.1082283834134479, 1.1236284429650731, 1.2214057206092173, 1.0083117090502882, 1.0808676347008062, -5.177878738164847, 1.1077741292227026, 1.107914249007889]"
0.0031925283314202524,1,"[-0.328061788376781, 2.563864634018214, 2.5792646946028768, -3.6061433335470507, 2.463947964301053, 2.536503885570242, 2.56094281962868, -3.7197749298154235, 2.563550501324253]"
7.3982066738143e-5,2,"[0.2193493958811939, -0.21934935587039944, 4.661784741746391, 4.662220730479147, 4.645171740942941, -1.4000038081267818, -1.417961174242929, -1.417052722343615, -1.4170585735035475, -1.4170665124801516, -0.5111081712951278, -0.5115441696449988, -0.49449518001214476, -0.7325049099457241, -0.7145475657074096, -0.7154560282790842, 5.567735140168795, 5.56774308229315]"
0.0016372920923496403,2,"[0.31005245551607613, -1.3814780785474399, 2.0326187388421593, 2.034568250862071, 1.9502389868405172, -4.136365097173223, -4.219440448945935, 2.0417055415051144, 2.046224633390366, 2.023214305654664, 2.135483920942674, 2.086048344091813, 2.1041024185009354, -4.2219788385633805, 2.0764052001639626, 2.0765375096511924, -4.245027562284167, 1.9881241544939343]"
0.003377931300258763,2,"[-1823.1107732576713, 2926.7562986122007, 2431.0541210158817, 131.42967256234223, 872.8836783683645, -880.1643405187293, 74.86048050465993, 244.53075033470944, -1005.8098736008159, -1873.0061195761796, 1867.790193930686, 1094.9697777025294, -412.92420995217014, -23.46557460421125, 416.4098090065809, -758.4794431787816, -821.3649963623329, -1361.7170191435669]"
0.002670497980955644,2,"[1.4381440040273683, 0.9195566933972322, 2.6829402202034447, -3.4964710858623436, -3.5229773398958906, 2.77213909293744, 2.786470256573894, 2.7605052148310207, -3.5510084949519714, 2.8973684767447647, -1.4655713871501204, -1.5647429651583618, 4.796240140268482, -1.5374822061334679, -1.4902241676206658, -1.4893344635304333, -1.5375119645559454, -1.4728425495432063]"
0.0008383532325614285,2,"[-5.2947229744926565, 5.294722987875754, 0.2180694667815246, 0.21066334086788807, 0.18194008553676452, 0.37914936800098603, 0.3312525421863825, 0.2404291768056847, 0.3421743353077082, 0.34053161157233963, 1.647227443300529, 1.6546334680427275, 1.6833568457147345, 1.4861474612563035, 1.5340443000115607, 1.6248677070632704, 1.523122553032022, 1.5247652635646514]"
