fidelity,coefficients
0.0003453134638595756,"ComplexF64[-0.48683785715727046 - 0.042141698164151205im, 1.1239266205074891 - 1.9298995335355358im, 1.0705213461883916 + 0.42846499380009345im, -2.2409718529992455 + 0.3469713234000388im, 0.1337231248702973 - 0.4269084033380417im, -0.816669967787671 + 0.5207496008868369im, 1.0449567411068381 - 1.671771148536186im, -0.6701241470094951 - 1.7736569867136478im, 3.6704818089856883 - 0.05909547219565511im, 1.143629144364124 - 0.9831230404536947im, -0.7831747984050494 - 0.3834683029108041im, -0.5259010574940548 - 1.0132586649233721im, 0.8108167651581373 - 0.1764663474205431im, -1.4239782269604382 + 1.4255709417047875im, 0.014237661888965388 + 2.205930971510853im, -0.8802360900546374 + 0.4941008648324918im, 0.7621413578376842 - 1.966399894972812im, -2.297793061727578 - 0.6458906027665944im, 0.7601976129277075 + 0.07879420742718331im, -2.029210863352969 + 0.7009771339774307im, -1.5845600882256181 + 0.5334151720633807im, 1.4285039781929922 + 2.1134479774264707im, 0.09362757291144275 - 2.515739553884773im, 1.6929929365816658 + 1.3589376902079275im, 1.6643671230625179 + 0.541800844165116im, -0.08258212207688004 - 1.3038429950199883im, -0.28350162661642553 - 0.28620018851230494im, 0.14624196380547771 + 0.5381346484990709im, 0.922807082876608 - 0.49075039645131024im, 1.2221912803895347 + 0.04602204390666927im, 0.10371516911205529 + 0.830035701943472im, 0.4570543564209046 - 0.09757190576817472im, 1.0240128477173789 + 0.3224792252513472im, -1.0311033887155254 + 0.07710255909004245im, -1.0042959865811452 - 0.3632055505018872im, 0.3593883204805941 - 0.012592367188619088im, 0.6999545084126332 - 0.43561991484609014im, -0.013093354281691142 - 0.010467183254847932im, -0.04418096268453636 + 1.7192771549804864im, 0.34234010737026593 - 0.9040243755122106im, 0.9180950593536052 - 0.5672408606606348im, 0.5350349126534497 + 0.5973800604698076im, 1.0091631115505015 + 1.205360710122736im, 0.4944877512795562 - 0.8362305118781826im, 0.48991458909821384 - 1.2952731986069437im, 0.5374913308802111 - 0.3040553720814341im, -0.36583141839840344 - 0.5232720856817153im, 0.821232901646382 + 0.7234371710491322im]"
0.0001960551372717223,"ComplexF64[-1.4956436339549857 + 1.3626419156863383im, 0.7314391983443306 + 1.3951876853017144im, 0.18080686401710327 - 1.6774573650709408im, 0.6796804123016547 - 0.51764912479154im, -0.8662933569184859 - 0.008024744558782416im, 1.7300510943055794 + 2.6007747049581953im, 0.9895962690589916 - 1.717927696448072im, -1.1955910229504987 - 0.7283865989759409im, 0.6423902025339733 + 0.11888438083315221im, -0.6249877207306808 - 0.41900727291408657im, -0.5998600144417761 + 0.9089531253929148im, 1.425506642111376 - 0.9371656041765042im, -2.040700877242573 + 1.1714434982955129im, 2.611194768081888 + 0.38165757335304346im, 0.09287332905406032 + 0.21675593920101294im, 1.3750624620875171 - 1.4779707054721904im, 0.010671182335367102 + 0.24956550731996244im, 0.4211807338694044 + 1.0460473246942024im, 0.9442107883286838 - 0.695732339621003im, -0.5859428388927249 + 2.6677673543641256im, 0.4754304651988141 - 2.37018185313233im, -2.0254185091148735 - 0.9941031110159015im, -0.27949116797965384 + 1.0551393487457597im, -2.5866015322751164 + 0.9706733184834965im, 0.5748190033263855 + 0.24023272177911958im, 0.3076820425155375 + 1.009182800480138im, 0.40821348984182343 - 0.22706241707167263im, -0.9401902644336076 + 0.750267523451579im, -0.09054492518445063 - 0.9998796493963832im, 0.3913679392156388 - 1.6519268963104252im, -1.1044333342216859 + 0.6130701417639123im, 0.32956689902073033 + 1.0787746736640182im, -0.29258319806726707 - 1.2302217628364966im, -0.7337820346713659 + 0.9745822774262137im, -0.2809731171395633 - 0.29217021928488185im, -0.6668240910720669 - 0.6804863819619446im, 0.03667327593941348 + 0.30661645095347995im, 1.2096008084319214 + 1.0566738335751107im, -0.19744711727922376 - 0.7300946929865733im, -0.3116052463928154 + 0.5563208290174844im, 0.024796853789231285 - 0.587384765878515im, -1.1870528018545687 + 0.40877382891391956im, 0.8282144678013209 - 0.7151234279966097im, 0.2773595102017283 + 0.28913065300855356im, -0.6052875749314208 + 0.5385227767170399im, -0.2807756926744832 + 0.4287776557254402im, -0.8904281302177376 - 0.6377939661143944im, 0.8055977553356498 + 0.09642176965779505im]"
0.00012802729686445247,"ComplexF64[4.452171882758882 - 1.361656023974463im, 2.2926995446743668 + 0.3023662245236144im, -0.7795080976785385 + 0.3723865797969549im, 0.7619472263006674 - 0.619895477672057im, 0.8185536422580297 - 1.9676684505057205im, -2.4921585445769625 + 1.3668526775385683im, -1.103783889039542 - 0.045233358194700916im, 0.3273533536361037 + 1.5630449078161675im, -0.8868855385042924 + 0.7656425621301269im, -0.792128185994264 + 1.4446979943304152im, 1.1071449581428103 + 0.11657433148020646im, -0.6515146388881267 - 1.13533837681317im, 1.2180220717159995 + 0.0558406807790186im, -1.8171129651653426 + 1.355280999034405im, -0.37845778695183074 + 1.4302085178699626im, 0.5689034829330416 + 0.4125245981819086im, 1.5259528214840115 - 0.057449479970499165im, 1.6255522226853856 + 2.0754419541889124im, 1.796495183989716 - 0.6781653098748744im, 0.6721984312712156 + 1.324264512740965im, -0.7659136367019721 + 0.9049525389865603im, 1.4264535338148383 - 2.9424834493549468im, -2.811216902889831 - 0.43042121660052063im, -3.345089167210461 - 0.9493557830686116im, -2.8642347147172713 + 0.6555128348180348im, -0.3040852312075024 + 0.5941311693119471im, 0.7845929969227796 - 0.11658407908276071im, 1.4926179363221055 - 0.02198877619848109im, 0.4209289118053016 - 0.9413047896941231im, 0.05557580327438475 + 0.40502616679718983im, -1.4377144883259887 + 0.9019074583505039im, 0.7428047589994343 + 0.7257676764953541im, 0.45945470182964676 + 0.13300542893201975im, 0.5734551565956985 + 0.42484070571817406im, 0.44216110343244375 + 0.26146247887519936im, -0.44185352014983165 + 1.0132041428189753im, 0.5192489738982066 + 0.14319126900671017im, 0.7032515380934514 + 1.1461399999645874im, -0.8067222008113368 - 0.06304172522503672im, 0.2935179602097991 + 1.044019735143414im, -0.5953623019848631 + 0.5758091744432553im, 0.213702760979023 + 0.155212259821163im, -1.0812926983916784 + 0.01965415830650818im, -0.8520198448952616 + 0.5942869729647151im, -0.6082630549826537 + 0.31760656942715165im, -0.8022481067329701 + 0.1444032355233735im, -1.1872031430866763 - 0.5820027666677281im, 0.6227773333659801 + 0.8042578314803639im]"
0.0002673747519685854,"ComplexF64[-1.0659156711689444 - 0.1604892897045305im, 0.502816135456377 - 0.5019836930013737im, 0.04719438464124122 - 1.795817319240365im, -0.4115255601453736 + 1.3866753101603968im, 0.13431450345771234 + 0.2895254911672266im, 0.7759771910038376 - 0.44693149204889765im, 0.5139917565741197 - 1.021740309951487im, 0.20655075856191266 + 0.6001091306894684im, -0.2881892953255156 - 1.5578974742723704im, 0.7838282974362414 + 1.379433372440105im, -0.42647144712125434 - 0.6588235391057087im, 0.8650035610129044 - 0.1083402594586015im, 2.5318349492654177 + 0.5652008597933005im, -0.6269494888392487 - 1.6532012193603653im, 0.7435659132637176 - 0.7223588190245444im, 1.5284343225374577 + 0.22550467222461157im, -0.8159936196804032 - 0.2951089825692212im, 0.019888923642026043 + 0.4503307328724125im, -2.9559218807418204 - 0.9775641484182764im, -1.389094859419434 + 1.071569496441552im, 3.237471346443733 + 1.15064870786939im, -1.532599900914068 + 2.019223212095489im, 2.2033812839501463 - 0.9008448513883838im, 0.601518045654939 + 2.36786762248729im, 0.8713050254705528 - 0.0015518584475087446im, 0.2728013324336356 + 1.2120562517418616im, 1.1485018405989729 + 0.6138082898313879im, 0.05622093169276412 + 0.4375149416252477im, 0.10970259895940565 - 0.44356652888628373im, 0.3627556976148835 - 0.2718776565383528im, -0.9595407899981798 - 0.831710605639656im, -0.9832161010683226 + 0.04452005063021372im, -1.0636657360493376 - 0.7915910444614048im, 0.4748706746366897 - 0.03345046058068328im, 1.0593122084643616 + 0.8998904750803448im, -0.07203439974102577 + 0.3546067255422662im, -0.7754978567273775 + 0.40050822169457717im, -0.29788812223130645 - 0.6215213351678489im, -0.146889185702147 - 0.36808299993391097im, 0.8016036832696614 - 0.4182636024294683im, 0.1961773578088412 + 0.19053291440466466im, 0.15713980641705202 + 0.07644672862107081im, 0.3330579679391592 - 0.48627675683256144im, -0.1951633926077786 + 1.1443243824374578im, 0.8543143407218937 - 1.3693769619803642im, 0.8427728312285448 - 0.9589998945336973im, -1.0567968779969261 + 0.9298538183682163im, 0.42505464731506615 + 0.8819375647624113im]"
0.0002472642715245499,"ComplexF64[0.5157234258710864 + 0.6242536857376784im, -0.4452000428126195 - 0.22608846590612547im, -0.7909162292226284 - 0.6638184699296289im, -0.2288844787525789 - 0.14918778430885082im, 1.196521197557843 - 1.8854874555622252im, 1.9085257616373272 + 0.8237188104353895im, 1.852007219138102 + 0.08678506522933542im, -0.6911075384583903 + 0.5506511883518578im, 2.4012715041227897 + 0.2243407272825873im, -1.7822234286695593 + 2.4532414125372677im, 1.0454292229197726 + 0.9280448132397954im, -0.35627551576393046 + 1.7011205072030235im, 1.4999128241995083 + 0.9843591618935111im, -0.705760706015615 + 0.2261697122015442im, 0.7797770663569694 + 0.7574398593881702im, -0.8600602472642263 + 1.400989507191355im, -0.6938161729671161 + 2.357901684042546im, -0.6672662650333806 + 0.18957964635556135im, 0.7465079636331591 - 3.1574384399132596im, -1.7679235775746351 - 1.2812293740248235im, -0.09429699363881133 - 1.7306158498601527im, -0.32674389646457674 - 1.0388086295265033im, -1.741100501272327 - 1.6918197598409603im, 1.7423213228902805 + 0.7417505350098075im, 1.382225717886136 - 0.9304973957801229im, 0.1581442727813448 + 1.7752991368780762im, 1.4935022180550293 - 0.3131405132510624im, -0.4605600970400847 - 0.5026477297855843im, -0.41094592174105604 - 1.126060044874934im, -1.4205924406003274 - 0.8011046018382006im, -0.18470318639517574 + 0.7929647937527846im, 1.0443387685583116 + 0.47172830779639424im, 0.08641965771330076 - 0.25586968387451436im, 0.7533974049881637 + 0.09372116702169687im, 0.15848568849768827 + 0.3841262685287664im, -0.7786751869803563 + 0.6975128494747939im, -0.7785604352307998 + 0.472644985431554im, -0.07099188359625946 - 1.3519855363215108im, -0.7319903322559301 + 0.35123937498355784im, -0.5805157250356028 - 0.1678519134983094im, 0.3889195438649144 - 0.11836073264539262im, -0.506618209958739 - 0.04951301981989274im, -0.5559696083956114 - 0.6481895302846014im, 0.09651315685926443 - 0.6872502640677784im, -0.005208123009169018 + 0.7021876745708369im, -0.0005401877142226142 + 0.5515627566498423im, 0.03478576553227212 + 0.19070349277299206im, -0.13439586194120617 - 0.3938991571908388im]"
0.0002647891749347764,"ComplexF64[-0.3022598715999381 + 0.35789119111037215im, 0.11397004567808085 + 0.04959176437334827im, -0.07616935933852631 - 0.185325595544729im, -0.027217105008774296 + 1.1861719975649958im, -0.6507112129814814 + 1.79140230541472im, -2.480835499476176 - 1.18607175624812im, -1.2082462501441 + 1.3157652996832798im, -1.3326107695135554 - 0.15468287213994455im, 1.1682326071927243 + 1.7112898562122474im, -0.9777983944801626 + 0.7207890205103124im, -0.13772388678047995 + 1.9343027878596708im, -1.032954071075857 + 0.5983539953142323im, -1.1997196201118925 + 0.9938742212493056im, -1.8059521726112244 - 0.7979778259684212im, -1.0318945625402656 + 0.1159882985678495im, 1.2026198399981252 - 0.6678889981551775im, 0.7903780002138568 - 1.3072119598624288im, -1.633775599615978 + 0.3545030562200174im, 0.25835966520459586 - 0.9240396185622385im, -2.196326953250834 + 1.769620456938782im, -1.4676550355538032 + 1.4751486851758424im, -0.23484842892699798 - 1.7881310912400261im, -1.9455301720502673 - 0.31761941198482235im, -0.8139385442821339 + 3.574381220456049im, 0.022962998709650864 + 0.5111986486552865im, -0.7817550216692303 + 0.6622083290341034im, -0.3392440639129521 + 0.062150100776682975im, -0.2668640570318987 - 1.0232739076707489im, -0.22011953803568873 + 0.2504961120420023im, 0.01958044986102151 - 0.20616602634863146im, -0.1354423284360521 + 0.3061204278080454im, -0.9208456283799733 + 0.4151892959861749im, 0.1045650841124183 - 0.09039306050797179im, -0.2343367707584941 - 0.8539765469132934im, 1.4383441423830927 + 1.4059978886948896im, 0.9658781305615295 + 0.5491894254440773im, -1.3357492806619646 - 0.346548910861679im, -0.22504203456940722 - 0.43851744884299393im, 0.6458878413642636 + 0.6674208713234263im, -0.5819123123647701 - 0.8501049668957512im, 0.877513220220844 - 0.7341461655251724im, -0.6159006468448204 + 0.9094109015571166im, 0.5019255287452427 + 0.45997666594180947im, 0.5513230883019399 + 0.1088517647683589im, 0.2140942830838506 + 1.261241600106058im, -1.0409559553928325 - 0.1068954690677735im, 0.906795373563916 - 0.17234425873712378im, 0.7535678035941383 + 0.190851564225487im]"
0.0001971027279727977,"ComplexF64[-0.2848525458731444 - 1.4666988418302953im, -0.9693241022239114 + 0.8559935628586982im, 1.3449420569053059 + 0.20152423131973654im, 0.33413391338568804 - 1.4249837044472093im, 1.5720601152482627 - 0.5266096345341656im, -0.26149087824373 + 0.018621535053617345im, 1.1708804852808952 + 0.11246835308627497im, -0.8089453224429702 + 0.8796718359072977im, -1.8674070162969711 + 0.8800732230430164im, 2.8955870846912606 + 1.934707768336824im, 0.1412931592882406 + 2.016169822301504im, 1.1001565176793446 + 1.5940500488057956im, 0.06791641826588342 + 0.9094205228742532im, 0.8230656108912842 + 1.03201540752276im, 1.909984936989029 + 1.8182485029336402im, 0.08530150191239319 - 1.1416933823147746im, 1.1015763980308053 - 1.6527576571449665im, -0.24629195333301357 - 0.8750240214839702im, 0.5592363839883167 + 0.5407801690389434im, 1.793619055035405 + 0.02261040461713661im, -1.504700491494752 - 1.4446700552029859im, -0.9468933303786904 - 2.111856505213361im, 0.386243812320412 - 0.2217823268896069im, -2.627098040268483 - 1.5969707534962885im, 0.5180691315519593 + 1.0921884280581426im, 0.3101245198734113 + 0.2112030559749573im, -0.9212134982225781 - 0.5542464161698227im, 0.004387790525071881 - 1.0060013517878494im, -0.24947674746172094 + 0.46291796282300546im, -0.0425880384948237 + 1.3308751428548309im, 0.5818942642865744 + 0.8958008102620258im, 0.18334759923148514 + 0.3768022835882159im, 0.3014494795059301 - 0.20219424084545135im, 0.7072470405020094 + 0.7934193510194975im, 1.4587085765363195 - 0.2838766110599559im, -0.449149068726797 - 0.7493354900381022im, -0.3491921538752236 + 1.4861307695313983im, 0.24712904009259742 - 0.7133691892141493im, -0.19040182556789537 - 0.8838607477284286im, -0.5272350650373857 - 0.544309514787191im, 0.38355545817582837 + 0.4023027606766321im, 1.6302239801154332 + 0.42660658173844723im, 1.0721526985725165 + 0.9936892077349756im, 0.5520023516060998 + 0.4056150784989472im, -1.101094256110277 + 0.4505656591562142im, 1.4032716263531124 - 0.5640310352633714im, 0.5083850156774103 + 0.0964426702926143im, 0.7069966856142548 - 0.08463263961201968im]"
0.00020929318459150803,"ComplexF64[0.23127777193880306 + 1.4302868347830222im, 0.5976885849177163 - 0.36014164444445346im, 0.2363058038407765 + 0.14022801283894468im, 1.4798771936685045 - 0.13059653208834895im, 0.43810588302403675 + 1.0831172069452015im, -0.5989770682912874 - 0.7412981098304919im, 0.5316583468614585 + 0.4306114938503323im, -0.5675259905880052 + 0.26432211654422216im, 0.39514492608764834 + 1.5225847067237068im, 0.8471609911756559 + 1.9958737466161605im, -0.5767285768781197 + 0.7482145050733915im, 1.1728291208429091 - 1.7540284339979595im, 0.032504071743638466 - 1.8686229577507176im, -0.6195607116378721 - 2.4109008571510215im, -0.34695255577046086 + 1.063473173999558im, -0.49838998547770547 - 0.11600235059141524im, 1.6221598009369667 + 1.797352058556578im, -1.0516970819494522 + 1.583245152228061im, 1.0624518283774929 - 1.240052898256576im, -2.1028154592354293 - 0.22639416892179134im, 0.6560502681062812 - 1.0648815802004052im, 3.0275447945888594 - 1.1597218900772919im, 0.8592154771255056 + 1.1698612294142274im, 0.6422724451240232 - 0.9266742050085007im, -0.6559642160058408 + 0.9833405752556929im, 1.3465951661549478 - 0.15920974130220128im, -0.4246325153156442 + 1.1145386783725657im, -1.1940564551729178 + 0.37160151839519073im, -0.29635014433977075 - 0.45237469685538245im, 0.25134881805263615 - 1.0972401816802002im, 1.0815530061288225 + 0.36315167862119563im, -0.6837360500892506 - 0.2751242968077644im, -1.1992249276992217 - 1.776040129097712im, 1.2547339499562735 - 0.8022875738695247im, 0.32764415091989235 - 0.10283516269570091im, -0.44042132248287236 + 0.375092458882282im, 0.428077144303854 + 0.27079336866600023im, -0.48292377419055343 - 0.6064334659720472im, -1.1984405774358642 + 1.0865821096174737im, 0.9406066732018477 + 1.074962992547016im, -0.5784673576939128 - 0.4714817466189553im, -0.7119758916641088 - 0.38895808863705833im, -0.733437961490547 + 1.4413181187690642im, 0.5985497921670343 + 0.24011536711233225im, -0.4830180164868023 - 0.18931069395372987im, 0.4313503836328942 - 0.0320883033805738im, -0.5762851928494638 - 0.18728281339296501im, 0.48571410537395654 + 0.1694493957074586im]"
4.813938016878794e-5,"ComplexF64[37.129809466044726 + 12.03257504569149im, -25.423749696103727 - 14.645158352068778im, -3.8834061975288554 + 9.97985125131629im, -0.6028368653698211 + 17.445639349315307im, -8.556821134285808 - 9.978800033065891im, 25.71184195590364 - 8.625004621386001im, -2.280225290555223 - 4.5772869561101im, -2.5298774423368693 - 7.417762554785562im, 13.21934078614081 + 12.748733780207376im, -11.227548748847045 + 8.945918740519145im, -7.8169671770319145 - 8.421177018070317im, 1.3054654433658481 - 1.8983876086163558im, 4.529510761321256 + 3.2381845919431367im, -6.36274103385042 - 3.9065709240949618im, 6.273094094987782 + 3.7590505126084324im, -1.8052907534201477 - 2.844460541946119im, 1.1104847445605721 - 7.416299575105237im, -4.925246433825895 + 5.656292359107371im, 5.382738758651885 + 12.437308331646474im, -5.481041835633953 - 3.334333632146788im, -8.565950168307161 + 5.839142214882635im, 1.7548939226299018 - 14.416677246248824im, 11.5347380804962 + 4.051131684154392im, -5.52211445222951 + 3.673812939610774im, -4.119799188894173 + 15.532943746718693im, 8.433973999954684 - 4.053715198301048im, 11.951746448555928 - 22.486949216465458im, -17.492540720044655 - 0.8561214565182248im, -13.969803160998431 + 8.083544807565358im, -2.2269428472870993 - 1.3733077460957073im, 6.035435911406863 - 3.5609025021583665im, 13.917342311063058 + 9.246531931825656im, -2.29129937831637 - 2.1377406324007153im, -8.834671347489511 - 0.006385220516049512im, 2.7403043885750384 + 5.454957568447862im, 0.9428017258859097 - 5.74537142539066im, 0.5772551955899206 - 3.261660118268149im, -1.6590215381196343 + 0.40565483571124955im, -3.351571614286567 - 4.485955726986223im, -3.6911891456764048 - 0.3136462580883567im, 2.3292949464469808 - 1.693748119940874im, 1.907090174149265 + 0.05188327051448791im, 3.115583978216475 - 1.803620543141207im, -3.4715677557553364 + 0.16867597543444351im, -1.7676450526021812 - 2.3127877832205677im, -0.8065363773568792 + 0.4182162877172855im, 0.3917165922554317 - 3.924475963831958im, -1.9889199344879973 - 0.70654874484335im]"
0.00029188760136755754,"ComplexF64[-0.30622730350123695 + 1.2332541202827134im, 2.0217822623648054 - 1.267813842239221im, 1.7359941986495293 + 0.46947151950371047im, -0.24042088564152883 + 0.11071847670039522im, -1.1534787609987882 - 0.8781714214561849im, -1.461861997151533 + 0.3532637759139438im, -0.9864934201244041 + 0.9767629970145169im, 0.8815416294444435 + 0.9664063590188624im, -1.6394122393858355 - 3.0945779781505647im, 0.934743178711924 - 0.6954959920902145im, 0.15765777291436356 + 0.04685233016315802im, -0.549789692617958 - 0.9694037461141134im, -0.8309784599193105 - 0.06208842987134081im, 1.9903295122430824 - 1.0888021575049314im, -2.2648597941558015 - 1.6731073992630108im, 1.9212008615509104 - 0.31937436344116954im, -0.6178594075770439 + 0.7279971834506271im, 0.9541258517818371 + 1.1386252812194229im, -0.06663997382977613 + 1.3027617895113603im, -1.079765721145524 + 2.5260224334742394im, -2.366153541738646 - 1.380541928838826im, 0.68929418728601 + 0.7893764819741027im, 1.4354643617401996 + 0.9708024006374039im, 0.7738280056423527 - 2.1474288552748284im, -0.07320520814982592 - 0.7820717997487797im, -0.3226148804954137 - 1.0252969457981247im, -0.3741555885796599 + 0.35313905985365746im, 0.3147671483159212 + 0.5358441015064873im, 0.6045188366127 + 0.05087692484403774im, 0.7842957793417532 + 0.12342176842009527im, 0.19268584063338692 + 0.4624616685095441im, -0.7357018455478085 - 0.39088841261093293im, -0.9073789732671941 - 0.5608787762130574im, -0.45651567213522515 - 0.5215813774523276im, 0.5985897457268787 - 0.7594859636644766im, 0.08546856601301825 + 0.48357858923924946im, 0.15405782516279373 - 0.7224414912483411im, -0.4666319065821939 + 0.2362412087830893im, -0.08260528468159294 - 1.5610114926949084im, -0.6265212172566768 + 0.06872084086590846im, -0.854022290976712 + 0.32430619746670636im, 0.7687276476089814 - 0.31652309838045317im, -1.087134240166612 - 0.26299819467833657im, 0.4658493764604194 + 0.7970318998541877im, -0.6395704852432513 + 0.2560930378321765im, -1.0959524410885286 - 0.7038542562314489im, -0.45800307130254314 + 0.25702245742405644im, -0.7946504309059231 + 0.628487439920506im]"
