fidelity,blocks,coefficients
0.05305065591218139,1,"[0.8456872185671843, 0.9821792735335851, 0.7317707448757679, 1.0199182762023766, 0.9325190952457398, 0.9926500633151835, 0.8701367738467377]"
0.014515207582608491,1,"[-5.696825926406739e-9, 0.7828353271126302, 0.7828353125226768, 0.3115964188016248, 0.3115964152676307, -5.500349971083946, 0.7828353333372255]"
0.05657863010244524,1,"[2.747291167935301, -0.2495421660803532, -0.3422127173118203, -0.1384465631377751, -0.37063845996791117, -0.24463840210904622, -0.2768140780460178]"
0.02778812118644236,1,"[-1.0275581245554575, 2.7377579858117675, -3.58059695689304, 2.7284377664631565, 2.775649831293676, 2.7559701976445083, -4.050660293852861]"
0.03703362502042362,1,"[-1.580301945191522, 2.952374606282175, -3.2634152090931305, 3.03143726694877, 2.9899822190820227, -3.7216574859939358, 2.979698928533377]"
0.03703362502042429,1,"[-1.5803019383404053, -1.1388476842794353, -1.0714521776279449, -1.05978500891089, -1.1012400755391052, -1.529694455702038, -1.1115233705625545]"
0.054806832818677154,1,"[-2.851662530678351, -2.3949009839842965, -2.3859873976122676, 4.129849833603717, -2.3253734427778183, -2.3345994175927305, -2.228758416775382]"
0.053050655912180944,1,"[0.8456872258213136, -3.9094808217015573, 2.1232959694414313, 2.4114434934833477, -3.9591409916116724, -3.8990100225177544, 2.2616619860049076]"
0.053050655912181166,1,"[0.8456872248199142, 0.4002844950352897, 0.14987597175989284, 0.43802350336426826, 0.35062432465040155, 0.4107552877964545, 0.2882419917056093]"
0.037033625020423844,1,"[-1.5803019463156112, 2.4961503241118934, -3.7196394911495445, 2.575212984368373, 2.533757935427221, 2.1053035397175828, 2.5234746462013886]"
0.02778812118644236,1,"[-1.027558124750624, 2.8378515937574074, 2.8026819571802015, 2.8285313734699127, 2.875743438230088, -3.42712150223305, -3.9505666870579725]"
0.04876806928156796,1,"[-8.195364470033823, -3.9747251587079693, -3.700001671633886, -3.861308116015284, 2.648974489626783, 2.5016816553859718, 2.6156357622615105]"
0.03703362502042429,1,"[-1.5803019460850163, -0.34443496164589094, -0.2770394696822876, -0.26537230144520113, -0.3068273501492414, -0.7352817459616198, -0.3171106400604339]"
0.05257443902834702,1,"[2.05545503491406, 0.033002131412146564, 0.14981029729668366, 0.24085193507786312, 0.1449237244215063, -0.03460563482481564, 0.23211915466536562]"
0.037033625020424066,1,"[-1.580301948146294, -3.7374239289276847, 2.6131568706078077, -3.658361270654954, -3.6998163168949896, 2.1549145935207292, 2.5730857015965825]"
0.027788121186442583,1,"[-1.02755812560976, -2.957565397987928, 3.2904502693353246, -2.9668856151984118, -2.9196735527974584, 3.343832123906389, -3.4627983698853226]"
0.02778812118644214,1,"[-1.0275581233500275, 3.6939735130328475, -2.6243814287074705, -2.598532012087216, 3.7318653605226126, -2.5709995811252866, -3.094444772497278]"
0.01451520758260827,1,"[6.272954652554789e-11, -1.7227791303025408, -1.7227791298299933, 4.089167278945152, -2.1940180276397427, -1.7227791295796715, -1.7227791302102258]"
0.014515207582608491,1,"[-1.2225098420481214e-9, 1.015224796757886, 1.015224794037228, 0.543985897065293, 0.5439858984858478, 1.0152247945924402, 1.0152247968357238]"
0.014515207582608491,1,"[-2.873524919966812e-10, -1.5522661179144879, -1.5522661173465835, -2.023505014013274, -2.0235050152161813, -1.552266116152483, 4.730919190667167]"
0.056578630102443905,1,"[2.7472911695909685, -0.1023573071197747, -0.19502785830541158, 0.00873829554012435, -0.2234536010585608, -0.09745354421096263, -0.1296292187120948]"
0.010338162417688257,1,"[-938.6175615661439, -705.8979655289544, -102.73462986260769, 827.2420388748086, -184.3708727860871, 783.125081862282, -618.554438645694]"
0.053050655912180944,1,"[0.8456872340626186, 1.276615552562373, 1.0262070495090336, 1.3143545875857905, 1.2269554029016292, 1.2870863545702305, 1.1645730632306721]"
