fidelity,blocks,coefficients
0.010896354173491996,1,"[-6.428548626591808e-10, -1.2702152053510567, -1.2702152066433259, -1.7414541040431568, -1.7414541058214217, -1.2702152069015247, -1.2702152048993303, -1.2702152055723481, -1.2702152071581254]"
0.9085017704594176,1,"[3.824139721258609, -13.741213565854963, 34.5421401431275, -27.232025105291783, -8.777362137893387, -0.03782953309714632, -11.705534941362036, 37.78692534781948, -7.4835087540783185]"
0.010896354173491773,1,"[2.7117129640812743e-10, 0.7374694185388152, 7.02065472671923, 6.549415827768242, -6.016954785926316, 0.7374694186639885, 0.7374694184658982, -5.545715888586392, -5.545715888629849]"
0.04257643103000208,1,"[1.6032839616147314, 2.5738803874267218, -3.403896570802955, 2.7812459811406036, -3.4759761679039256, -3.443076880689542, 2.8717871145518497, -3.5348471765346376, 2.7115684052761932]"
0.02905622827534804,1,"[-1.4472662420855515, 0.3961471495774723, 0.4801426461744533, 0.4597504440459069, 0.4651404505430043, 0.43089492027468895, 0.4850803903854649, 0.483900698737401, 0.0028148738901688864]"
0.029923514807389195,1,"[960.4262839736049, 35.97882122452617, 972.1270782274189, 639.1465825396155, -366.59369058390666, -692.8874887558743, -560.9142577040911, -944.1771041292246, 915.6632259952341]"
0.04024953827619393,1,"[-2.7841929768385123, 3.7610178545570885, -2.5578364559400453, 3.5333991596644396, -2.792617856242927, -2.4944656906558214, -2.503701661218542, -2.642402175832562, 3.704390839043942]"
0.021372006511065522,1,"[5.515343012311133, -7.777559098368032, 4.773425245565506, 4.402429100880414, -8.227044526375533, -1.4940539202005534, -1.5278305923504245, 4.7496619201943835, 4.789553754423249]"
0.04466280880144735,1,"[-3.641847289190869, 1.004503175708411, 1.0371015636772238, 1.217934165148921, 1.0143797468316291, 1.0887252183577296, -5.062679377524914, 1.1243357496688553, 1.155951290485498]"
0.03543770987372752,1,"[-26.124484822422758, -2.1409538361257687, 236.30438861028694, -58.588380711602426, -178.0180545634636, 16.773447093079522, 54.50475112553543, -58.76377589099128, -2.1292589657616343]"
0.0007874208821117001,2,"[0.15888881021374104, -0.10005240694646093, 4.560996637325472, 4.567585904443936, 4.352087497519699, -1.455960439155943, -1.2722017755620063, -1.2839180486981396, -1.2843811801932306, -1.2841741181754043, -0.2925305652143051, -0.2844576688714181, -0.5919240130168277, -1.035420384157513, -0.7147546446564725, -0.7302988051120177, 5.552500616532611, 5.552707122667971]"
0.0007874208821152529,2,"[-0.1000525401321022, 0.15888887844845062, 3.9594757569793986, 3.9675488106053685, 3.6600825802389143, -3.0665986888393744, -2.7459329631139795, -2.7614770901686994, 3.52132243335132, -2.761656360803164, -0.5139342261006357, -0.5073451002620375, -0.7228436583220627, -0.2477067442270172, 6.2192373844715405, -0.07566426565663469, -0.07612747865726525, -0.07592047506948206]"
0.0007874208821132545,2,"[-0.10005259916513438, 0.15888858798333724, 2.174973746210728, -4.100138617378211, 1.8755808151758089, 1.4320842548557093, 1.7527496177420043, -4.545979907750071, 1.736819556682286, -4.546159266064733, -3.217667464510353, 3.07210707187626, -3.426576987858601, -2.9514397084426367, -2.7676804631263154, 3.5037885764118313, 3.503325454370403, 3.503532485833619]"
0.0007874208821119222,2,"[-0.10005246099109276, 0.15888875225065222, 3.118603236491785, -3.1565090509639777, -3.4639753155706767, 2.375713582962684, 2.696379201951054, 2.680835064196842, -3.6027360756409768, 2.6806557018504353, -1.734080248243859, -1.72749108031461, 4.340195758157961, -1.4678522221912034, -1.2840933753186763, -1.2958096778056583, -1.2962728653700684, -1.2960657571223504]"
0.005613761020495933,2,"[-1.4902286325924055, 0.044528609735979066, 0.3673663695539705, 0.2780660835944554, 0.32680001618846666, 0.3035470534346137, 0.25762175514057395, 0.28115910558549684, 0.34332243986429256, 0.08632710459044937, 1.6818204335708322, 1.7032484694170824, 1.251723547824481, 1.2951170584929854, 1.653223811032503, 1.718311834654852, 1.6969335995346788, 1.6777862926318605]"
0.006718883858301994,2,"[-0.7553356838153629, 0.014996475802714196, -1.2635347024728196, -1.2114161227717615, 4.933710265891674, -1.3236940530191827, -1.4602554280446565, -1.4683351456081162, -1.4211430205814533, -1.385919343140605, 2.8700948553227166, -3.35853526053288, -3.8205194861743044, 2.525028894910456, 2.991122884642729, -3.2916884147998218, 3.0217686231100265, 3.062397592055804]"
0.0007874208821121442,2,"[-0.10005242101447306, 0.15888870393343021, 1.3524174070401385, 1.3604904046028843, 1.0530241492420436, 0.6095276184799496, -5.352992070796573, 0.9146490317853683, 0.9142632484726421, 0.9144697660241599, 0.9670103214137779, 0.9735995002772996, 0.7581010196437931, 1.2332385113415185, 1.4169973267914906, 1.4052810736078283, -4.878367405540806, 1.4050249530019723]"
0.000787420882111256,2,"[0.15888875058110494, -0.10005248454833267, 1.992245446695323, 1.9988346179406198, 1.783336074931706, -4.024711982845181, 2.4422322368158573, 2.4305159596071397, -3.853132493384876, -3.8529254341056145, -2.1108105614293446, -2.1027375484940056, -2.4102037489598738, 3.4294852088956373, -2.533034503775864, -2.548578680701834, -2.5489645282418882, 3.7344272715550924]"
0.005613761020496377,2,"[0.044528625847415175, -1.4902286386233856, -1.0483296945800293, -1.0269016604324366, -1.4784265856584131, -1.4350330491677081, -1.0769263153511932, -1.0118382823853493, -1.0332165467757342, -1.0523638497463597, 2.48745589948126, -3.8850296957525146, -3.836295744667585, 2.4236366092053414, 2.3777113064558293, 2.401248622673634, -3.819773329390385, 2.206416676012602]"
0.0007874208821117001,2,"[0.1588887133819693, -0.10005246340324747, 1.1958733794306462, 1.2024626041463897, 0.9869641081886682, 1.4621015205466987, 1.645860455766879, -4.649041100477437, 1.6336810917939937, 1.633888152028327, -2.436385084131234, -2.4283121049640095, -2.735778357995468, -3.1792748230049, 3.424575987247581, 3.4090318050098998, 3.408645931434154, -2.8743328840984534]"
0.00022159225767737212,3,"[0.22526198392705374, -0.04800647147071409, -0.24416767753425164, 2.652100279467573, 2.657489016797064, 2.5858284620800367, -3.3893030103586135, 2.9121773342022887, 2.8960858183862137, -3.397521459460559, -3.4101290379828413, 2.97998249544576, 2.9752355632930314, -3.789663586700191, -3.8187448035300284, -3.305274310510316, -3.279310260613811, -3.253070067632442, 3.047035510497438, -3.63157614243835, -3.6323297732683955, 2.736877765072662, 2.4574486961266935, 2.394979326378468, 2.385390291112471, 2.3695224204028396, -3.929203539646589]"
0.0026420967115969862,3,"[5.5806326245841795, -19.156850429761647, 18.79068989587045, 0.33058257430141896, 0.23980503690471736, -0.09964807224256983, 0.06907154454188288, 0.33645930673283864, 0.24086576081406094, 0.2510896590268445, 0.26051192440639825, 2.13644326264809, -4.245119014803296, -4.252841705623326, 8.060699045427524, -4.344418726452168, -4.145171013358387, 8.165647633233311, -4.097574225912494, 4.718369361989421, -1.3781548038682467, -1.4428537488497795, 4.679568550124898, -1.312689976670025, -1.446159320718106, -1.1898792713843465, -1.5158262199303605]"
0.00441114010944843,3,"[-19.157501526531778, -1.3825430681263213, 27.509990423185393, 0.8080541557178479, 0.8459899427959747, 0.8791077828012598, 0.5392652224645549, 0.641970212661027, 0.8126053788878509, 0.77012678920205, 0.8821295481171318, 3.2120160921102894, -2.5642094125380424, 3.641392578415111, -2.743124911641713, 3.6472462539443775, -2.5697940035524627, -2.714014200019248, 3.073951936693613, 0.0731389535095633, -0.269894045041818, -0.3781489295587966, -0.39915866318421594, -6.501055584732635, 0.02876077024598817, -0.2461831143701199, -0.3217855560027031]"
2.9455124693766876e-6,3,"[0.009027359943882223, -0.03587167534853439, 0.04990763505461766, -2.8505644312957834, -2.5565474941037145, -3.314128379992871, -1.7330092288431505, 4.696041751426253, -1.7705687475961691, 4.340080779394836, 4.159285401305108, 5.315393462596913, 5.169915143696317, -1.0279813056104814, -3.6759344141924486, 2.8051201214535113, 2.892299401913803, -3.308269222881403, -3.2201247463923446, 1.1764269332341362, 1.0257821871714599, -5.069746318953951, 2.3091425599999944, 2.4233681546697117, 2.518840554260967, 2.6085240851200107, -3.579240437503398]"
3.987764367607838e-7,3,"[-0.03256399142419057, 0.030830006705148648, -0.03243105086547324, 0.5299716068655824, 1.073799156130864, 0.9635893397178835, -0.3066197534517381, -0.182218617159512, -0.12177078253946497, 0.32238263225375535, 0.2819781374416377, 2.723415441336131, 2.7254504728524753, -3.792666357416594, -1.2850050278132241, 5.244785560197901, -1.0393620347845465, -1.0385027442380188, -1.0385425839677898, 4.575566864071838, 4.030643725551573, 3.91930907814174, 2.647570072830852, 2.768377713147347, -3.5762950197879104, -4.0212717349841345, -3.980839265594794]"
4.043751147264629e-7,3,"[-0.03151272972680111, 0.029678908051500807, -0.031496414842465216, -1.654440370428559, -1.6259519044912802, 4.54733817650797, 3.1400826227980767, -3.0205367675863677, 3.4162545212088293, 2.4378403593723013, 2.229779500008884, 0.07836724331503334, 0.07880605874127584, -0.15533612206531863, 2.6203145200795297, 2.868978672254072, -3.4150436152803256, 2.86793769107132, 2.867881212707886, -2.7912041042595157, 3.4639087290943587, 3.3540451816794956, -4.336628204425111, -4.213865314020719, 1.914702425924558, 2.89331179584172, 3.10143123115036]"
