fidelity,blocks,coefficients
0.09312769461160564,1,"[0.4084014658091784, 0.10978537090410648, 0.10978536982500352, 0.10978537226793601, -3.0318072828493383]"
0.44291642089946237,1,"[1.0980690626355492, -0.525711020475788, -0.5257110202783289, 2.6158816332046295, -0.5257110203298215]"
0.09312769461160564,1,"[0.4084014658835313, 0.46133813605028157, 0.461338135935679, 0.46133813594793627, -2.6802545176084482]"
0.09312769461160564,1,"[0.4084014657299815, -1.311576578463317, -1.3115765879187422, -1.3115765809063942, -4.4531692382716255]"
0.4429164208994626,1,"[1.0980690626475107, 0.4008286577441785, 0.4008286576288489, 3.5424213112201706, 0.40082865778995147]"
0.3586254184160952,1,"[-0.29621466018030607, 3.1971887916565995, -3.0859965145600916, 0.055596138796569466, 3.1971887923008806]"
0.09312769461160608,1,"[0.40840146592997634, -0.6018407295262211, -0.6018407292175911, -0.6018407293787811, -3.7434333830123627]"
0.6485936431217059,1,"[-5.682015437104838, 6.542710929295783, -2.882067031393882, -2.8820670313555863, -2.8820670313724546]"
0.3952999295970505,1,"[5.725390883739318, -5.520059158545075, 3.904718799933946, 0.7631261441452856, 0.7631261525085619]"
0.6387744805515045,1,"[-0.8693728291374243, 0.8433801645887815, -2.2982124968601254, 0.8433801743159434, 0.8433801491860216]"
0.09312769461160508,2,"[0.40840146561392515, -0.13160500850732548, -0.6280049482413212, -0.6280049472557517, -0.6280049507423066, 2.513587687892403, -1.8424669898467778, -1.8424670042649594, -1.842466985072543, -1.8424669843152561]"
0.0931276946116053,2,"[0.4084014658771043, 0.40840146587392967, 0.18201826089857345, -3.5259193532832995, -2.9728068423191654, -1.8282157052064203, 3.602915724627876, 1.0276680316482438, 0.474555520655267, 2.471557037141803]"
0.06144978392586553,2,"[-0.4292472334660373, -0.08873504180053017, 0.7972520653702845, 0.7972520649420922, 0.7972520651035871, -2.3443405885083948, -1.2167364263237535, -1.2167364259303004, 1.9248562275673349, 1.9248562275998922]"
0.2595231173574831,2,"[1.3359233719237371, -1.0427273431392605, 2.7028356576300054, -0.4387569925214311, -0.43875699550021524, 2.7028356606650585, -2.259066094490194, -2.2590660938517457, 0.8825265595277906, -2.2590660919764036]"
0.061449783925865975,2,"[-0.08873504177686332, -0.42924723339103493, -2.211125745183686, -2.21112574577525, 0.9304669076143515, 0.9304669073588097, 0.2987156877532897, 0.2987156883087562, 0.2987156885696411, 3.440308341938572]"
0.09312769461160542,2,"[-0.19245305407800853, 0.40840146588834564, -1.285053729945371, -1.2850537298942626, -1.2850537300762923, -1.2850537299197708, 2.731616214551103, 2.731616214493814, 2.731616214552442, -0.4099764390762624]"
0.09312769461160542,2,"[-5.666578476090127, 0.40840146532318977, -3.4492592592524365, 2.833926068267422, 2.83392604884684, 2.83392606385244, 0.1666826702731656, 0.16668267628411895, 0.1666826595206726, -2.9749099752198678]"
0.08619019341293088,2,"[-2.275424534772173, -3.6410020716301235, -3.539195547296697, 2.7439897797353847, -3.539195538162895, 2.7439897435044727, -1.733829796446402, -1.7338298053008399, 4.549355511116856, -4.8754224540314715]"
0.09312769461160586,2,"[0.4084014658766195, 0.4084014658711748, -1.8918370089896057, -1.0918090365360498, 1.6824599601582615, 2.104076501911844, 1.5440619024146252, 0.7440339299300985, -2.0302350667577036, 0.6897410450891702]"
0.09312769461160508,2,"[-0.36551169073628764, 0.4084014651780677, 4.0473090147828685, -2.2358762927134093, 4.047309012503983, -2.235876294542338, 1.9520708864606997, -4.331114423284097, 1.9520708802591678, -1.1895217687486368]"
0.003106751222374804,3,"[-0.7073182154001882, 1.0063615554200085, -0.7073182167046065, -3.4254019362856605, -0.28380927695686853, -0.283809285730135, -0.28380928330974453, 1.9403878714627794, 1.9403878789154434, -1.2012047823728338, 1.940387879847331, 1.1729572883140673, -1.9686353564697405, -1.9686353611166996, -1.96863535290448]"
0.0003888229980476554,3,"[1.0394995359000772, 0.6735743654549124, 1.0394995371690214, 3.3148269271740602, 0.24129765254214763, -0.6317555364803391, 1.4316909607640642, -2.95466636783787, 3.479151660314903, 2.030998689497467, 0.3309035524957154, -4.920118977328198, -1.71046302026605, 3.699669095070298, -0.5200696897826409]"
0.013844513415929738,3,"[2100.8436898321897, -5974.092190633682, -2226.9621569130163, -1090.1916518900578, -2174.9625629513507, 2008.3785439050114, 1253.6251405388641, -1495.4987125834632, 195.13413040112792, 2224.921741891214, -924.5569552004599, -1909.8467922332245, -720.9812628356356, 1815.1399948406688, 816.4972426471332]"
7.665159184266912e-6,3,"[-0.2477474323753808, -0.01955387102051561, -0.24774743106535993, 1.8488897070520118, 1.8298427253926093, 2.233716516477461, -0.48877760231656303, 0.1492464016982471, -6.1727030479679685, 2.4792495696398404, -1.3438399194109227, 0.011546879487108192, -0.007500020135021027, 0.3963737701899207, -2.3261203377840824]"
0.04812668415387156,3,"[10.57413888933345, 2.2310742147287486, -11.000664010485163, -4.45655117902318, 16.205542165271257, -7.136423808705948, -7.305663921581004, -0.11229119297957434, 3.1790598203920384, -10.122825055919574, 5.961583817380565, -2.3500533331668616, -5.618581638824215, 7.173023031230495, 5.257989149132144]"
0.09312769461160542,3,"[0.40840146586367193, 0.4084014658746901, 0.40840146586839293, 0.9300850983879162, -1.5845346418491046, -1.7611348331498387, -2.1952475242607536, 1.684710429021841, -1.0727363034230848, 1.003388077207893, -2.1842598168979808, 0.20307556295755153, -0.8080432715335446, -2.707567460878452, -2.2273995292752513]"
0.020570360908985785,3,"[1.0603329169110782, 0.5844949366147701, 0.8239615489739995, 1.5522849355437298, 1.024676636143453, 0.966630037806771, -2.5809088187614893, -2.1777013346328893, -2.724553335176407, -2.674388220954741, 0.8631987589263356, 1.6669627897969839, -3.656472120084227, -0.15349207054787334, 2.4080744521110775]"
0.00010390851456432149,3,"[-0.03710459275549729, 0.17478835200504744, -0.2489604849033014, -0.9457184462720406, -0.945718333598239, 2.195874544006768, -0.9457185066996574, -3.173810997226368, 3.1093742504501654, -3.173811080756593, 6.25096721320897, 4.882953340877707, -1.4002320268322466, -1.400232067825785, -4.541824984891508]"
0.12340481512342916,3,"[1.1692147504337784, -0.3341879805195286, -0.9529703182516809, -2.0869113391795144, -3.3666331247160057, 2.0316053922128465, -3.1414200958398917, -0.8401070587776401, -2.0892721701452697, -3.184999244855339, 3.9460619323672796, -0.1704057962683028, -1.0002181698228723, 1.0217220840947052, 0.07688369726269512]"
0.09312769461160564,3,"[0.40840146565730023, 0.4084014651971375, 0.40840146498878965, -0.8632180715278559, -0.07365323603160587, -1.849395952598893, 0.977218410759848, -0.12140304773279977, 0.03474941897538895, -2.3105517752362554, -1.2889663802177962, 0.30543883184131637, -0.6402784708000856, 3.4807654399749945, 2.7741583355349637]"
-2.930988785010413e-14,4,"[-78.50404496124291, 5.364796187384444, 23.652704035080525, -49.55719579653905, -16.49045560510754, 9.755654281989743, 17.950796170656155, -5.550687026659244, -18.792859139481088, 0.26934757557092714, 8.329613063258648, 6.778797124494198, -4.726066304162727, -8.239214473289975, 3.887318683542053, 9.183253313007656, -7.601336881156897, 2.7251851593593717, -5.709307752476394, 5.4134090553072545]"
0.8841654068708223,4,"[-0.7505752385030551, -0.5843389998280721, -0.5330983128183251, -0.44012316096097104, 2.9020704160220596, 0.4837869810519617, 2.6476478248710116, -1.7352901521992221, -2.9480649328305764, -1.014096771823238, -2.4476338241069073, 0.6025569277637599, 2.380180000394951, 1.8232568047239521, -1.0767896066071825, 2.3765803191835406, 2.7054272126676384, 1.820418247768301, -0.03479744111007399, -0.8907390783549847]"
8.881784197001252e-16,4,"[-0.4995523026917708, 0.9459542989389002, 1.5689234441669002, -0.819841386881102, 1.5746548682187897, -2.0091736917635132, 0.868567472697533, 4.079380650912235, 3.6503779724012633, -1.2824312999117815, 1.2974345561811038, 0.10315890596071435, -0.9979520344027318, -0.5762219504873791, -2.2931165554516144, -2.392595480758487, -0.7779170472049473, 1.9342099204828775, 3.4986761273379328, -1.8894425525469962]"
-4.440892098500626e-16,4,"[-0.6472089966269523, -1.631442905858265, 0.9836023874702158, -0.8269482924456281, 1.8627798095029795, -1.7654294453901758, -0.7188625438662665, -1.7195626625002622, -1.4096625328640016, -1.610716014446738, 0.04953583060072404, -0.6087129348058076, -2.5368607453331253, 4.309620436540334, -5.009159581241617, -0.9401024820023857, 1.2955590588515442, -2.6899570201450147, -1.8598050595902196, -0.3531755916043765]"
7.478906383084905e-11,4,"[-0.24127294201741495, -0.4705958405666103, -0.2164856901173542, -0.2552858186079066, -1.9699049472581582, 1.314274536580631, -1.425392868432707, -1.074614029682247, 0.19085886860095833, 0.29395396752581227, -3.7357739315104643, -1.1329839825163674, 4.334112163751641, -0.7372720045774825, 4.726596875863414, -1.2529897582906537, -2.463050197876418, -0.8232417050631535, 3.629639846749495, -2.6154644145540322]"
2.220446049250313e-16,4,"[0.11673653496872363, 0.7054902448737302, -0.5567950098494288, 1.1636651885792895, 1.6148329068598506, 0.17378156500870195, -1.7944915733222364, -1.08707264632089, 2.0536065949829982, 3.8225575191115544, -1.4135176929206317, -3.8853015890102793, -0.9071015960999824, -4.36456414513711, -0.6088906445977963, 1.9364879620344084, 0.9944427157451494, 2.9615337105575628, -0.33241905369568925, -4.242196951258424]"
