fidelity,coefficients
0.009572563696258474,"ComplexF64[0.5237088832339961 + 0.5002053402890029im, 0.9452254939998873 - 0.101014092854273im, -0.7949164198555603 + 0.9857963292075393im, 0.904301657590003 - 0.8004626342800878im, 0.008222387546538559 - 0.0645271588819576im, -1.1303253888067202 + 0.41204357587936946im, 0.5925100779679712 - 1.0277336258157768im, -0.4892261280442467 + 0.146143053613561im, -0.6951779061054354 - 0.12494277253540279im, 0.6117392410403019 + 0.3079887236628434im, -0.4846882079604096 - 0.7478750122573561im, 0.15887947598638774 - 0.17214998548242752im, -0.4122690729832061 + 0.20999643982907762im, -1.1226442598110584 + 0.22584045739731284im, 0.16574590333774528 + 0.009370379751097328im, 1.0319294170466589 - 0.47262968767754504im, 0.34703547596756024 - 0.31438586157468im, -0.8721728802832113 - 0.333479126828212im, 0.6205272200622085 - 0.4870997691973553im, -0.021127791534737223 - 0.1974645964583721im, -0.12941721906041978 - 0.04654054265858532im, 0.6937506259501817 - 0.31312692019011146im, -0.2807464518582484 + 0.5947144070403415im, 0.6556741017187158 + 0.9575343930182142im, 0.14185766527634583 - 0.27547872660669004im, -0.03920422132596708 + 0.7285832578165832im, 0.7409111088464756 - 0.8913888578091232im, -0.9520893024019808 + 0.8785580457895319im, -0.7928816986203594 + 0.904456328434994im, -0.36692793842513105 + 0.6773883158876147im, 0.6147680366528295 - 0.04441633618352589im, 0.3945780647811598 + 0.9342180444646139im]"
0.04162948255396426,"ComplexF64[-0.37622241657486843 + 0.5932176013614188im, -0.7528630947826745 - 0.7172774209270112im, 0.4321312676450681 - 0.23374236990000147im, -1.1970327551107676 + 0.42314278010894046im, -0.8404078979920094 + 0.6315865391666609im, 0.08737171077531747 - 0.2896048289501913im, 0.2676025587831255 - 0.403989157476005im, -0.5452134833903768 - 0.13096709538258292im, -0.8645519581156039 + 0.8897457790248297im, -0.4949896455807065 - 0.4543505332308984im, 0.20949669490826014 + 0.8669814707381982im, 0.25195307246136517 - 0.6874188043731285im, -0.5312939802094077 - 0.8877752698609884im, 0.3560871738775231 + 0.598097731227942im, -0.08900508818871936 - 0.45805811878033814im, 0.22910391753056478 - 0.7052463406642017im, 0.5777210727859688 - 0.3362542794536812im, 0.662016920694558 + 0.04710492991712195im, -0.380530833518389 - 0.6425944834065499im, -0.7614354270179601 - 0.9195647082341729im, 0.8043995458818407 + 0.9403873294661705im, -0.6867055660589212 - 0.6352563577214928im, 0.2029202546938081 - 0.9342416110551582im, -0.12664039232133603 + 0.9430025755273923im, -0.42562370755966455 + 0.736116171532524im, 0.5241221512790321 - 0.24207608349762333im, 0.1775607821798529 - 0.7408216657200127im, -0.0438185703227789 + 0.01931320213889158im, 0.35796094691081376 + 0.34494613883861536im, 0.7331295478052481 + 0.3726996003641134im, 0.4958501973029018 + 0.043650438361325566im, -0.8036414808493041 + 0.8578418560572845im]"
0.0033429638997698463,"ComplexF64[0.29393557126234887 + 0.4856588755190064im, -0.5148427880123737 - 0.447190708532095im, 0.4015574127931107 + 0.8181431136731941im, 0.4858508402988792 + 0.7462240560968842im, 0.34004343050508984 + 0.549024490277909im, -1.1271118820879387 - 0.08858675539909724im, -0.5427708945526186 - 1.0165031242906146im, 0.08959861967350587 + 0.259392539363495im, -0.27968153311614513 + 0.05650095297053132im, -0.6170097437723362 - 0.2550360225387514im, 1.1847278153394074 - 0.2747323353598084im, 0.4787035592534052 - 0.7214994426856898im, -0.7318660725947371 + 0.9007002030057311im, -0.4132558476213064 + 0.3966206570532369im, 0.4919905784521647 - 0.8358833193524486im, 0.7109517575981784 + 0.20403950978514435im, 0.7783049219287786 - 0.4022547291658165im, -0.20691795435666704 + 0.10852411193458338im, -0.8283070708115621 - 0.5501251204200192im, 0.6393988590884668 - 0.1184254541729665im, 0.7758734769313855 + 0.5767957373681175im, 0.40700135028786016 + 0.9938499462170477im, -0.7646993225533443 + 0.6556118159175601im, -0.3404346373147343 - 0.3164271722062553im, 0.9515927010803406 + 0.2998978901078421im, -0.8446361492602468 - 0.7293136876937161im, 0.5247893827692222 + 0.716372333253536im, -0.9727507746737393 + 0.5261860653430278im, -0.5227794544805865 - 0.43515925042907966im, -0.059686203454478906 - 0.6758604834393234im, -0.40318639105982135 + 0.6960467346926075im, 0.42965615931615436 + 0.06542492385318625im]"
0.012824349767743493,"ComplexF64[0.009422036485338141 + 0.2254523419178999im, 0.7803680869682065 - 0.1449943506598128im, -0.29098873408018455 + 0.030202840211741338im, 0.8897858712346962 + 0.7542915926886327im, -0.8601572353349675 - 0.4546383273921088im, 0.06153841582670656 + 0.3499804018060719im, -0.5668152550932954 - 0.43056118683668926im, 0.7557907725880655 + 0.1434816133822373im, -0.8714632953409434 + 0.4047637126722084im, 0.18299682030186676 - 0.78361178965604im, -0.05007061195061701 + 0.5595069873852223im, -0.38112088560625035 - 0.31314485812566695im, -0.29789089470809765 + 0.6229386536292185im, -0.24260644779057497 - 0.6881614363105887im, -0.521534501232135 + 0.3693174542023776im, -0.15010904767695402 - 0.2954677708649973im, 0.6930274120223429 + 0.513983996750314im, 0.21956687626851085 - 0.9956832229097312im, -0.506172518667118 + 0.8196257957910852im, 0.9555671028324159 - 0.9524283658485563im, 0.31186842711319973 + 0.3737227468443385im, -0.9132088346795776 + 1.1022673302034858im, -0.3796882935486743 + 0.2662073630337425im, -0.45832117643292464 - 0.6419058726963786im, -0.7551898803831525 - 0.9237897048451533im, 0.4958520428405704 + 0.1552322731416962im, -0.7774418448665239 + 0.03382735292121815im, 0.9572386705112633 - 0.11231280808993437im, -0.5225338862146512 - 0.3726107231304042im, 0.029886344199289563 + 0.13866397366069028im, 0.6956055998983453 + 0.07906988754944973im, -0.6092295901345172 - 0.24449146607721992im]"
0.018543222231450662,"ComplexF64[-0.6408944277157123 - 0.9265445813734564im, 0.03680907699885835 + 0.5875848211351994im, -0.5496691742112584 + 0.2384626428217429im, -1.0537148322111594 + 0.6912233414846094im, 0.32090050181748236 + 0.45839406233899im, -0.5442443094368655 - 0.7078269732534561im, -0.849559974725391 - 0.8981585480139044im, 0.035664730114995075 - 0.29086157029728im, -1.0778326820622928 - 0.6305999671805671im, 0.28501027299596654 - 0.8381169963519639im, 0.8125821764802903 + 0.6099009857725601im, -0.4468394879743452 + 0.8648526312933847im, 0.4157468300442671 - 0.6191825814673299im, 1.0559960254333869 - 0.3408257165164538im, 0.690491528707174 - 0.6710690598049158im, -0.13584501168513047 + 0.8767241713227845im, 0.624773194578755 - 0.40953478789555753im, -0.5619763766335727 + 0.21375348737101857im, 0.14089450167282783 + 0.27826123305101635im, -0.4931226553095653 - 0.709682793565809im, -0.4480338711715776 + 0.606531230675988im, 0.6057248963345728 - 0.09529171743136818im, 0.29430862326827933 + 0.260053470313665im, 0.6520171702064931 - 0.6353034629061296im, 0.5635908314702002 - 0.5149269956348996im, 0.9973806071615832 + 0.9123228186868386im, -0.6017004167380551 - 0.13486102750964138im, 0.8217899628604656 + 0.26758312269225615im, -0.47913691337607023 + 0.9198331259104885im, 0.08317875626741554 - 0.1075875263258492im, -0.6413832195689382 - 0.6801128652102151im, -1.0006204415515634 - 0.7677581163268632im]"
0.02700141337892714,"ComplexF64[0.8908430144938811 + 0.17809638713106224im, -0.8607261897340139 - 0.09411015641296192im, -0.3016456265472465 + 0.24659257581676383im, 0.2737036345278528 + 0.3780746497186324im, -0.27166816433894025 + 0.8930212268029798im, 0.6960013332819622 + 0.7530222132500414im, 0.6773037614346519 - 0.656075009686922im, -0.32508325041376424 + 0.568832733920904im, -0.6812996039950696 - 0.5034888111232394im, 0.6022746933580753 - 0.14503951368922025im, -0.8653124841185965 + 0.44168596370681523im, 0.6710974189974199 - 0.8411212537445009im, 0.24460754800098355 - 0.18145199358255698im, -1.041980480654768 - 0.6965635731036699im, 0.7128170371599817 + 1.015400612081848im, -0.3462705473868387 + 0.6819802496967103im, 0.9583635892334237 + 0.3950822781299677im, -0.3202464658582745 + 0.4837769516967063im, -0.5871885307434398 - 0.9819876919293433im, 0.8208426485397051 + 0.32681703671546203im, 0.7197149324950636 - 0.4470388062760395im, 0.6748250559787559 + 0.5568453154070755im, 0.5167884641854327 + 0.402374199267984im, -0.21233696910239433 - 0.4990136638305197im, -0.27059864707830544 + 0.520448156127319im, 0.6417584923869464 + 0.7308332880187253im, 0.32465796959730286 - 0.6318727739443801im, 0.9043605347736147 + 0.12801384564000357im, -0.2210282397324957 - 0.3775691504070107im, 0.6609370358521992 - 0.6899012354199487im, -0.055910576465155896 + 0.831535570067559im, 0.7567563063375585 + 0.23574212706128989im]"
0.05870830920550618,"ComplexF64[0.5461133123137668 + 0.5646264405571689im, 0.08728213536102566 + 0.587783585725174im, 0.010336453942999733 + 0.29992176958605216im, -0.20854298495300994 - 0.48033810803676463im, -0.9072985486759082 - 0.4576570982342452im, 1.0903011739485668 + 0.7677267346228447im, -0.7425079467176042 - 0.8988276673767065im, 1.0312553223970538 + 0.32672059398793113im, -0.20641076675104042 - 0.9352552572262836im, 0.7993661796018587 + 0.14028542220116164im, -1.233241275124591 + 0.435007014981548im, -0.5153083981077908 + 0.7233892587462958im, -0.46555343142352146 + 0.8180835225357136im, -0.4634917455087828 + 0.49934145362398513im, -0.8001283222419617 + 0.33588889922843224im, -0.009539819695072818 + 0.509403125522243im, 0.954941407945225 + 0.6901483204465205im, -0.8054700783369488 - 0.8733341330315643im, 0.037094625797851846 + 0.7152722474224605im, 0.35241836615017363 + 0.388372824374413im, 0.2851715223711719 + 0.3227804439570868im, -0.7350322231551264 - 0.6325033995102476im, 0.15132999530494243 + 0.004938212520812477im, 0.36866480307923216 + 0.41020558347814423im, -0.4699570308918292 + 0.34791187028968845im, 0.2567366530208062 - 0.3669652362153913im, -0.7649208385026897 + 0.13706559387985562im, -0.7544069462037805 - 0.7681064689831236im, 0.052494743874575096 - 0.9843917005748911im, -0.6825594461658916 - 0.32926933547959125im, 0.2738156930940108 + 0.032612262592200174im, -0.7085769977774229 + 0.8735243992555719im]"
0.0038751072422369415,"ComplexF64[0.9305311552308347 - 0.1200280035812733im, -0.42811173102911027 + 0.016050462811632814im, 0.7453424616632106 - 0.4166505501344635im, 0.3138406387326922 - 0.2747888913479655im, -0.6780125276491709 + 0.27650319795862993im, 0.37318332866579246 - 0.495567860596451im, -0.9265720134551598 + 0.39310953611269im, -0.6996906074489714 + 0.04977281080476333im, 0.589409558739153 + 0.8173250615613245im, 0.43999897988415654 - 1.5624161697415988im, 0.6634452773735531 + 0.006386217818228582im, -0.4583563699181789 - 0.9634990490254441im, 0.1522116833206217 + 0.4803997456183228im, -0.8456223936174521 - 0.2920966251078253im, 0.12284651299355302 + 0.8272504799568141im, -0.2545992013037813 + 0.5709893723885122im, -0.9607392656614584 - 0.9308456433166016im, 0.445682881270349 + 0.4862778413959581im, 0.31395868629425605 + 0.6516835065703852im, -0.5976745765068191 + 0.5013665793567045im, -0.5496758552108426 + 0.32365152106470185im, 0.34812978093739605 - 0.0434616642873287im, 0.8999286633688811 - 0.0371472757593333im, 0.2882751828949433 + 0.36129268273935006im, -0.8979437901637003 + 0.873406508875125im, 0.8454839713838833 + 0.2750194825814713im, -0.10306626454198574 + 0.36039757909588865im, -0.18310821854816997 - 0.29475135294230553im, -0.06754768251758721 - 0.8013314875558607im, 0.6228675923319227 - 0.178492434267785im, 0.29790198479043706 + 1.0113310422429533im, -0.09472965808760776 - 1.0141624704464143im]"
0.03598235925369608,"ComplexF64[0.8695217798984078 - 0.6514530248953958im, -0.6504934509496065 + 0.6420245731465472im, 0.5896056683841897 - 0.0219160310311096im, 0.8170246571616734 - 0.31032064954232474im, -0.07342152836119956 + 0.8029936840300572im, 0.9115739234541047 - 0.5056490449202822im, -0.8314912201430298 - 0.8271231635370242im, -0.5771740910623679 + 0.24989176507258848im, 0.5137534505828029 - 0.5884136420977499im, -0.6001780110328158 - 0.14369680771358392im, -0.6969268155463565 + 0.08088651059767328im, 0.617353908163608 - 0.6086708096570509im, 0.2508946144959159 - 0.8251911530559539im, -0.21837875557511263 + 0.8048951792822965im, -1.0072456877842821 - 0.006252891777428244im, 0.18339648392495625 - 0.05585040101840438im, -0.05065207276884896 + 0.5935209637833172im, 0.07519512614193881 - 0.15639682942547137im, -0.400774380771593 + 0.15124428007424728im, 0.588573572983378 - 0.32624896045165896im, 0.1949701506661355 + 0.013812731218793154im, 0.49971627699224597 + 0.7819774309958676im, -0.35266528827882854 - 0.1774340684821867im, -0.20982015826855532 + 0.7462854749962972im, 0.6123818506561887 + 0.9567492780533186im, -0.5043184988402984 + 0.164315826675486im, 0.6501824066866194 + 0.02095683964165199im, 0.7255667412296122 + 0.6325074621592881im, -0.8736879106010353 - 0.9523656978855712im, 0.2607565494489379 + 0.5218212608181713im, 1.0083070833158823 + 0.2834522799254543im, 0.38317643042237665 + 0.8379994710374755im]"
0.025676121895584547,"ComplexF64[-0.45536877942981535 + 0.10670041190135592im, -0.8157495984379751 - 0.5780324654085959im, -1.022169702221617 + 0.4426378160049356im, 0.4927211050222048 - 1.0785402946645435im, 0.7817083404047879 + 0.11662469282217744im, 0.6545759267041302 + 0.15374323169797974im, 0.3263947162276037 + 0.8408793665396096im, -0.23571917370422418 + 0.5864972286838053im, 0.5358221050547665 + 0.9932574579539666im, -0.6690682523128265 - 0.20666120728939225im, -0.9797168317510524 - 0.787381408869601im, -0.36571131031347714 + 0.6630058740813717im, -0.8397299378278442 - 0.5455580650000365im, 0.3779774227053272 - 0.3835093911392868im, 0.7146064430313446 - 0.13034424381634807im, -0.9513445106032349 - 1.0437995750572553im, 0.2591513065081024 - 0.09383640212644238im, -0.8313631895485448 - 0.13217268585611885im, 1.0356087687803166 + 0.0031763843956137392im, 0.005901361098117157 - 0.9806064070555767im, 0.6622732633194328 + 0.5217004965572396im, -0.7997965773955961 + 0.5245379459337022im, 0.09903934343337756 - 0.6591346788871174im, 0.6316181770217366 + 0.6311341923097256im, 0.7971524485991204 - 0.002304823060794915im, 0.0855780189859499 - 0.21796964290355747im, -0.10974577378794502 + 0.042348273088951706im, -0.5900734521022098 + 0.4773078741372346im, -0.50776417812567 - 0.7939269759446466im, 0.6698776675925974 - 0.6112538774885805im, -0.830314679343787 - 0.27026222262023225im, -0.9600128352392516 - 0.6811866916301311im]"
