fidelity,coefficients
0.012190985127562781,"ComplexF64[0.48736140783431176 + 0.4535442930365935im, 0.7827500275686767 - 0.25082303651405635im, -0.38227719618061745 + 1.0487877098951068im, 0.8881437281470232 - 0.9953281628693368im, 0.19850535704323424 + 0.03254745399602996im, -0.7296626899130411 + 0.10863473326419934im, 0.22997388800069848 - 0.7619016950109287im, -0.3318934478900437 + 0.26416821765356535im, -0.734739703193181 + 0.05361042797403888im, 0.6835400950715219 + 0.439084674425762im, -0.7685672112519335 - 0.8398479560135538im, 0.4773815544211605 - 0.05181036405797059im, -0.4624830926547069 - 0.07818145153212881im, -1.3607053313118034 - 0.43475494657609326im, 0.6494828142805497 + 0.22894852866849985im, 0.4925587473916903 - 0.5569561923038406im, 0.34226735437682954 - 0.3815343011992859im, -0.9492437066688089 - 0.31082611174549024im, 0.6495701916061112 - 0.428886232389612im, -0.000577052401908883 - 0.24419596163803908im, -0.11947277189674939 + 0.04767415694600782im, 0.834571310756273 - 0.4291990926484262im, -0.4087941321586274 + 0.6481407480941487im, 0.6238164520490935 + 1.0730985898636887im, 0.22173862549867668 - 0.3430458420435338im, -0.014644409134566525 + 0.7728303930645269im, 0.6842495420444835 - 0.8833765350379835im, -0.999232821047915 + 0.8156449172639791im, -0.7709617496309255 + 0.9559191003365077im, -0.3689327410772523 + 0.7077718627832593im, 0.6078330241904735 - 0.050035054373816376im, 0.4712622567520944 + 0.9137238773300784im]"
0.010886338766949333,"ComplexF64[-0.10045402460530407 + 0.3225470379627292im, -0.3592059801388044 - 0.701123891375229im, 0.6468501118322272 - 0.5429280455119949im, -2.2009101369946937 + 1.9000858568535886im, -1.3236133487750932 + 1.6846168498690741im, 0.7535613502933279 - 1.448681055645455im, 0.5975160493786343 - 1.7460116751020462im, -0.4527046690961332 - 0.6936579193000038im, -1.2608893106559886 + 0.696667575762653im, 0.040191936052237615 - 0.3300636959554008im, 0.37350156244551613 + 1.293150629062966im, -0.33703497492164397 - 0.8676619526626228im, -0.9222541747196442 - 1.739019125184173im, -0.015666051799796892 + 1.3755015025226522im, 0.026955979511461767 + 0.027445682518930984im, 0.5283873171942561 - 0.7394821563120297im, 0.6574748934727074 + 0.04587934647691808im, 0.6119921806969164 - 0.060742783976046204im, -0.373026858602651 - 0.6612035596573718im, -0.9445151796457579 - 0.6264557490202597im, 0.7116257108434368 + 0.8052816615622823im, -0.2055542931298665 - 0.8661843344410455im, 0.15726660610135515 - 0.9843523208991348im, -0.30983502814600344 + 1.0626972012803146im, -0.2517375630598057 + 0.8565589561782989im, 0.30991223486635566 - 0.24833319684151603im, 0.06358725490968106 - 0.8975571619632956im, -0.11468463663571848 - 0.25309196348997126im, 0.522162335256502 + 0.38865917461210175im, 0.7824282633784855 + 0.47730199674941304im, 0.4463293483496674 + 0.03884937688618741im, -0.6570644830012133 + 0.7312838394476133im]"
0.01212663208431497,"ComplexF64[-0.999121639379059 + 1.645807864437379im, -2.5175130528097704 + 2.1989830775173513im, -2.34037995443552 - 1.6978071967444228im, -0.3198773027443912 - 2.7532161481370276im, -0.1594465428944453 - 0.8706368352224467im, 1.7712500270105487 - 0.37437111730275274im, 3.590222415995897 + 0.8483946829946273im, 2.877836882919455 + 0.8987916959037298im, -0.8642725856670728 + 2.5292817317822216im, -3.3737020460143796 + 0.3572073516314608im, -1.1391916178950665 - 0.6979707236681063im, 0.7018229206994078 + 0.2596282151777234im, 0.06749653238407309 - 0.5243877192709632im, -0.6694807533084255 - 0.5310318025290348im, 1.4303938148357889 - 0.7056177945716339im, 0.595310880985178 + 0.14536313009422083im, 0.6840885969189485 + 1.924760049628688im, -0.17258632581106795 + 5.49443758734614im, -1.0555013192418892 + 1.7644992845075926im, 1.3921612788560758 - 2.74479912761901im, -0.9046718435138115 - 4.59644904612442im, 0.08565183950359763 - 1.0404924213258728im, -1.3952805889020687 - 0.9137078251055846im, 1.0866801251500238 + 0.6878593323173017im, 1.0261931545460734 + 4.694116188343674im, -2.83900513011368 - 2.3314220981102176im, 2.9917411512716594 - 1.5593673968272015im, -0.18691428264778304 + 1.9119243975851936im, 1.3808366207573661 - 1.3106356365758407im, 4.082307569388265 + 0.7121476331128305im, -2.857375877573519 + 2.945458793525766im, -1.8315747946254368 - 1.1621155319943992im]"
0.9842125318394965,"ComplexF64[-0.6210396888392126 + 0.47078481757662755im, 0.5292067081435934 - 0.0041080724895632im, 0.09563024640010054 + 0.5964802851432416im, 0.6531853483079335 + 0.35629473802013695im, -0.5756737535636773 - 0.7599912608196249im, 0.11687388144281524 + 0.6647992703232336im, -0.7933761746998397 + 0.39212785553401547im, 0.609244207048738 + 0.11366930125858155im, -0.35960357715615815 + 0.06137063558994031im, 0.09988745720155104 - 0.8685346820428754im, -0.2992948359179817 + 0.901826048192769im, -0.19577657424763445 - 0.2888712098436219im, -0.3855880937557618 + 0.9224605108523493im, -0.5598293722838834 - 0.9486892460214549im, -0.4964151098260877 + 0.03739286794688252im, 0.10025789113793135 - 0.7665464575139885im, 0.42130803021757235 + 0.46525285530077504im, 0.31586507977286377 - 0.9542608365498649im, -0.281420636547209 + 0.7483753427273014im, 0.6501613823560071 - 0.8069168039950718im, 0.15982773624388713 + 0.35101071564483194im, -0.732263141007416 + 0.7333233016967114im, -0.36768873635094673 + 0.18495424020835954im, -0.3696644212481711 - 0.4452335784825595im, -0.6896391394492871 - 0.7306924401471584im, 0.36137062156272387 + 0.1522455201001052im, -0.7401161458900305 - 0.09046315786909695im, 0.8771478818670903 - 0.14227376975342182im, -0.44829009452689716 - 0.3424345922082073im, 0.025599455072662834 + 0.07134574855122772im, 0.6378472817127468 - 0.005681938325104857im, -0.5037779755029169 - 0.12867139693195873im]"
0.008506871698955698,"ComplexF64[-0.13000699936515464 - 1.104843087094201im, 1.041356714902711 + 2.1120406658179682im, -0.4243325544037793 - 0.5703351441442236im, -1.884982705424335 + 0.009230528360425629im, 0.25455471929413537 - 0.39672500707366315im, -1.3465012277389665 - 1.0182249777719057im, -0.7679100407628733 - 0.4082985909488486im, -0.47518239884817276 + 0.04689324824115721im, -1.1301257191177856 - 0.6579573030125456im, 0.4177178316618247 - 1.350204993895379im, 1.2193472062180961 + 0.61090780301772im, -0.3471803830884959 + 0.5912619224809326im, 0.10704760664833354 - 0.35886874754919135im, 0.620074235786316 + 0.27250233370204446im, 0.33005399575314376 - 0.9141604914255471im, -0.39460859431581796 + 1.2561370128536733im, 1.1751122306827306 - 0.2547812191230609im, -0.6166661768909023 + 0.4129106829944826im, -0.25710219852723326 + 0.34781741537795763im, -0.8604888010260265 - 1.1091535562572887im, -0.3267263281353136 + 0.5420437369117203im, 1.0248767545744406 + 0.4072134359151377im, 0.5931978128945784 + 0.5379611863156617im, 0.6035630751982213 - 0.8767445103510777im, 0.0653792375413557 - 0.2785534327346056im, 1.3404682839968551 + 1.0859391247226708im, -0.5129816437842403 - 0.45800766657356035im, 0.6926424399093755 + 0.3249009836721374im, -0.30634919498646057 + 1.1295133895256337im, 0.2629528011374701 - 0.21029984644308303im, -0.7769932906013578 - 0.7511324486795806im, -1.106881122059918 - 0.7280597546736188im]"
0.018820125946860666,"ComplexF64[1.01985981204889 + 0.3666010430710391im, -0.8531047930326298 - 0.15774146863992045im, -0.2743329308584636 + 0.410966650482856im, 0.35042831266782326 + 0.19644929190438704im, -0.0484306175621997 + 0.8849859086963103im, 0.8108485690876036 + 0.6346882165542839im, 0.8369647042378587 - 0.7652978369758053im, -0.27009137058073684 + 0.5572375567089434im, -0.7701606294043543 - 0.4563618226304596im, 0.38567971938258006 - 0.12760742358730043im, -1.013240540012055 + 0.5596108056667263im, 0.6098144845878101 - 0.7532398932583789im, 0.15208559329602783 - 0.3910077222909257im, -1.132962227567886 - 0.5870636674723212im, 0.668446888084755 + 0.7749628288907932im, -0.2517526742509824 + 0.7538569808362826im, 0.9840335743531894 + 0.4064522097015642im, -0.33486562674242143 + 0.49616104621513507im, -0.593201497866959 - 0.9928623444864967im, 0.8675909821626068 + 0.3252027218110895im, 0.6976062903620119 - 0.4635478270321434im, 0.6487630221603199 + 0.5428729165399608im, 0.5085866709717324 + 0.4268278633322635im, -0.20085826750510985 - 0.49835665879061736im, -0.26019726405218513 + 0.5264121043988172im, 0.6242126807758004 + 0.7382267593699798im, 0.3292908537747693 - 0.6571154133949206im, 0.9101884086040356 + 0.1693947855281857im, -0.24304824644476716 - 0.3683757967515974im, 0.6752444290395366 - 0.709360654104185im, -0.049442461880334944 + 0.8337297443311772im, 0.7667334136862254 + 0.21720122190073557im]"
0.009265602707082876,"ComplexF64[0.789673157241205 + 1.2831272975482189im, -0.1474957849708634 + 0.0672075905899352im, 1.121985435567063 + 0.15877631520123375im, -0.801028625368868 - 0.8121957039325212im, -1.869623452662568 - 0.560183613478827im, 1.3967847336952022 + 1.8441552044187202im, -0.4452389693639183 - 1.7005621156134887im, 0.6983201014882386 + 0.8252132381644265im, 0.18848307189378033 - 0.8242662690470222im, 0.43321357457257953 - 0.5351609241650179im, -1.0354907935616224 + 1.336381463322141im, -0.32464583319122536 + 1.0479760330972026im, -0.3347549528908755 + 1.357572295752594im, -0.592090279267553 - 0.13778462295514685im, -0.6670669698826648 + 0.16058578634974024im, -0.09977077857112153 + 0.2528635466830949im, 1.0586719739435333 + 0.5534372612346506im, -0.5618242994969453 - 1.2227131532331368im, 0.2150936824500579 + 1.9819092941536607im, -1.0852594265062445 + 1.1355550811812194im, 0.987385849813043 - 0.48809744675572553im, -0.3643676842158523 - 1.4705310689482138im, -1.1830161202359122 - 0.9813249985909472im, 0.865976561570148 + 0.6857498682371155im, -0.9890873419788083 + 1.2618821662134667im, 0.2642773131247873 - 0.46486363805728265im, -0.8703082758095688 + 0.45378257543906575im, -1.3637963461567912 - 0.5627626682013595im, -0.06167172842661454 - 1.7056349335273175im, -0.7084124424139577 - 0.8874913712082664im, 0.8327555201815016 + 0.14400497920259392im, -0.9181130322178856 + 1.5414896000294132im]"
0.020079465481941172,"ComplexF64[0.621559363021811 - 0.3845685369040458im, -0.011979039946600368 + 0.5136323233314558im, 0.7665286047165949 - 0.47587391423288im, 0.12668253004853625 - 0.5827240531667852im, -0.5145170536663463 + 0.6055907596139559im, 0.18963876181749445 - 1.0239213217836602im, -1.058241522629125 + 0.4866047390614966im, -0.5962017046442343 + 0.40727907608378605im, 0.5853431179424718 + 0.3521938158091837im, 0.23071960925490648 - 1.2099794744247427im, 1.0096940054077492 + 0.0013302355782775998im, -0.6632689496182957 - 0.6290481466023152im, 0.20906056395222383 + 0.5076870549501422im, -0.9277734253527875 - 0.016265803873434im, -0.019523639091860133 + 0.48855876766884504im, -0.3788381845663028 + 0.7035195908342541im, -0.9499073516017373 - 0.9419149435075881im, 0.4136639014163586 + 0.5083847435797021im, 0.30598371619571 + 0.6282306838950654im, -0.5623646961922425 + 0.4701185230086091im, -0.564242549069271 + 0.32881766974269855im, 0.35773407129248097 - 0.042781125037726235im, 0.9377486737486229 - 0.01824552242814876im, 0.2288358471835713 + 0.34444652668333864im, -0.884005046677157 + 0.8558749019451786im, 0.8567546347260871 + 0.30575434974273713im, -0.14812230287493547 + 0.3435604568069514im, -0.1366392043702061 - 0.31117125730076794im, -0.08658925334658707 - 0.7958060268453028im, 0.5879912552044332 - 0.20024294770339035im, 0.3596441962913128 + 1.0078777544750928im, -0.135834432023965 - 1.0021046719086688im]"
0.009477273368482142,"ComplexF64[0.8443526589786792 - 0.6881106144508708im, -0.6578475150817535 + 0.2785649133082988im, 0.34571710610649936 - 0.2973798151445986im, 1.0776240080439003 - 0.4835313881594462im, -0.27180253525169956 + 0.5610811604236776im, 0.802758159519103 - 0.5417166861928642im, -0.8234874557495799 - 0.6712464833686201im, -1.0172363419205295 + 0.06727796664068723im, 0.6424337715567104 - 0.20192993130411296im, -0.7832084781276529 - 0.10836250600383081im, -0.9135619064249284 + 0.1940363186861581im, 0.5656658185335716 - 0.47029629820086016im, 0.13837964781664905 - 0.6743653849455654im, -0.04183366631531096 + 0.8391291803186328im, -1.0436732033432565 + 0.24804677912939763im, 0.2569282008784197 - 0.08109122253765556im, -0.08390460130033861 + 0.5589512031853404im, 0.07117494324223762 - 0.14913922515166905im, -0.3601144580296238 + 0.1678764315773119im, 0.6042543825836807 - 0.340624311765053im, 0.1966423675795411 + 0.029840975214899187im, 0.4767770172595058 + 0.7741003360348351im, -0.37771782337175486 - 0.17685068396286147im, -0.1882498046166676 + 0.76352878081792im, 0.6172063314374168 + 0.9773329634895721im, -0.51580678645274 + 0.1563378057115124im, 0.6418401305398775 + 0.004168562832186641im, 0.7305625993086409 + 0.6315358982482834im, -0.8723073239026076 - 0.9529896763341157im, 0.2464481019312733 + 0.5120710000598802im, 1.0318471444899289 + 0.2879320468311117im, 0.38008202263400986 + 0.8265600087132787im]"
0.028231238489590638,"ComplexF64[-0.46122025394543636 + 0.3379460619173381im, -1.127698916609026 - 0.4402966943253645im, -0.648680646793327 + 0.39783668091593927im, 0.5325016120738361 - 0.642495484097348im, 0.5244933048071481 + 0.20073599463387162im, 0.6872196405256311 + 0.26964205352243187im, 0.5636438861947443 + 1.010005675149392im, -0.5644404534956479 + 0.36085100102262235im, 0.699410777112511 + 0.9207495307189242im, -0.5465264533121061 - 0.13593206390886112im, -0.7657069455558083 - 0.7904409912016189im, -0.40515212623396085 + 0.797943930705348im, -0.8071439798349536 - 0.5349225199637374im, 0.2851713610357777 + 0.07845899399971966im, 0.6428666639656202 + 0.00491939438674454im, -1.0345548899983728 - 0.8551934776061281im, 0.2528766511951054 - 0.04676015361778824im, -0.8649605565655784 - 0.0997903705751542im, 1.0694873392950086 - 0.0028016015180760767im, 0.0076316894614129275 - 1.0769608206449062im, 0.6332141219846508 + 0.4403370238275062im, -0.8355690874165291 + 0.5478465058578157im, 0.09009430633324546 - 0.5784421220114093im, 0.6290945159128863 + 0.6191368814592746im, 0.8661930122806158 - 0.041392490364824584im, 0.1164895858201207 - 0.1453142463617458im, -0.1451434675795802 - 0.01224337671334791im, -0.5546737557103171 + 0.41489442531640397im, -0.5084648091574231 - 0.7421004697181571im, 0.6058768604551742 - 0.5437552115160935im, -0.810599818270971 - 0.2719028815201847im, -0.9351445386213209 - 0.7407337306931051im]"
