fidelity,coefficients
1.2050709357058764e-6,"[-0.04655796680841195, -1.2438292833378375, -0.1406460486076321, -0.14079181631807583, -0.046678942303087126, 0.27906031464822534, 1.8863479204732916, -1.2898175746932359, 0.5407841705366296, -2.590294425795943, 1.6119972951312043, 1.4608846382923544, 1.460376135629278, 1.4614619725689404, -4.821975670276195, 1.4611896647380138, 1.4573633778977233, -0.747380276689663, 0.8184810945838297, 3.2310701225570466, -4.387912831043584, -0.35720977306373897, -1.934240834005821, 3.9667236624146898, 2.40331084297529, 0.011449497626258203, -2.3956097138618038, -0.134358673458309, 1.4394809695701825, 0.03625512340061234, -1.5732717273460013, 1.6200414644408898, -2.824640509764129, 0.3334395836920966, 2.417219675660906]"
8.15504867257566e-6,"[-0.09873058290370325, -0.09690667491339451, -0.03679773341134153, -0.4906243753589451, 0.17300410660395318, 3.216377297936684, -1.3712575088485013, 2.0610812214446965, 3.038562835329238, 0.6519639308060302, -0.8616456945786094, 0.8471152484212656, 0.6716950373804182, -1.24034112510092, 3.809046750687828, 1.3920895970594447, 3.7203388524035224, 0.8591267581919335, -1.7714872306990788, 1.9173289208648658, 0.6118721893852194, 4.4041757752827, -3.2670839137082077, 2.3356728446053907, 2.6626092669321375, 2.9994922758310025, -3.001194658959084, -2.6794334523275025, -2.2916022059065995, 3.2488190789986304, -2.2485962558785304, -1.505842550594644, -0.23431099833674032, 0.5151517403624025, 1.2532574306133621]"
1.1572582339081094e-6,"[-0.0002540585026476328, 0.059226469189171425, -0.05919561815586493, -0.05970134121021452, -0.00015954853798958766, 2.6242808767190433, 3.468570344610044, 0.6292876729801703, 4.6329029667086274, -3.412835772295953, -1.314389144790783, 0.08868211752853898, 0.08055068932201265, 0.069459487538915, 4.608445356682769, -1.668420540187266, -1.656125071700939, -0.06137543669294201, -1.0869564032653205, -1.7852384815764033, 2.3022004650897667, 1.0164149964912803, -0.001099822373791362, 3.9416583246364154, -1.334225148806721, -0.661758288055215, -2.9869898324119917, 4.570667663167993, -0.6914464531714899, -2.1148245762820483, 3.350566284503238, -0.05639061057853675, 2.204511028051785, -2.311001123266547, 1.8587612490786607]"
0.0002152934415283747,"[0.27196970356879696, -0.29074064305079284, -0.9982549435355931, -0.9865772767460822, -0.991322072350017, 1.064313141459096, 0.9747347214803145, 0.851153693490239, 1.1591981351697915, 1.069453836972002, 0.9642033662518564, 3.481992182514418, -2.628019005230769, -2.4310205068304382, -2.6870253568051483, 3.7378660504153136, -2.6239898250421985, 1.1399938675586805, 2.861750813727246, 4.2537653826659705, -2.772802645838739, -1.6495584350190355, -0.7833229064951271, 0.03248676602825607, 0.7624937055684112, -2.459299066709876, 5.145417304341611, 0.09257850824588998, 0.045435053436161804, -2.946609458982109, 0.8005062124600599, 2.5498705332965623, -4.367130568277638, -0.47055691156939894, -1.4366013509533955]"
5.9877035439193094e-5,"[1.1109633544887438, -0.805462634248983, -0.1002126567329486, 1.108286206792129, -0.7953456756599302, 1.8785787968082548, 2.205803075234327, -4.216909582940494, -1.1674678432045427, 1.9046893868336596, -0.6823072618617221, 1.2838253308073837, 1.4219894514504485, -4.875712385374386, 1.395958006772547, -2.0862681440184176, 1.365346745282141, 0.2790205361055302, 0.5138008564978472, 0.4555427511941626, 0.17743307457680735, 0.3861418598548805, 0.34159664137941465, -2.001141455697675, 4.021608988009034, -2.004052210033365, 1.1176761293928186, -1.9181876507213094, 0.8257821898734052, -2.5948902957497197, -2.311157936373596, 3.7431793491432876, 3.9179433611532364, 0.8803386223959255, -2.6368595422465892]"
0.0009945853612673972,"[1.4405637781177227, 1.3457255469072524, 1.393051863622358, 1.5383354144345827, -1.599167909836446, -2.6227590347508714, 3.5935449335788987, -0.23216076192764581, 0.1959683225015755, -0.25553433059115327, -4.829279473948677, 1.4802417805727048, 2.175880073968299, -1.0717015489325425, -2.220383287820987, -2.3269309981141966, -1.5059917779814382, 2.709797732311005, 2.6005215195765365, -1.2440402878807715, -0.7385748153906769, 0.24614075690102644, -1.7042430090685332, -0.41683269272484774, -0.7094335772124157, 4.086145180852547, -2.189164376497101, 3.913548268542289, 3.2082328279489314, 0.16642999289246274, -0.06757466290027375, 0.04559135213748176, 0.20845841510830296, -0.34260756723226976, -5.955027728982782]"
0.0007043920473543963,"[-0.8739097975551052, 1.8928470326216476, -0.8485964740156867, -0.380843263829004, 0.4469452355075049, -1.5059459750609212, -0.420820127139633, 1.003509016531943, 1.382387625944633, 2.8060253542640154, 4.485679800488858, -1.302795589180638, 1.128264195429144, -1.597590987024894, 1.9646763069636528, -1.4425743214368825, 2.6890680678114522, 0.7073830858835244, -2.1361671378396694, 6.041625068439283, 0.1948287783737436, -4.410206214446182, -3.611470269922743, -4.0922897591381036, 0.4618521799715144, 0.5455601694161365, 0.9240294643289703, 2.3091785419292665, 4.526686109587599, -0.9367622017054242, 0.40265522858327946, 1.0914866589211536, -4.319666262817584, 2.0713613530672674, 2.003734687068166]"
2.0834573777328558e-7,"[-0.047100349402900435, -0.0471004514056524, 0.045078386187935936, 0.045095012974472444, -0.04245094504324057, 2.582016681613779, -2.35854789202223, 4.171732321665654, -2.944610452047935, -1.9855280911493172, 2.9944272220949424, -4.376536092372859, 0.6065235908328529, 0.34983525528997056, -0.3683619599794773, -1.3382289357377284, 0.009444273630304319, 0.7229350016619162, -0.689213197338372, -2.2459556701337546, 2.776055025835769, 2.2697975231088456, 1.673774488936242, -0.7976871454356731, 0.61644348612761, -4.093696049590125, 0.2222591154426547, 0.7449905956722123, 1.343162581112435, 2.2106970368691226, 2.1660805593253056, 2.2075855307192405, 0.607871887643405, 0.6506628593516197, 0.6039196845190391]"
7.221916307198484e-7,"[0.028046173748725832, 0.12097185322390228, 0.06519232961670815, 0.12927149439056015, 0.048685331272337866, 2.5616614890432805, -4.81861622136369, -3.011305434698902, 1.508684599463929, 5.223324394986404, 2.597261053808707, -2.0335418903039777, -1.608098240656156, 3.322342990596198, 3.2212944289743706, -1.7237372240403914, -0.3658135718365499, -1.6440810204319207, -1.3334363930579556, 3.0898093737660224, -2.6622277786945667, -0.7317627190058741, 1.2109312935170147, 2.0085053310553986, 1.3035230826157505, -0.5068211344085013, 2.539210564518225, -1.8703818449823515, 0.032955261589959255, 2.6715640427108434, 3.7508873034854213, 0.6114617153130801, -1.0462943818422468, -3.630091514167241, 0.13781385510029437]"
1.3408012027316119e-6,"[0.03950447257140172, -0.004303737372637896, 0.03928394464829051, 0.08742131086352317, 0.041411442374875714, 2.5266981432477653, 1.1473853469616808, 1.4555242921485672, 2.9989544855103754, -2.942477234302897, 2.1728846162731044, -1.944727939094459, -1.6165119733276752, 0.8824082910345487, -1.9420728718596063, 0.4952358696098223, 3.084363113130138, 3.5132132908108153, 0.5764362457164977, -1.8189315680865046, -2.140524952401496, 1.7978008813942654, -0.5879144688570376, 2.1790931138167613, 1.9133569645644906, -2.1275579888684506, 1.0239399670864224, 3.223186238997104, -0.8370730247315773, -2.861664356207499, 1.3864056476907787, -1.3034297929664918, -2.775573800666859, 0.8360539050112206, -0.40486148017343593]"
7.731008531131067e-7,"[0.004698887955398551, -0.16636993101170663, 0.053853520985109184, -0.016349656253077875, -0.10925121168110362, -0.5506760660776078, -2.510586394254788, -0.2823770084478389, 3.7199522043026567, -1.8093403863767286, -1.0536530976216927, -1.0291968844062371, -1.387425425266359, -1.5165647006823877, -1.3864191050515822, -1.4003032582292299, -1.409744228077369, 0.37637338628428046, -1.5032462041337185, -2.2200335428528497, 0.9264779744817426, 6.146579997844435e-5, -0.9415058004130283, -1.2976899308918906, 2.100951045845473, 0.5570256504896816, 0.4283478554407112, 1.1248806186966918, 1.7853203490763039, -2.2507076813754745, 4.818009371580799, -1.2779525054678558, -2.165941183923647, -2.6695271517516526, -3.1844073188133764]"
2.445947251461522e-5,"[-1.4424854460633805, 0.02806311883524683, -0.02606080630888095, 0.05489228763883172, 0.00797724549440588, 0.3083021835070827, 0.2998539969961212, 0.2983754222984748, 0.2867987906212923, 0.29717117794639847, 0.26852087392372603, 1.5472111585094264, 0.10976880276729231, 0.5554210840081333, 2.189373589677585, -4.011685929458307, -1.4014409737331113, 2.660206225098619, 1.7155772617740874, -3.6713652023399295, -0.6783837511956086, -0.6485366194799836, -1.1423991346983857, -6.391555515558833, 5.6742198245113675, 6.1389941058485595, -3.4945477979079502, -3.54869296429022, 7.915152682577825, 2.2817389555326257, -1.1215994666830122, -2.943811696001408, 2.1021660872261068, 2.0411975945605034, 0.9875688233200195]"
6.356975138233079e-5,"[1.2402223610835315, -0.046341126981114825, -0.057220474559404225, -0.8773942642253469, 0.4176225406976893, 0.8462016077449646, -2.2104512478758465, 0.9418334475199607, 3.955265784054907, 0.9784761604206904, 4.053603802906331, -1.8314089976295378, -1.665256999400416, 0.7406757546672313, -0.6062134740571297, -1.9071589945111078, -0.17120924221849254, 3.6303378481078843, 0.3512143357038106, 0.8649379962484043, -1.1678779638325942, -2.707129052379018, 4.638422631972027, -2.0757323003887422, 1.2436955879754108, -1.7895535261126252, 1.3842453518483924, -1.6367509198004961, 1.4793006372665596, 0.5781565064521249, 3.458343196925768, 0.0635286638946014, -2.706324637275987, 0.2978536657277121, -2.9060914632882]"
0.00021418202505529838,"[0.7039345721809891, -1.5417833262657155, 0.7019783502520652, 0.31590453943198094, 0.3619477422204711, 1.9023838709665961, -1.0372554411941202, -0.6289791606737153, -0.9182118110286869, 2.016996892237508, -0.9510502341254465, 1.862444528890742, 2.2449950262063294, -4.391998481899037, 2.12391673801596, 1.5824268093698515, 2.1510987805241277, -0.039134842607405886, -3.189432136989133, 2.376846301276786, -3.3685451602331233, -0.22081250182488826, -3.288564830841549, 0.9835995040273576, 1.6393530268084298, 0.0509817618242078, -1.3795783440496634, 4.282976450318158, -2.523838640726589, 0.4057785630011557, -0.1966834355710741, 1.5330714648285249, 3.042165441441912, -2.7855581850714883, -2.1845539719787106]"
