fidelity,coefficients
0.0035607529980185015,"[2.2882595495344784, -1.3033167699225243, 0.8319006011372231, 0.12911070378144018, 1.3482378631134295, 3.070290329773922, -2.4087932536208596, -2.336684288663746, -0.6652986915522083, -0.47291604563012757, 3.2514795089995463, 3.2782728951690014, -2.100953195091936, 2.9734199217398882, -3.0497362344138415, 1.639713888839043, -0.26141793934514873, 0.299739398919057, -0.032173273069465574, 2.440452414403189, -0.8823941321865687, -1.6555090154942191, -3.5473079441177946, -0.012911245289766367, 2.9707171422962246, -1.1686998536411684, -1.3430568627224122, 3.5048526115163736, 1.3400945932392352, 1.4991689281165637, 3.4839445381547876, 2.452198568857775, -3.2925822561275906, -1.6075116662782263, -2.526173860641331]"
0.0004735992707413095,"[-0.2572623753460148, 0.7304889428852819, 0.0543065998446954, -0.749556850855299, -0.056064404130967374, 5.657464806977053, -0.3492679194213989, 0.39875643104881736, 3.7340066181755964, -1.7129646375742518, -0.9929126789868591, 1.120424100358816, 1.1419755843228272, 1.2332635475456437, 1.4146374357690519, 1.7065653642588292, 2.5830782149560383, 4.62798917977117, -1.5779328217868318, -1.8152083326248334, -0.24668508806311093, 4.162804281671903, -2.3970340999494595, 2.377152887510104, 2.418523764890502, 2.380398253030513, -3.961636816594877, -4.182952728033565, 0.9940586169922645, -1.6426468057056547, -2.140967951356363, 0.6697125431838026, -1.4406757804276111, -0.16446795938333938, 5.747524907317235]"
0.00017352969281891895,"[0.695055037589249, 0.20978841274404192, 0.667872045464581, -0.1457527487773586, 0.09281442249638872, 3.1366531704852174, 2.545970860674697, 2.141431322854042, 1.9849130058078774, -4.435809462236639, 1.2546571492707952, -0.019466368158926974, 2.2836680381553043, 4.100030283634607, 3.0005981075914288, -7.669890071145644, -0.17234836018481026, -0.7445024800248643, -1.4368339752198562, -1.911177494836966, -2.216306976877683, 3.687924282156984, 3.0048418431395287, 0.9008832966040756, -0.02197073113909959, -0.9212054393679043, 1.0184271893385242, 1.119761184254777, 0.7420112147036712, -3.0744983915697413, 2.861555101806403, 1.9366654603355622, 0.0010979339518242882, -4.972489387384604, 6.179290719840691]"
0.00013131856458403757,"[0.18357577230648758, -0.6806624057937979, -0.12471843580004613, -0.13283967642249295, 0.1717650579194084, 1.235287367952249, 1.4314740375343242, 1.557885943288483, -0.6064619939691249, 1.0740460294659477, 1.3908259851603826, 3.2403202925095616, -2.9865335179415515, -2.888752296250467, -2.800358767369942, 3.6430900624114133, -1.357962560636378, -0.9636943915391637, 4.015827169353235, -1.1811444460741682, -2.5305620690197683, 2.5541487310486874, 1.1552510156495814, 1.0265266961395287, 2.116901724591977, 0.49088069516689814, 3.017701778630093, -2.1548733705934873, -0.8780218322344301, 0.761986994579939, 0.7238230010566574, 0.5750616550920923, -1.876236997739053, 0.08512414934744565, -6.140279636312892]"
0.003976281116587876,"[1.078000853235916, -0.48308464977330895, 0.20226202777726696, 1.0068772363216385, -0.8057551952083146, 0.06027915525256067, 3.0243932904614015, -4.372716546737435, -0.18292490651720866, 0.4344494651255928, 0.9589061228963066, -0.845026335163196, 0.0764231641431335, 0.403443995113576, 2.0989592043429837, -3.8539189637128257, 0.6252578813489438, 3.393920158538969, -3.1569368726840015, 2.4315781333565, -3.94833699948641, 3.0468778970482226, 0.3864332404710973, -1.8840253063334, 2.095102753088855, -0.4546493974583488, -0.04509226935672342, -1.3941593103385346, 1.7245094777418761, 1.664315870483816, -3.6554455082400548, 2.904521417269262, 2.736861329992826, 0.16139914673753236, -2.8130986689319673]"
6.326445966875482e-5,"[0.18274468888541276, 0.1764484560523047, 0.46422406615432504, 0.18915939212400618, 0.00798167749222742, -0.483773485564352, 4.176799944287462, -3.1545819783837725, 0.6994644771041361, -2.2730597980734535, -3.115067901975886, -1.134500522176663, 3.5114619476800226, 0.9401919781297393, -2.8880901586294767, -3.5182834071322264, -0.379664463852924, 1.5843768120499764, 0.8396048110390688, -0.12199853935030398, -3.1725815499763375, 2.1393983425296534, 0.6008033892956839, 2.228368959427791, -1.2254971942116657, 1.2841626743913377, 1.4623186845726766, 4.110835732484424, 0.0323069393752464, -2.279748516988745, -1.0542829980522048, 0.8936156616510356, 0.7775610311536569, -0.35515846543689256, -3.92671715214958]"
0.00839309302840796,"[-0.8197505475941071, 1.0750670442377208, -0.4915086089986606, -0.2083093046109553, 0.3268413644772155, -1.9297644686681468, 1.6719361866345541, -0.2885214152361684, 1.2641413022461223, 3.72120944117268, 3.3118346618871786, -1.4983669810062634, 0.7377209558957784, -5.986236935212457, 4.325313512711466, -0.5283467688401982, 4.388963877429265, -4.86573770952553, -1.8182861710706408, 4.708821070048323, 1.0473231616315721, -4.32625355718273, 2.0401265116917537, -1.7441452327772953, 4.141745764029649, 0.24123335187535808, 3.2170807648516484, -2.709944925315353, 1.52904698886651, 2.3061917967718544, 0.7674754682458151, -2.706187319726493, -3.7051621783859403, 3.166306051670781, 0.4841856363351517]"
0.0032012053427198373,"[23.66156950619636, -43.96238616390882, 4.4418962612701955, 23.117735269459416, 1.7365491118379743, 4.541125479942088, 0.9033248280602941, 3.623114619367793, -2.72514852200902, -6.372565103771433, 2.4896380790804296, 2.090085585614017, -3.9745647103492576, 2.5099842427202614, 0.14587371611229552, -0.7147866488276869, -5.173915109829974, -3.3597946208433305, 8.400346936712326, -0.19633056114084377, -1.4843942469079416, 0.13775645319610405, 1.0098068032249679, -5.721652267122961, 7.934694411885147, -3.394188310548835, -4.336225197081202, 0.6525830619970633, 2.9002595038030985, -4.538605199242719, 4.214618034847088, 0.6371033272929943, 1.1495632231822572, 1.1238227546280015, 5.860313207471536]"
3.9672603176499344e-5,"[-0.0071428455433756605, -0.18659150113918432, -0.1884159450841208, -0.4888884512046601, -0.18620386166850653, 2.3051028286120157, -2.774266791132211, -4.648288377291242, 1.7792536374685253, 3.1103313265197943, 4.288877483034881, 1.0615533755510103, -0.6667686882945248, -0.32673888415233693, 1.227141866396891, -1.8037070753964626, 1.320965841456551, -1.845890231580013, -3.525506270643454, 5.151330044152118, -2.2099608424483685, -2.8316625593112956, 3.190922170584367, 1.802651335371791, 1.1352101101857224, 0.30499316185891534, 2.9954665130470706, -4.142003699560306, 1.4106736034079386, 0.7884336203750318, 3.6950501911851608, 0.10164367844344295, 0.7579624945915933, -2.8599443291882696, 0.012194556477236117]"
0.00018405762053819164,"[-0.06670233550565396, -0.29724613107631986, 0.2612716441334873, -0.07092891158712736, -0.34608402676626737, 1.5531638830602197, 4.650447028254006, 1.2254322050144146, 0.1330497479056541, -2.0808283172693374, 1.8777040970869445, -3.005612029564838, -2.68893379642517, -2.674200266627809, 0.5023546951295533, 0.538159608877945, 6.286926353635177, -0.9019510753465505, -0.8329087545256721, -0.01780628806496452, -0.2081440749169599, 4.972537531504305, -1.67164849636303, 5.623265804905259, 1.855018173214815, -4.533254203146272, 0.10256361393939585, 2.9639003236610995, -0.6365470504002724, 0.6342734376565682, 0.6722124594233607, 1.4365662872427756, -3.3235633321288565, -2.3258872742042467, -2.216672835459609]"
