fidelity,blocks,coefficients
0.2137439801755725,1,"[-1.1666305759330684, -3.9146539671086984, 3.1415926550611135, -2.8084778695179033]"
0.304941819198871,1,"[-7.236613188196148, 89.57362353106514, 9.424777960206677, 1.0597001093803353]"
0.21374398017557172,1,"[-3.6325139561564557, -1.8682571971357504, -3.1415926540167174, 0.5185830346271129]"
0.21374398017557295,1,"[3.406995680200423, 2.2534247285053897, -3.1415926538255716, -0.8744044456147964]"
0.21374398017557272,1,"[2.6454085219492574, -3.1124518194276147, 15.70796326806162, -0.6018401900896984]"
0.21374398017557195,2,"[0.00554112788722924, -0.00547049036554176, -2.055490470885013, 2.0292887539605995, -6.9451600132396924e-9, -3.9728599929138815e-9, 1.8099920067044555, -0.1952503226478656]"
0.2137439801755725,2,"[0.4062666002616929, 0.10057056932679023, -5.413422205829745, -1.3400829724534162, 1.0882206933356494e-10, 4.8663242723593573e-11, 2.7970914078290914, -0.747550627088136]"
0.21374398017557217,2,"[1.6635407628265801, 1.9969040504967235, -0.8239079908358846, -0.9890140586562394, -3.141592654690721, -3.14159265461339, -2.089911931987806, 0.5966368191230307]"
0.21374398017557272,2,"[0.0017853795737003565, -0.0023720910711261998, 1.7541683794232523, -2.33062357303574, -2.477661202186068e-10, 2.235393452788307e-10, -0.12581773956796186, -1.4837110190254947]"
0.21374398017557217,2,"[-5.847601830000169e-10, 2.838099896652326, 7.04717830866514e-10, -2.9378106707505327, 0.4421057538000936, 0.44210575428329885, 1.075560313225117, 2.066032342008597]"
1.1460885289693579e-6,3,"[3359.3095791864384, -3115.069242465452, -2980.7863325854405, -2278.938358322484, -4591.550318756007, -4827.700912232518, 736.7038842287759, -2492.853799987836, 2486.5712835224754, 352.41762544648265, 824.1135881974241, 471.7933220491308]"
0.41162530558731825,3,"[2.900489563679831e6, 9.262994938480828e6, 2.058869912550073e7, -2.122571407393874e7, -3.2865903423587654e7, -3.5763639503805856e6, -1.440219743855028e7, 1.276488500108599e7, -1.3494647645955794e7, 8.45556055070531e6, 1.6051159220789254e7, 9.858615995463803e6]"
0.21374398017557217,3,"[1.4923816880815257, 2.0319499323093142e-9, -0.8092660242737151, -2.1880842178808932, 1.897820516774095e-9, 1.1865210011210037, 2.0170949664882578e-9, 1.9658233446774604, 1.1757693078568567, 1.6393239739358625, -3.1455805816781974, -3.1376047208408258]"
0.011297642384413109,3,"[-0.23702293866723792, 3.8966370516056363, -0.832532434634071, -0.8874717923359363, -1.2747405253925577, -2.057377999032529, -3.141592656250023, 3.1415926599816997, -3.1415926442776363, -2.748151360875366, -2.821933756369279, -3.09361773818766]"
0.015156769494919398,3,"[375.59850648103594, -271.6398847036911, 121.20211198802406, -124.42209570991149, 167.4011114459471, 279.9623141606047, 65.97344572469416, -56.54866776317452, -75.39822368941122, -0.3706005289506243, 1.5856696678500246, 2.099061262358065]"
2.220446049250313e-16,4,"[0.5210136566368724, 1.137472887604926, -1.47715011419957, -1.7640807716389653, 1.1342332643814288, -0.6791385099043604, 2.105390642203087, -1.0541903999837503, -5.58143668604729e-10, 8.331781943923959e-10, -7.570873587873104e-10, -1.0155026228125602e-10, -2.7194398817322254, 2.3216879375675625, 1.0028679285806863, 2.430357459704894]"
0.011297614976418902,4,"[-0.017674730280990956, -0.8796450618190815, -0.6507440796003949, 2.210243018169726, -0.0016971992331296165, -0.1950120672531399, 4.046998334248838, 0.20185282603996987, -4.976565008346013e-7, -3.141593156066992, 1.1471924563942116e-8, -3.141592648758533, -2.879087635396843, -0.19454549169006638, 0.5492342983883285, -2.6950122443044324]"
8.881784197001252e-16,4,"[0.6695155785811087, 0.282784592274285, -1.7203886890875277, 0.7541510737234407, 2.5219218509116867, 1.0651889847833218, 0.4567259085375011, 2.8407259557233036, 3.6473821106356072, 0.27655138742182733, 1.570796319580682, 1.5707963502132212, 0.9521465580891567, -4.093738895584912, -3.7602424250309485, -0.46348432396989364]"
-4.440892098500626e-16,4,"[-0.7203018003287867, 1.452263193341166, -0.469642823860035, -1.869303971816013, -0.6916843808423264, -2.1136059135370235, 1.7566218639054305, -0.42454842655523606, 3.1415926538445036, -3.1415926513106944, -1.933031724590336e-9, -1.8405316537500119e-9, -1.9346493629137156, 2.2577106795475124, 1.7870534071510111, 2.079862690176599]"
-1.3322676295501878e-15,4,"[-3.3563398996018203, -2.1633073298066594, -18.26210274930479, -2.2882247261463777, -2.2993580539934246, -4.638324778838758, -2.9342385987510577, 1.9100896344868028, 2.22279214231039e-8, -3.1415926297421737, -6.2831853034976035, 3.141592654050581, 0.34189343404813394, -0.29234880790175205, 0.91373142281535, 3.3491293572373495]"
