fidelity,blocks,coefficients
2.4860716001162686e-5,1,"[-0.02232598637050247, 9.893109888500285e-11, 3.141592653669209, -2.808477869542221]"
2.4860716000718597e-5,1,"[-0.022325986408418368, 1.0068649634752309e-8, 3.141592645037568, 1.0597001093165637]"
2.4860716000718597e-5,1,"[-0.02232598641798905, 2.4888466951442305e-11, -3.141592653589817, 0.5185830348773407]"
2.4860716001162686e-5,1,"[-0.02232598652078332, -1.7003244344835446e-11, -3.141592653580824, -0.8744044457165611]"
2.486071600094064e-5,1,"[-0.022325986387071377, 1.777840478921964e-11, 3.141592653844245, -0.6018401878193208]"
8.603086776859392e-6,2,"[-5.331807761790194, 5.011982276801055, 6.8670630659817204, -7.086183724156148, 3.1415926538733254, 3.141592654846805, 2.080784492138128, 0.07559342849825643]"
2.4860716000718597e-5,2,"[-0.7003954738719692, 0.678069486480754, 5.3048947526497e-8, -5.371724166668373e-8, -3.1415926521507758, -3.1415926540463444, 3.073951004534871, -0.4706909489703053]"
2.4860716000496552e-5,2,"[-0.19823795571219777, 0.17591197238977904, -8.790136664783564e-8, 8.859190870596116e-8, -3.141592644598779, -3.141592646127134, -2.5702839549792396, 0.11626506907759969]"
2.486071600094064e-5,2,"[-0.19533040287903444, -0.2176563842255287, -3.054314822550748e-7, -3.106925801860203e-7, -7.650123923197159e-9, -1.2046769120051314e-8, -0.04851698777105182, -1.4064103143398838]"
2.4860716000718597e-5,2,"[4.0244628032768053e-10, -0.022325987094050575, -4.242258318873893e-11, -1.3584435998363047e-9, -1.7040609822832895, -1.7040609816174093, 1.075560312827799, 2.0660323409089956]"
1.7761607207678054e-5,3,"[-0.38401503649356605, -0.3753753830090912, -0.028909774216101046, 2.10814774271034, 2.1082491580307727, 0.00016396119621594807, -1.2178686061581063, -0.015190073603211928, 1.9269563914128434, -2.013751906290845, -1.0760242089702374, 1.1247787935882687]"
1.1463869576733288e-5,3,"[-0.8099478060203142, 0.027010065146485636, -0.8509818246736375, 0.9851569619280154, 0.012305678439586928, 0.9734713274659315, 9.589252539833243e-9, 1.412462482580834e-7, -3.141592787255323, -1.1120989669858978, 1.8206284140218372, -1.8072812603645025]"
2.4860716000718597e-5,3,"[0.33619721416711923, -3.744847293456383e-9, 0.3138712245577675, -4.341674267941385e-7, -2.216888968053514e-9, -4.33988988111527e-7, -3.5442911287521374e-10, 2.078527892369595, 1.0630647623433715, 1.5886587079666659, -3.170913192118855, -3.112272113809538]"
2.4860716000718597e-5,3,"[-4.776670256111843e-9, -2.1069098060407028e-9, -0.022325981577711398, 3.684321322131667e-10, -2.753088019047468e-9, 1.669299344403106e-9, -2.706557704095211, 1.780170863881598, -2.103142219130877, -2.7488517239529755, -2.848653859364776, -3.1196374756330334]"
2.0503018749784552e-5,3,"[0.8460803431609724, 0.847045201210205, -0.02273990855181845, -0.7786518522453192, -0.7782308343978038, 0.0015798481309246357, -1.559791435466426, -0.005633594042768569, 1.5847321520560653, 2.6570122716004336, 2.0293015154057827, -0.48499338289462285]"
4.032630118722125e-8,4,"[0.9611995950376038, 1.0041434159784233, 0.973691554997525, 0.8942055217197424, 0.6822466913843798, 0.6240568273387875, 0.625835653092817, 0.676360493043486, -0.18839833782324292, 0.2807796293770852, -0.18855882396553392, -0.27888932629194135, -2.7287296022809278, 2.0810944252196384, 0.4513435629826526, 2.1101496115435268]"
-1.3677947663381929e-13,4,"[35.2357485471653, 166.29754970720086, -53.453661226042165, 23.451087649308818, 205.35486574388767, 21.069319621802386, -497.7696950672814, -407.2928088846434, -248.18581960491548, 59.690260399428716, 364.42474782818425, 722.566310356537, -133.74040988442903, -366.4496807951064, -278.0924859030989, -45.94268658277994]"
0.0,4,"[-0.21456378962904796, 0.3283489554612069, 0.4030705670921304, -0.5178576768035515, 0.8919261655722609, -1.2131931502643332, -0.7348784788485772, 1.0577309698577513, 3.1415926575302886, 3.1415926537512133, 3.1415926578737032, 3.1415926570923003, 0.8195382109924655, -3.8209647865193435, -2.6824124334945556, 0.20934858259950165]"
0.0,4,"[-0.3867683283826662, -1.0396311303078094, -0.8621931172064774, -1.0054870663367652, 0.06741102522901359, -1.3340327443014315, 0.09890688466403116, -1.4222992561575512, 5.460260333811089, -3.110562219047764, 1.4444917676328821, -1.7745371012131714, -2.524600779927094, 3.4663224273654407, 2.7712650063579436, 1.2655111317277752]"
1.9028273648191707e-5,4,"[0.09446650130745639, 0.1015242186737185, 0.03543853027178999, 0.0017480217092296876, -0.09667062876277938, -0.10370162723870588, -0.036284216855798135, -0.02320387737098235, 1.3150034269045672, -0.25590858987872195, -1.11455189170714, 0.8031259389303478, 0.7536970769398934, 0.8572694266262801, -0.008554793182435082, 1.689249270448465]"
