fidelity,blocks,coefficients
0.041306482757027085,1,"[3.1931413544470866, 1.722297671808948e-11, 3.1415926535402563, 1.462138819012178]"
0.04130648275702742,1,"[3.1931413543910576, -8.142038225797596e-12, -3.1415926537213954, 0.7815927251111012]"
0.041306482757027085,1,"[3.1931413534369044, -1.119517455509617e-9, 9.42477795927371, 0.5471929436258911]"
0.04130648275702686,1,"[3.193141351915032, -2.4222253117193634e-9, 15.707963265992618, -1.1540978655366665]"
0.041306482757027196,1,"[3.193141354404937, 2.64321917549798e-13, 3.141592653610195, -1.07267600469658]"
0.8408803576996872,2,"[27.145993538580946, 12.982052205527372, 6.180417417021067, 3.8302526066559155, 20.356207523338945, -11.66238699489893, 5.830690521868549, 3.8343015018559896]"
0.04130648275702742,2,"[-1.190491440854412, 2.002649912931291, 1.4941882025543854e-7, 1.432822383686784e-7, -1.8095776418972738e-8, -1.366139024423506e-8, 2.742190835535191, 0.09476593525045371]"
0.04130648275702786,2,"[1.981481462553783, 1.2116598916165076, -2.5915964625384258e-9, 2.161655651429411e-9, -3.1415926534775847, 3.141592653723907, 1.4428853619842537, -1.635050772686074]"
0.011755312070034662,2,"[-4.536771837679151, 2.9552333113815505, 8.213567605849649, 0.18934316207211233, -6.283185307329794, 6.283185307056888, -0.28095580875609205, 2.945248466563064]"
0.04130648275702686,2,"[-2.0656668262082545, 1.127474532030008, 2.9515244475308232e-8, 2.6502248591000028e-8, -6.839973994650853e-9, -5.5765771355440635e-9, -0.5443776410099235, 2.389550000925716]"
0.03343095653837358,3,"[0.44821862485398856, -0.7336109539918845, 2.0661555487147294, 0.23864221398475519, 1.069033641111505, 0.8471363261851017, 3.141592652783416, -5.910361931313437e-10, 2.9816389149622238e-9, 1.4768999722514948, -0.7322759081881195, -2.3446092089911255]"
0.03343095653837336,3,"[-0.4482184399782651, 0.7336113279171717, 2.0661553633977077, 0.23864226049021542, 1.0690337328655295, -0.8471363829946955, 1.2402207769149734e-8, -3.421024666169836e-9, -3.1415926600579533, 0.7193942181062073, -1.8456206424083628, -0.5358280007738994]"
0.033430956538374246,3,"[-0.4482182101835153, 0.7336118074973779, 2.06615511492852, -0.23864226695861285, -1.0690338537586368, 0.84713649706901, 8.585020023736365e-9, -1.9613538974251113e-9, 3.1415926452438656, 1.4450078478414847, 0.9371105525441468, -2.8761536261888465]"
0.04130648275702686,3,"[-2.0069288788854727, 1.1490173029325437e-9, 1.1862124740783841, 8.093258397737821e-9, 1.2726687444149794e-9, 9.905647928299723e-9, 1.1930066355302346e-10, -2.285610144703029, 0.8559825101343381, -0.3670970681930209, -0.5535927914968966, -2.5879998644780042]"
0.033430956538373136,3,"[0.44821879616091975, 0.7336105946648966, 2.0661557435087134, 0.23864220794856195, -1.069033572830952, 0.8471362586998409, 3.1415926531318052, -3.141592655332698, 3.1415926521592756, 1.6543289566368489, 0.2496157413711546, -0.18865718259403247]"
0.007875525822172436,4,"[-0.5107539443018524, -1.2454437066227507e-8, 0.9428493811053362, 2.162862699597161, -6.386077817647924e-8, 0.5789364358339156, 1.0653408909993123e-8, 1.2529690804906645e-8, 0.43610023628874617, -1.5707964467715596, 1.5707963383820223, -4.105153570266796, -3.2284929148533865, -1.4838960039546496, 1.9207763744101338, -0.3499802043600233]"
0.027448518953205214,4,"[-14.757908658365588, -3.1000040911350513, 20.298110413857746, 12.800214713761898, -17.46366039963878, -18.433456323330432, 1.5674777028543116, 35.30089655032853, -34.5575191860267, 37.69911184951122, -50.26548244959664, -72.25663101264664, 23.658119664190192, 5.148979238702859, -25.672226763879, -3.2686338580510945]"
0.0056111999026998705,4,"[0.7444649550760823, 1.6297701282859516, 0.8948338706005624, 2.4864459484800756, 0.9587631583764628, 1.5616099219258583, 0.5034269963404894, -0.610945259502287, -1.6046262836343916, -0.6402384216432276, 5.582106254938016, 4.602638308672304, -2.8050515848773054, -3.1937620152240167, 1.1955464827247846, -0.06987531054282861]"
0.03343095653837336,4,"[0.4482191132044346, 0.7336098874710676, 3.4546345875482446e-9, 2.0661561230136267, -0.23864217240809546, 1.0690333658341795, 2.684377808539072e-9, -0.847136079511844, -3.1415926441889894, -3.1415926572425885, 2.2193442399597556, -2.2193442410097726, -2.8750543109905924, 0.6319387209884666, -1.3874931463553604, 1.3874931440007947]"
0.033244057668922355,4,"[0.3862674728551655, 1.0606507690711666, -0.1720296668427659, 1.634746634638378, 0.25512683154627713, -1.373536518128594, -0.8260689955998749, 0.31015450978640985, 3.141592634140998, -3.1415926339355553, 2.4518317536917935e-9, 2.2315138325792432e-9, -1.5586948486620071, 0.5591092924973986, -0.3175018483059222, -1.677095026281698]"
0.0025136092401754073,5,"[-0.02672277237954722, -0.7841396339505985, -0.7012154895984255, -0.07361809145565114, 2.021677114600837, 0.8608117572187955, 1.2056327921697403, -2.6892337527091956, -0.9975130054391054, -1.3666100805307237, 2.08781346779268, 1.7469373504179637, 2.5294213876034863, 1.229631687935247, 2.0011562672400474, -2.530680819139732, -0.37629569240645006, -0.6077806064684891, -1.2485762428952678, -3.7726893585478303]"
