fidelity,blocks,coefficients
0.03637195484273659,1,"[0.8027153296147995, 2.931027922964814, -6.493750037890459, 2.931027920853512, -0.21056472360567394, -3.3521573823571718, 2.9310279296751327]"
0.03637195484273703,1,"[0.8027153295676117, 1.8378640643969488, -1.303728589489661, 1.8378640640252129, -1.3037285892193495, 1.8378640620971354, -4.445321243361887]"
0.03637195484273681,1,"[0.8027153290919621, 0.5430841793040334, -2.598508472168869, 0.5430841777471576, -2.5985084775937306, 0.5430841471744579, 0.54308415667623]"
0.07358544778351928,1,"[-4.220272535581599, -1.7237263637597573, 1.4178662828699162, -1.723726365784297, -4.865319034290713, 4.559458952014311, -1.723726379515395]"
0.03637195484273681,1,"[0.8027153294186645, -1.9775202749278216, 1.1640723785924862, 4.305665032408953, 1.1640723772167927, -1.9775202666369651, 4.305665040710612]"
0.0,2,"[-0.7721981634246592, 0.7770797076643594, 5.456038236992749, -0.6077102811841845, -0.40904432776420646, 0.14891846048061097, -2.646256028285696, 0.2786702558911264, 4.114766331048236, 0.39682158076781504, 3.973477734615492, 0.977026294947038, -2.722263399833896, -2.9984111050972806]"
0.0,2,"[0.7476200833020964, 0.8997975361891553, -3.002434021677047, -0.2002144965373828, -1.0952511440877486, -0.10119852012225986, -1.3978648647850214, 0.0022930643155672555, 0.5994265954812972, 1.0376062542763227, -1.1794554532551633, 0.47777201524353025, 0.21760322768692233, -1.9817027856231195]"
-4.440892098500626e-16,2,"[1.0086805699428745, 0.7771432071319028, 1.7125055590671416, 1.6948954435192494, -0.010399431766012032, 1.9402729096477744, 1.7283331149148515, -0.585251623116626, -2.5297328694510175, 0.4198829944361772, -1.2208826987941537, 1.5138786949328706, -0.19364406587063185, -1.0940453005395696]"
-8.881784197001252e-16,2,"[-1.4024434871913596, -1.918795962508361, -0.9626873412474939, -1.8202627914889045, 0.6887300829139871, -1.0707924590607856, 0.5281458208185463, 4.237665071809485, 3.472771282352841, -0.05747962696182028, 2.456429597668026, 0.6547539370786233, -0.7774778168656538, 0.6451253438798289]"
-1.3322676295501878e-15,2,"[-0.6019673193487504, 1.516374935743098, 0.47204009428631516, -1.9262540325645143, -2.456530501618636, 4.9492418583484525, -2.209642859219835, 2.105176154410297, -0.6059321305596044, -2.6694783843296466, -2.971976851355634, 0.26478573174564524, 0.4575566387371408, 2.062651961553004]"
-4.440892098500626e-16,3,"[0.8767155328300953, 1.0390312459323647, 0.912054056144494, -2.153968330287876, 0.7551177498218126, -0.6108715149136872, -3.4456075691771417, -2.2141530453713956, -1.0632144377856458, 2.3596922363545394, 0.2124118307380901, 3.063089685199264, -2.7073198248719517, 1.6023494378938907, 1.2545396536216407, 4.3416465655861645, 0.6997797503612362, 2.580094064132567, 1.218503450763057, 3.6935683797259933, -1.9011494195993075]"
0.0,3,"[0.7504171218312309, 0.427313612547064, -0.7882558348259897, -0.806612704656161, 1.3200003179989888, -3.6962566453875074, -2.8286467897319443, 0.9405695291866137, -2.4302189199382056, -0.5724404762074181, 0.8567963966158929, 1.497181497627307, -2.8580793941720186, 0.2457467487037678, -2.4010932327771237, 2.0374345661086117, 0.8948495919511393, 0.8483097345317141, 1.7279844318508748, 2.938758436767259, -2.182298043601686]"
-4.440892098500626e-16,3,"[0.2784854627536685, 2.5311856495114986, 1.3399852201094578, -1.0426043979791522, 4.300486372088146, 1.263704143374751, 1.1219609175908547, 2.0247075558288046, 2.4974095576737887, -1.1084528877025153, 1.7792969227908664, -1.5365739644394083, -3.0996378613204865, -2.6509892368433996, 2.7107729252162422, 0.5126496161256022, 0.6649870133060088, 1.9634341934101827, -1.3549289377341875, -1.6523445555527863, 1.3567248889010677]"
-4.440892098500626e-16,3,"[0.8633137872622753, 5.47637828220122, 0.6310323310469371, -0.4584950526393948, -5.3788312572610915, 3.75853144776971, 2.322874113706413, -1.2944681000937437, -1.262059165491294, -0.4243718587802884, -1.5852869805049072, -2.5430245925582646, 1.3989580302163729, -1.8597948794281274, -1.3000861156677843, 0.6485494885065036, 3.844091720868352, 4.130175679201013, -0.955234809978089, 1.5501750422964786, 1.7389420968533214]"
2.220446049250313e-16,3,"[-0.9323287627462491, 1.1889697924115445, 0.4705564632112754, 2.59261539240704, -0.9883466301975998, 2.3012360518166393, -1.468188367371772, 3.8133742246982827, -1.446915723450936, 0.9184624413600453, -1.864780968995596, 2.5287494275529068, -0.97066293690365, 1.336160572452181, -1.5140194688381081, -2.239888606260195, 1.6447136775596733, 2.1719836041644838, -2.5596680770546785, 2.9980323897792855, 2.957717723551075]"
2.220446049250313e-16,4,"[0.45117917731594875, 0.4166749751643998, -0.7486714929424122, -0.5198419757561484, -1.6349051209504588, 1.4143446428534923, 3.473861206901226, 0.2530407762232972, -0.778073448590718, 0.10817716789067737, -2.9404102470395017, 2.6830246198313694, 3.0369455153413156, 2.808732425262506, 0.5928770873773569, -1.7602363424194514, 0.8288285367162247, -0.7708526056747086, -1.1403609798609915, 1.8801502963756094, -0.9191523271879996, 0.9195609000647643, 0.44770132935438695, 0.5946778805670488, 0.9550577461587607, -1.681667971687702, 0.05280945718125449, 0.6325877240288204]"
-1.3322676295501878e-15,4,"[-0.8710814933895804, -0.13598873667351505, -1.2782106948570102, 1.0157881327704033, -1.1398744676642565, 2.7867694873158984, -0.016469169450047522, -1.754204744565303, -0.4260960419699694, -0.3092009693125533, 2.1258220518827624, -2.8667857891382944, 2.5602733845781356, 2.756384312498412, -2.5223683381889317, -2.5410995851794143, -0.3655562852770547, 1.5991665269678492, 1.6797493830379224, -1.3324058995196042, 0.21420091105738218, -1.230993146459468, -2.510971856306319, -2.2397964363708494, 1.4684728195706578, -0.159266385893233, 0.33285609763735174, -2.698837123503165]"
-4.440892098500626e-16,4,"[1.0125861518028108, 0.743004926285211, 0.7744838634006136, 0.6706069406265923, 2.1150920449345763, 1.1870012987552656, -1.9753151070616182, -0.38967634815850766, -0.4782302321791485, -2.5926742310117126, -0.1552332239469342, 0.3738895901532953, 0.35955570583044, -2.005669613521307, 0.1074684750087526, 1.869543068036537, 2.5959651398147625, -1.4765668696217051, 1.6237787188091668, 0.11210141959670768, 2.330698634614453, 0.17809130545801366, -1.2576988809279923, -0.04758041715865552, -2.761802717432034, -2.8101665277929975, 3.2308792483436912, 2.6236338098383816]"
-8.881784197001252e-16,4,"[-0.681893463396466, -0.9564996354469297, 0.6661822883436636, -0.5075144751935308, 0.07632392338986074, 1.3889294730164503, -0.9521339618928252, 0.2728939107549807, 0.4603389118871377, 2.69901711123242, 1.852445589113936, 2.8986876744068173, 1.7887984184959331, -2.7523900408369224, -0.7586035382269787, -2.198101970209918, -0.9747264624616926, 0.5674841089618177, 2.100834607980792, -2.588139752518971, -0.2359217781242075, 2.2299733558455177, -0.2361519602289337, -2.8378095108875976, -0.5990897214006596, 1.0230153784322409, -1.7210078387003922, 1.8398619075081015]"
