fidelity,blocks,coefficients
0.10591613899581964,1,"[-1.0450784030244378, -1.2577619745978565, -1.2577619745036261, 1.883830678886906, 1.8838306788249959, -4.399354628411533, 1.8838306787782135]"
0.10920391442374155,1,"[80.83287423287955, 6.550253002937553, -9.157710264478485, 19.116623618133424, -15.44089559128465, 0.26706769715899165, -2.8745249572121074]"
0.07980907087180178,1,"[1.8559967190668905, -1.5513109552698943, 1.5902816925800858, -1.5513109591028513, 1.5902817026700533, -4.692903597350261, 1.5902817040196828]"
0.10698479825869889,1,"[-0.8120536353273615, -3.2945228109325013, -3.2945227428378927, -3.294522791807631, -0.15293010586745784, 6.130255211588209, -0.1529301067433089]"
0.1775033526319275,1,"[0.7074949296419918, -3.5483165849904763, 2.7348687220660373, 2.734868722218021, 2.73486872200708, -0.40672393165145465, 2.734868720043585]"
0.006030135655970215,2,"[-0.09029006868931724, -1.4245403538559702, 4.261733324777881, -3.9790863401939482, 1.617900483374368, -2.018870628486479, 1.1927393502793089, 1.1462001327829205, 2.350999787200765, -1.3154662592942243, 2.1665938634204998, 2.0859732274575156, -1.0178948428965222, -0.5287883368616312]"
1.2135063327534112e-5,2,"[0.11553892144185927, -0.9886828140760839, -2.330949083294899, -1.049600450042394, 0.8585175154039991, 0.3507592328219926, -1.567104017519355, -2.0562931331523933, 2.102950955286405, 1.059260220354397, -2.7212114375812657, 0.6503573590075036, -0.26414097727680047, -1.6559662993611295]"
0.008046124313812242,2,"[2.00029709018559, -0.4209564875760898, 1.1733686114449284, 1.0651328622133687, 0.9377391100528666, 4.099665079047518, 1.3178813040507693, -2.1134309869076917, -0.3467721510203998, 2.040766947571523, -0.36303100747237615, -0.5283517937274655, -3.428925600212099, -0.4782296899479181]"
0.8777167496834742,2,"[-0.8784646034120998, -0.9922463250944891, 1.3693903315449907, -2.9103972615072538, -1.0161048931515495, 0.919433866771505, 0.9230493803771873, 2.315426958370672, 2.131534510111819, 1.4384807397140102, 1.7869139867095623, -0.6760220569457109, -0.4011321282693969, 2.1143476744632004]"
1.1102230246251565e-15,2,"[1.6354301936997604, -0.7427555156423141, -0.15749932868594085, 0.5504220768528193, -1.62390419693673, 2.2417756134624267, -0.9315969651455765, 0.8548335135998737, -2.0508425166075037, -1.8276221235772774, -2.338015599323565, 0.826367538466857, 0.2733243667055315, 1.65439529850207]"
1.1102230246251565e-15,3,"[0.9764132011314455, 0.22337583749167045, 0.4571521169290186, -1.3813142803140317, -0.4705216579953228, -0.280764073633426, -3.19600369916506, -2.563351518621876, -0.8407419121707764, 3.1359688818738554, -1.24692542855295, 2.8956476609143205, -2.573817158610278, 1.941069399060291, 1.6328196794032188, 3.0124886280916807, 1.4803055847340987, 1.9665901489151438, 1.4634633832112363, 3.5137318749536597, -0.8041368451897797]"
0.0,3,"[0.24959964262966622, 0.36354657597948736, -0.8760928827719229, -0.46613391067271437, 0.6066538034223126, -2.8087711241070537, -3.315636073741855, 1.006229207179817, -2.523507108641669, -0.06640345713642153, 0.24335610988017672, 2.0209024804915208, -3.728654583220131, 0.3098824792817989, -2.0109714791118782, 3.0686526295565533, 0.8888728482232232, 1.1106099652238075, 1.14927092565932, 2.964097978674663, -2.916465628067639]"
