fidelity,blocks,coefficients
0.0032345537323842377,1,"[-0.0008277416764116676, -0.002838033304558416, -3.141592653606331, 1.1152019330498497]"
0.0032345537323844598,1,"[-0.0008277413870387729, -0.002838033366269512, -3.1415926536579355, -0.23359012590365466]"
0.0032345537323844598,1,"[-0.0008277438694948565, -0.0028380338953459057, -3.1415926525758007, -1.84639508327499]"
0.003234553732384682,1,"[-0.0008277412735087251, -0.0028380331110642526, 3.1415926533502705, 0.26857799892265893]"
0.0032345537323844598,1,"[-0.0008277415754348917, -0.0028380333100167542, 15.707963267942228, -1.64065264521942]"
0.0025620843068692167,2,"[1.7754660466788932, 1.7923070822863925, 1.5065100726704914, 1.4905028792717174, -4.900860290735199e-9, -5.3523053444630294e-9, 0.7284165484465664, -0.10352827291129679]"
0.0025620843068694388,2,"[1.7754659683406284, 1.7923070054779713, 1.5065101333844444, 1.4905029406656891, 2.162933935795306e-9, -1.4756632482746026e-10, 2.494506383735072, -0.6612552791895181]"
0.002562084306869883,2,"[-1.7754663777200832, 1.7923074105659664, -1.5065094544401063, 1.4905022604708493, -3.141592663488526, -3.141592645199865, -0.8899327682128129, -1.7682013959141303]"
0.002502098631033678,2,"[-1.6090970030138088, 1.5889899697636665, 1.821571499053668, -1.8363591981089904, -3.141592654845651, 3.1415926532269784, 0.6404537939918373, 2.3529413454531776]"
0.0025020986310327897,2,"[-1.6090971736141062, 1.5889901423745805, 1.8215712336310104, -1.8363589329166767, 3.141592653784943, -3.141592653448844, 1.7609954062109934, -1.9202273646103267]"
0.002335314628042706,3,"[-0.652520289872553, 0.026909303124425958, 0.6420105581212061, -2.165045218884488, -0.006592397206206116, 2.1583500224224452, 3.1415926601615927, -3.141592668914694, 3.1415926468223914, -2.9280631455293853, -2.11186346516098, -1.4297848224754188]"
0.0022685032375340253,3,"[0.7635852131417451, 0.025731956086970004, 0.7730141302311473, -2.1010301936063573, 0.00749695379277429, -2.1071309742281725, -4.06231480287591e-10, -3.141592660638521, 9.499976154379528e-9, 1.5994768979737957, -1.1090520150857646, -0.847678261330174]"
0.0022685032375344694,3,"[-0.7635850551078728, 0.02573210543443603, 0.7730141210165835, 2.1010299921492317, 0.007496544808231715, -2.1071311817228713, -3.1415926554929294, 2.4096953300395328e-9, -1.9368853186827684e-9, -2.6570279356078723, -2.687823480474304, 1.8918222932447104]"
0.0015195765692567198,3,"[5.920396868951892, -8.799654985668099, 2.587454962007494, -4.503205701913512, 6.077933672078919, -2.0116622597725473, -3.141592643555578, -3.1415926512883927, -3.141592654424149, -0.7496574829388466, -2.7033853244751755, 2.5381196997581146]"
0.0018901442250333078,3,"[1.4935255548481663, -0.030849807390500087, 1.543303284549126, 3.223691284405168, 0.003609459818507558, 3.2204037467494477, 3.121607807624089e-10, -1.2727125039490432e-8, -3.1415926668530725, 0.03717506862936402, -1.0645050498840978, -2.1372826584769307]"
0.002166540825097707,4,"[-0.7052385494585528, 0.7140263552550041, -2.1153325509759977, 2.132974387111888, 0.9528091251554287, -0.9486440653559115, -0.8632457569420317, 0.8435837685238877, 1.5698611517449303, -3.1845987631838892, 1.5648105225326487, -3.1558857911300926, -2.3964306497218106, -2.6151008136442133, -1.8106237206388958, -1.2722782604658436]"
0.0011908651948138171,4,"[-0.1364762464277598, -5.405182353890387, -5.502388494871557, 0.15398319662050067, 2.852511634635817, 5.021861811158789, 4.970579109864113, -2.8788163429725504, -3.1415926486141394, -1.4080627511245809e-8, 2.361502936200567e-9, 3.1415926654998527, 0.2599392528536292, 2.1717507077995304, -1.526377982462698, 2.747536363576541]"
0.0013708707907166273,4,"[1.0575029794456672, -0.7442272130414136, 1.8107586123422794, -0.001665921345573154, 0.7260757911633154, -0.5187186054432974, 1.2364954513809703, -0.010397457664599452, -1.481491931632869, -0.05368051676029202, -3.062670704042509, -1.6671727710791462, -2.2185074025976723, 1.9511043648093693, -0.43879552921401077, -1.3366153246385377]"
0.0017854061954190037,4,"[0.22186755467852434, -0.41171020020405563, -0.501314381523468, -0.1533807947845876, 2.508406443085525, 0.36306442539581985, -0.16602395591997118, -2.003689388295303, -3.141592661198722, 6.18464032028296e-9, 9.144896141874326e-10, -3.141592641957361, 0.21169381585612052, 0.841847852187954, 0.7579228194389315, -2.2719460170850323]"
