fidelity,blocks,coefficients
0.055567817981909795,1,"[-0.006902185465030294, 0.0004896341660633152, -3.141592643257704, 1.1152019329701683]"
0.05556781798190957,1,"[-0.006902182456293898, 0.000489634105335351, -9.424777960725391, -0.23359012547307553]"
0.055567817981909795,1,"[-0.00690218233609737, 0.0004896342558462767, -3.1415926537793264, -1.8463950832984037]"
0.05556781798190935,1,"[-0.006902182461091897, 0.0004896342164417026, 3.1415926534544383, 0.26857799894701045]"
0.055567817981909795,1,"[-0.006902180232134249, 0.0004896337789951451, 3.14159265312452, -1.6406526451301395]"
0.04529408385722122,2,"[-0.8724559890308309, 0.9791782835722287, -2.4268314046088135, 2.3915263348063793, -3.1415926535735244, -3.141592653540763, -0.022665426504703087, -0.8546103345774443]"
0.04529408385722167,2,"[0.8724560084130661, 0.9791783020970037, 2.426831388798484, 2.391526318644855, 1.5658872650805384e-10, -7.471712792758269e-11, 2.486376948326361, -0.6693849282669004]"
0.16919481250927004,2,"[1.7775011460725905, 88.62258954984881, -270.14809192893074, 344.79945411372074, -150.7964473664344, 31.41592652515842, -101.52780618633831, -102.40607411669498]"
0.04260707412118303,2,"[-1.2787189682773952, 1.1724505353341275, 2.2243699728999364, -2.269771147595479, -3.1415926544646995, 3.1415926558959058, 0.8195212989770676, 2.5320095014277975]"
0.04260707412118281,2,"[-1.2787189585583387, 1.1724505235189213, 2.224369966439357, -2.2697711379118415, 3.141592652989139, -3.1415926523048974, 1.461754789896044, -2.219451289741349]"
0.03846926547858753,3,"[-0.2512363486529452, 0.14593864705236845, 0.19195526753517436, -2.288053292302328, -0.0011233387110036045, 2.254342051087491, 3.1415926532783263, -3.141592652474414, 3.1415926546742106, -2.9632924370747022, -2.053108197327067, -1.3358016721325954]"
0.034141861812280294,3,"[-0.6922331319276541, 0.7542313452838755, -0.016543970515556485, -1.2811859298424921, 1.2687991879162617, 0.0009582044363170642, -1.5915459384259945, -2.841904883836122, -1.693330120535298, 3.604243016496841, -1.6659379921742994, -3.4093308301905823]"
0.037911221907909964,3,"[-0.7407412392514733, 0.10623883898040556, 0.768656100002519, 2.052121759477316, 0.027367492942763017, -2.0663662202110555, -3.1415926539882344, 1.923376819392301e-9, -2.4741787031565165e-9, -3.5053438790086315, -2.981764018462109, 2.4461973481027037]"
0.5493932507914181,3,"[-0.20277771976273104, 1.3779767648086272, 1.3490943932563026, -1.260213367924944, 0.1252428946205819, -0.21437843720248767, -1.485017334436423, -1.0670544173456926, -1.4681931371651853, 0.14371850904363973, -2.9843516817106894, 1.3637587215149263]"
0.038469265478587755,3,"[0.251236340347397, 0.1459386485792279, 0.1919552581523239, 2.2880533104629444, -0.0011233257752177954, 2.2543420566380266, 2.73612549218011e-9, 7.159353888419452e-9, -3.1415926473999227, 0.10747346839797035, -0.9729348389131727, -2.11601686573017]"
0.03516854605252262,4,"[-0.005749210345347812, 0.7310999734023987, -0.149122577272271, 0.7164405799841713, 0.2993616077215341, -2.358747577770319, -0.04041381639383296, -2.0791143531454823, 1.1052400662488027e-8, -3.141592638202757, 2.298932212127197e-9, -3.1415926416857958, -1.6225356044559063, -1.863658396751167, -2.652162886100818, -2.091364153244257]"
0.027699803443465343,4,"[2.8650541350163055, 2.069158669909685, 2.6212270862351237, -3.256287224703347, -2.1998491705129384, 0.11078718377297023, -0.6271880704144649, 2.901908559819005, -3.1415926318434493, 1.8700288881146087e-9, -2.442938238758604e-8, 3.1415926864958266, 0.20550730263469028, 2.9171349827282445, -1.2000218681753363, 2.274079096255299]"
0.020353007095726627,4,"[1.6953210330738935, 0.6345316175033457, 1.1243623025346023, -0.014855743890352558, 1.3445713329112277, 0.4709970909706788, 0.8499858404842635, -0.035808764248371865, -1.4879315583753927, -0.36497269858135273, -3.419877222996347, -1.6642323692267647, -0.9361213554118923, 2.2553210309423823, -0.33731682581430383, -0.2569647097465518]"
