fidelity,blocks,coefficients
0.9301559048896999,1,"[-10.73574004237316, 3.1495779612979082, 0.10167749956296804, -2.518026689355888, -1.6104884790568175, -2.1525579577586536, -1.8308212106478052, -1.783239714030722, 3.1226415855390766]"
0.5546747358803268,1,"[1.036092547809561, -3.741063699332299, -0.5994710456449569, -3.7410636995458186, 2.5421216079981384, 2.542121607997997, -0.5994710457086834, -0.5994710464610337, -0.5994710448653555]"
0.5546747358803268,1,"[1.0360925478058254, -3.5954748453838357, -0.4538821926166972, 2.6877104614494742, -3.59547484468186, 2.687710460395075, -0.4538821920842944, -0.45388219347949865, -0.4538821922204627]"
0.5546747358803268,1,"[1.0360925465964808, 2.6382950669733143, -0.5032975922630039, 2.638295073244475, 2.638295067355204, 2.6382950593481964, -0.5032976040808722, -0.5032975545232151, -0.503297617294751]"
0.1809478584801315,1,"[-7.602920101170966, 3.662122257749807, -2.6210630415710368, -5.762655700297043, -5.762655706140984, -2.621063050698465, 0.5205296024031334, 3.6621222504232676, 3.6621222536722216]"
4.440892098500626e-16,2,"[-0.7500486863605531, 1.4867497604466458, 0.5376616049576376, -2.7737094743409667, 1.059830041384535, 2.708810317924877, -0.4432305987951152, 6.6329895985234, 0.8846292700758317, 1.4937321597044342, -5.6632405933823815, -3.6055742895868703, 3.358701334141718, -2.6166658773927907, -0.8181695788592833, 0.7645132512516021, 0.6576179071033389, 0.7520647839195447]"
2.220446049250313e-16,2,"[-0.7341725527667005, -1.510395147830225, 0.6574431311841741, -2.0491811342576165, -2.203766000902207, 1.832253065247659, 3.27873680976659, -0.43599162786672235, -3.9964645800869842, -2.1021827320678077, -1.0131069702649507, 2.0747603492007842, -9.302690120315441, 0.6824315366518676, -0.9283077027752958, -2.977509435067855, 1.4128621573802365, 1.1147029618832303]"
0.03991152113010654,2,"[1.3677164466380605, -1.1981122288717638, 3.7075959269823278, 0.5445690353455891, 0.72280027185799, -3.4595540573141443, -1.8725044176875012, 0.07634018403600011, -2.048077239888373, 2.4105781802864086, 2.2044911326037506, 3.7836425182368294, -1.5366491587300293, 3.00352366062261, -3.3481466989696522, -1.7877072218918706, 3.9122738025806947, -2.8302689456876893]"
0.27512946605284716,2,"[1.703622051905732, 1.2791076929430065, -2.522003953175562, 4.130761066122007, -2.7327144858087915, 3.0237148867914616, -0.42938543041509186, -0.5372266284018646, -0.5670212454167711, -3.7135577137552467, 1.508576545120878, -1.4229951308927462, -0.9048709712983481, -0.25696357382841656, -0.4402295554763983, -0.3960711427269127, -0.43522336520175825, -3.573091725784622]"
0.9125200377899767,2,"[15028.120342766466, -13326.98373171172, 234.08755366080493, 4203.198603841991, -2988.339122465063, -735.2446912102534, -2143.5596719814384, 1004.2593905316485, -1251.7548751383579, 1677.3378041105182, 1180.6121550034504, 3315.7576541984117, -3587.1152604432127, -1140.5659852098165, -1670.9270473019665, 3456.583841756657, 164.9182077971725, -1711.2004947282974]"
