fidelity,blocks,coefficients
2.407067997933776e-5,1,"[4.323833855289427, 4.544142639286281, -2.1109095772276385, -2.1684166402965497, -2.119053754083994, -2.130098687205948, -2.0836645633771753, -1.7276154311760266, 4.274378985460769]"
4.603099056144089e-6,1,"[1.4517611277413858, -1.9068193055138583, -1.9689002077446887, -1.9586204185398688, 4.275922771792061, 2.682179001764932, -1.9006633525759986, -1.9872919064743846, -2.0315741751792236]"
5.0073999873778696e-5,1,"[0.7601555830136228, -1.995180445084217, -2.463723055502991, 4.276761616059445, -2.060428737444419, 4.377582777479899, -2.039241491680078, -1.7214077593666763, -2.005419490672318]"
5.917888670103899e-6,1,"[1.593784740787398, 1.8199315546581951, 1.610525612609156, 1.773111154984175, 1.7491062975881355, 1.982469072447876, 1.8121222101916208, -3.9053967932117692, 1.6981176536752276]"
2.7788124978056494e-5,1,"[-0.2547635643267532, -0.7546875378281638, -0.7842891790835018, -0.4814531522161885, -0.30259918611356323, -0.7451873629745775, -0.7495232756373187, -0.6883205090465765, -0.757550193131201]"
2.19824158875781e-14,2,"[-6.261291434464117, 5.338541268117358, 0.6640076367803573, 0.5358708576671051, 0.5167480927605876, -0.18851648437399338, 6.768603828908065, 0.5733056758320835, 0.7706664842204962, 0.461213251370294, -0.9939583981900201, -0.9210976040147427, -0.8602201540621793, -1.1476531849824185, -0.7981800062826542, -0.709548811157174, -0.8565457306543003, -0.8831345096016796]"
2.8563360721101105e-7,2,"[0.30286011276311503, 1.347341433109067, -3.0052359174071537, -2.948980630001633, -2.932675185679318, 3.273445652418745, 3.253710748080055, 3.31951373505951, -2.957912979717885, -3.022321894760051, -1.0992265025231682, -1.09017238105024, -1.1457096063202636, -1.009311094710988, -0.9734255011912729, -1.1500261770228766, -1.1752499177207933, -1.294295684298235]"
2.4424906541753444e-15,2,"[-3.5176630567491616, 2.855332195514692, -0.3620361731768275, -0.3767184712478138, -0.3032270190682508, -0.5610608226149447, -0.9246382106900906, -0.6106563949276819, -0.4400791454940657, 3.660170407739304, 2.7394568098043512, 2.8544536507239844, -3.6448552646109613, 2.7785473719436236, -3.355627970000671, 2.8241104931058554, 2.442843101098928, -3.2377662626980714]"
5.262457136723242e-14,2,"[1.1451961056948985, -0.31648129191424085, -1.9977677339036073, 3.5017072017010884, -2.0682364135601006, 4.454038295088439, -1.7776070434151607, -1.9412350901833542, -2.0958964509155886, -1.4224358905374295, -0.9396698661194752, -0.9446612796378996, -1.173347916050816, 1.4775175904118725, -0.9474276909111111, -1.11131966571256, -1.2911079687903686, -0.9908522467733781]"
8.898321212091886e-7,2,"[-0.8331818754901569, -0.8362079904384689, -1.3728974792556172, -1.4266357941751397, -0.3832236709468527, -0.23663859509201368, 3.3380439787404343, -1.3492614696960386, -1.8349940101174753, 3.251643404701691, 1.6438892049421572, 1.6142640125286742, 0.6020429250741671, 0.5686143420065064, 3.0130866799761886, 1.59814997636724, 2.0291912995556074, -3.0089265477002827]"
