fidelity,blocks,coefficients
0.0032917968676667853,1,"[21.96466101458482, 4.811257075940588, -1.4334676663168475, -1.7638111768382494, -2.078191031912158, -6.799963499265539, -1.2808246992633834, 0.1491733554463608, 4.8745848784681005]"
0.00038366521158150757,1,"[0.4048538674260342, -2.30612972985339, -1.6531742578954456, -1.6791326398650086, 4.026736033453886, 3.7270766072473305, -2.194594719576418, -2.337003827335228, -2.379545816931915]"
0.004215282242995055,1,"[0.806517555152255, -1.9460454997609635, -2.7733585271072188, 4.388261870717651, -2.13324282751332, 4.275059060396179, -1.8897829598851796, -1.4749745864332386, -2.0769740776156396]"
0.0027294831270369135,1,"[1.3153029582397138, 1.846191938035978, 0.6355302539291132, 1.6743955482822956, 2.361594863954834, 2.5807367380123383, 1.8516222714670862, -4.592620010460046, 2.1825382453805284]"
0.00010046198174307186,1,"[-0.08505219201492847, -0.12256905786304219, -0.1374661106337221, 1.0813888992798133, -5.700406920434491, -0.07854118941450706, -0.05757781035527225, -0.12241959651903223, -0.12294947861844642]"
0.000202622227019722,2,"[-2.761704864417763, 1.990123876220176, 0.950013300418827, 0.9561317017239739, 1.3463805265943787, 1.4823782721352385, 1.067025504566842, 1.0361296326771174, 2.1794230440693685, 1.0832316408567106, -0.6413359834597097, -0.6574806051776539, -0.8304519804160099, -0.8579247651976553, -0.8395647999132166, -0.8067291747611743, -0.9166348033285572, -1.6206307705262297]"
3.874070235942995e-6,2,"[-0.02204094931333136, 1.2961120247771243, -3.122795012847368, -3.1086894973384016, -2.581159692266782, 3.674650985790132, 3.187152143536398, 3.110982120664135, -3.0846893080865514, -3.094604729570182, -1.3418208853831777, -1.3612037793687752, -1.4114526009703119, 0.691060879196934, -1.1907491443374865, -1.3146900710556753, -1.427214970981553, -1.58078664144095]"
1.5543122344752192e-15,2,"[0.3607873812453897, -0.26530284907231005, 0.25686469369784315, 0.2951544996848869, 0.2069986849292268, -0.1499129852568736, -0.7149913697795293, -0.47297388520738365, -0.41908975820230576, 1.079697969139047, 3.573302821157767, 3.603415464536481, -2.721435710547327, 2.698043536859613, -2.162703875117628, -2.297070665734536, 2.712407298877502, -2.004799738464921]"
4.440892098500626e-16,2,"[1.7652062110098563, -0.32088544425954835, -1.9997978176145481, 2.9410041244685257, -2.515259408541871, 3.8288928314119315, -0.705664115985934, -1.618890684549962, -1.6059265703042558, -1.671791641763829, -0.5598235836455797, -0.5809224309819523, -0.28397999692549947, -0.14532460907773162, -1.1095343229667116, -1.0480705196206224, -1.7102041643531074, -0.48300937252246107]"
0.0001306430793773794,2,"[-0.9625047630988254, -1.02627598203607, -0.06733144727149092, -0.6251692129928622, -0.07922382393765857, -0.16769388343153163, 0.8119547215152021, 0.10526197257825122, -1.4786475366204637, 1.4872248815519054, 0.035265947812562745, 0.8245082397615255, 0.0992431210174043, 0.042707951456911294, 5.52836097492044, 0.12474501815490929, 2.6668938383785465, -1.2613940141401407]"
0.0,3,"[1.1052644325919005, 0.5933008565108081, 0.8647733942226181, 1.703011261682945, 0.5638467239609631, 2.560857692899424, 1.5635982784928, -1.6284649159442852, 0.7015342457212096, 2.6255758470389505, 1.198693039053719, 0.03138256851308616, 2.04508332907283, 3.331471554669988, -2.01762917308137, -2.4127728660133063, -0.9237245494307343, 0.381998065565548, 1.0190481701504444, -2.895409196665661, -1.5746242186614514, -1.178496387284974, -1.5918829433200172, 2.353256828810977, 3.2908909628829903, 2.2522116085276087, 1.7678155357040097]"
2.220446049250313e-16,3,"[-0.8256838451396001, -0.584205086248787, 0.499868239621084, -1.3391071000145507, -0.8345733395503613, -1.3895578242878182, 2.6411029442439777, -3.0468402331684783, 2.005800207599691, 2.4092115513381933, -2.320390414406297, -1.5016397735339535, -2.0881727093884916, -1.4423291709580812, 1.857853399536528, 2.399935100820672, 3.676766403652668, 2.7577687793084595, -1.8145513197677716, 3.7719401104454726, 0.8694141664575313, 0.595740909567508, -0.30472908264819054, -0.69273882967583, -3.3634913868586422, 1.7348970688916572, -2.008937470896648]"
0.0,3,"[0.777172111846723, -1.1850362085829, -0.2139478476970762, -1.7940410431952378, -2.4134329904689245, -0.6570092440330471, -2.3296001881935227, -1.0555085972414455, 0.546744472513585, 1.2911940858485464, 4.341585683006598, -1.588342005724552, 3.7493971029452164, 0.23758069922608718, 0.012888944965820555, -2.070389550581896, -0.23916840776142295, -2.435991647157523, -0.16457561362327228, 1.5106657217909991, 0.49832907771474877, 1.578992762707904, 1.0980621617164286, 0.6369253126596419, -2.4372979782459523, 1.9278996765981213, 1.21630357788424]"
-4.440892098500626e-16,3,"[0.3391088529424413, -0.6741826085328919, -0.6100102540241079, -3.882322714301081, 1.3596387326738963, 2.7358095202208257, -3.0437647119663045, 3.2779365617942755, -3.677678830994975, 1.688096421065715, 2.9924919801906227, 0.8839431666948083, -2.786022587616965, 0.3986872945681598, -2.564420664770573, 1.792638485600508, -2.665571646239864, -0.0997368787955529, -2.1154650617004154, 0.8656932848628572, -2.061820993921565, 1.5365144463432516, 1.9109392603688327, 0.8060073791568565, -1.4073693393657278, 3.0412710708664834, -3.2437570676271514]"
-1.7763568394002505e-15,3,"[-23.31879669354248, 27.62100788361513, -16.67247783319815, 3.2603404856069385, -1.9617557806412769, 2.29427257660202, -2.805750357906873, -0.11809835469663903, 2.138434836150313, -1.865242223342327, 2.157210863522691, 6.5777782572748675, -2.7278434155723783, -3.412648262122496, 3.2136492571056086, 2.405463243694941, -2.0471296376816808, -5.794369691886925, -1.0984121778758882, 1.6347749591913474, 2.606674270858201, 2.186394058031325, -0.4194584036274046, -0.155606200541356, -3.92352864184032, -3.6502103444887593, 0.8818428484230997]"
4.440892098500626e-16,4,"[0.12262237247523379, -0.5620142712988817, 0.9801194164111954, 0.31841210058605324, 2.7848902481454867, -2.6264133062538955, -2.5674823310799426, 0.6552768928648772, -3.317406540912769, 0.8965325259300434, 1.61035863917321, -2.0999081175649947, 2.2659118158119704, -0.3614881036350931, 0.0073654177019821234, -0.5720207389547803, 1.2600164024106217, -1.8761954595485657, 2.036486526283852, -1.7622137534259639, 0.04649668668293727, -2.0363089448028227, -2.36837934480286, 1.1711189702228677, -2.145295911124971, -3.1174632203344035, 2.1616767847239022, 0.5731311322343848, -2.2935227896290695, 0.6950646365610944, -2.9015341065943105, 2.447638708657433, -2.281124011222476, -1.6871905608022084, -2.905859712811816, -0.2231269763005633]"
1.3322676295501878e-15,4,"[0.03792253573918123, 0.05445848980705467, 0.049418002915893225, 0.37377628271250757, 2.9489889801694615, -3.425554216947183, -0.9188097880541859, -3.3905575817970863, 2.0922687577510417, 1.790445555927981, -2.1625410696154206, -1.2877464196058799, 1.4218545355706707, -0.051500130413758685, -1.6371738301142105, -2.0025042534333224, -3.7854663952496117, 0.02748508971339069, 2.406648844026659, 0.6755791515896321, 1.6678368155417513, 3.1517890909419513, 2.8952195426660583, -0.3944919621181356, 1.7880570687663198, 0.9574469856075727, -0.09835939724574755, 0.7867972466790885, -2.4373019677865835, -2.1419008119228398, 3.6080688627361583, -2.823163745412133, 3.4803525412538896, -2.90039023491909, -2.911545216501987, -0.1838004681073281]"
-8.881784197001252e-16,4,"[-0.4567327843376956, -0.6255475600104594, -0.9433969002813868, 0.6365979124931305, -2.026121673180832, 1.844255636166696, 2.3209499001839964, -2.61387115740138, 2.0776893799151344, -1.784075654647646, -1.1450714847384897, 0.07739868028246386, -0.2013885021018219, 3.345583993691487, -0.2520005458282655, -1.332660588278247, -2.776835440061957, -2.5687816567962294, -1.635088483034435, -1.99673877500488, 2.3642230988031265, 1.111250931562791, 0.16851682733904558, -2.562995760405936, 1.5441289144312846, 0.878075938689854, -1.4699260003252597, -2.757627059087341, -1.621820293076735, -2.973065947597626, -1.8047974330770322, 1.2078380557406985, 0.509604723771349, -1.0125282263619027, -0.7928434613160443, 1.3583134543360196]"
6.661338147750939e-16,4,"[-0.5116865718293169, -0.2973534969897336, -0.18286989331765968, -0.9531501359231582, 1.1774442193272414, 2.918578070558717, 0.5298838319860789, -1.8210178810631672, -2.7704155722513373, -1.0819403263846061, -0.040125227993914575, -1.3127321494733906, -2.209158188885398, 1.0724753286661326, -2.330496576096247, -3.2008301663457046, -0.11742205308494431, 2.115590687600979, -2.652583187209929, 1.580067076717652, 2.516151373998698, 2.7655539007456236, 0.8575460033715542, -2.0443834131594616, 2.394963963768134, 2.085247361427078, -2.6135147513572647, -0.18524748118890857, -3.1978472492797607, -2.6627974124661993, -1.3591776692874453, -1.7997511270939766, 4.130975447619746, -0.6175648932754507, 2.3492587186101233, 2.071478543980069]"
2.220446049250313e-16,4,"[0.16162586231435305, -0.134339488370172, 0.5365341944308657, -0.7656197607150161, 0.9424469266132703, -2.5900423771430243, -2.421969422503764, 0.7411582890806097, -2.4365684300840886, -2.6552565921980005, -3.301294076996385, 0.26892747413994944, 0.7456950391452115, 1.9392599784072153, 2.2821472058540717, 2.936217950123924, 1.4496132700370497, -2.1453565609820897, -0.6736056577577116, 1.6261059671179137, -0.35414057976239727, -1.403509940938762, -0.12091875535884959, -1.556580716685367, 0.10132905190344738, 1.1319939719955554, -2.398137896626066, 0.7505237241617002, -1.6374079259763086, -1.6309206131814256, -2.768082439598726, 1.745440162280379, 0.14796876919539292, 1.974937952563474, -0.1883772588196016, 3.3649887189613086]"
0.0,5,"[-0.05400175533191896, -0.6293987721960892, -0.6823260436310697, -1.4208288891178602, -0.4975938317317063, -2.3174751967907765, -1.344489805764145, 1.6412455523339002, -1.2188279506709596, -0.5033624990018156, 2.6687664503144837, 2.9514388657205117, -2.9736895053610413, 2.4249841716800224, -1.586526662716368, -0.7265181777791994, 0.7976664972963079, -2.717334610669774, 0.2001647941837115, -0.12129541100938279, 0.7402804885339694, -1.468712254201372, 2.9817478784782216, -0.7322382448630819, 1.5294383006221521, -0.08582388432736027, -1.7475509320343174, -0.48647490409603106, 1.9243195735699634, -2.1363082947698793, 2.462746570567304, -1.084509444240858, -1.4118575806461529, -1.2340088779469727, -3.326442756856879, 1.9988488254526848, 0.3918947207540976, 0.19827589090248415, -1.8830273517146325, -1.5955685372406583, 2.1722879270791577, 3.3440915410049774, 0.9358745213373041, 2.841687356975761, 0.7630150204271582]"
-8.881784197001252e-16,5,"[0.4141866602871791, 0.11609690379678242, 1.4979170831250646, 0.3018699316218145, -0.5586398045459198, -0.16899125783246843, -1.6078864307416925, 2.9261391246002537, 0.22829598500984297, 1.4165375821963602, 1.3838199198259384, 0.5192282462688573, -0.03514539948594397, -1.3661821569517765, -1.92521195031343, -0.48091043565491187, -2.8263015568589327, -1.8287221392028494, 2.577986239093571, -1.417715872345172, 1.1317833409537656, -0.5243746959064335, 3.068910145275095, -2.1886747994522495, -2.1601787414833384, 1.6603888613566593, -1.157083721662301, 1.4523155109854042, -0.6795403022925007, 2.122612883773479, 0.6330726501237878, -2.539186691505752, -2.378307023096452, -0.9773879073840677, -1.2551098941333172, -1.9522756075564485, 2.376611935826997, 1.556131305944708, 0.32462640064327225, 1.3886018853296447, -2.9584659408907843, 1.2793090115560986, -1.44658432570029, 1.5348870305186886, -1.9965834313911546]"
-4.440892098500626e-16,5,"[0.5311601344771723, -0.018854228769975282, -0.291518509876387, 0.12754193495563912, 1.3963017774857822, -0.5542265957766875, -3.0772700806520437, 2.8997052221694415, -2.9934004186887684, 1.3021806560053408, -3.060326626221277, -0.7768857537191841, -2.1422064899885087, -1.1854045780666544, -1.6650807988499543, -1.249523848546945, 0.9359380653435594, 3.1234598959186455, -2.213231301070823, -0.15106736082019204, -1.165560468130773, -1.1378147599562891, 2.4014301374601965, -1.7828773147295847, -1.9490915739399604, -2.7555545631820384, 2.832131404291571, 1.8656001367548636, -0.3076283764838541, 2.0050356794218787, -1.884424377600292, 1.6786896993350298, 2.7153588789508545, 2.3452261719703547, -2.8181495467448667, -0.9615288874012863, -2.5584284075487536, -0.7303582358710657, -2.577756319653015, 3.709263343425475, 1.774523602214071, 2.237958370254015, -0.3575797390297688, 1.2051855659890116, 1.3701957824808157]"
