fidelity,coefficients
0.00013413863071254362,"ComplexF64[0.07743087356043905 - 0.7867809477062407im, 0.6914955107081675 - 0.8146444251123827im, -2.0138975698469705 + 0.037918807846215964im, 0.8990012789616939 + 0.08395578064991074im, -0.6390663529475302 + 1.4566763711812838im, 1.4381204609335614 + 2.288638539887478im, -1.387356268069475 - 1.2304359127245135im, -0.081915369999638 - 0.6649107556888715im, -0.6002721788790882 - 0.6090962360447814im, 0.21962468866268806 - 0.987298257129283im, 1.975111524605352 - 0.873322650866686im, 0.2821742224389999 - 0.13325163804577028im, -0.07248231894717308 + 0.4390829207730356im, -1.1727308374442544 - 0.8597386552213067im, -1.6566050495592703 + 1.6324690925754526im, -1.3030779876083345 - 1.209465273573444im, -0.7117697310057622 + 0.3864602758701599im, 0.9375381864665108 + 0.3507429090144559im, -1.024804873995824 - 0.6151247504616748im, 0.8120568812719858 - 0.22069284841547063im, 0.7369119951528486 - 0.5721645920259547im, 0.619838176817004 - 1.7322966123928685im, 0.05621476295019035 - 0.6887188435948557im, -0.5913087025714491 + 2.986446764871077im, -0.6568954525367012 - 0.6562213971776032im, 0.49274468386362635 + 0.763174606976346im, 0.025843688281582487 + 0.39743891113376967im, -0.7443459991358329 - 0.15490731676508243im, -0.178658087924982 - 0.29706462593260746im, -0.18540193878338407 - 0.1575326539893594im, 1.6386182465475463 - 1.1263763359795098im, -0.851986934631162 + 0.42938585311618127im, -0.6879496057397748 - 0.6791297345098165im, -0.641360805851321 - 0.9293237122372056im, 0.40240152365479365 - 0.13953374736085306im, -0.05570581465002041 + 1.1646799854130272im, 0.044352054920927565 + 0.8367994352132837im, 1.3751730222432572 - 0.6935282656902957im, -0.4830444004822139 - 0.6176793348874743im, -0.45369092559264784 + 0.7739697915256473im, -0.6454407529702938 - 1.0304386183593865im, -1.393613586137365 - 0.4981716188145039im, -0.19932389074630025 + 0.21608377374208415im, -0.12889461457912982 - 0.3538379927053586im, 0.5542460781678804 + 0.24444847636967085im, -0.19679856467044507 + 0.3393169240015199im, 0.43551391413250795 - 0.03723297259825501im, 1.2709319353219306 - 0.6573481499163008im]"
0.00019922401224936603,"ComplexF64[0.30211805598773017 - 0.24334244018091708im, -0.13976466740398 + 0.03951113793426124im, 0.3144293960738515 + 1.8176109397031301im, -0.987625911563026 + 0.8665011019814173im, 1.098129263129378 + 0.6144495813778399im, -0.36236847721244425 - 0.32176621224405133im, 1.1687004814423025 - 2.6433804450463168im, 0.4665707998283802 - 1.5072706719703128im, 0.6876173858196893 - 0.980440953225478im, 1.0752248181495099 - 0.7693114360025941im, 0.2904492050690167 - 1.6028069532822597im, 0.43009527730689295 - 1.261578675220858im, 0.6175432393475045 - 0.45235148688876253im, 2.021079109027085 - 2.1526429027967633im, 1.531819581721425 + 1.708570335271293im, 1.6769017740796808 - 3.343660883648569im, 0.6458098833941159 + 1.1825208013198347im, 1.466984530586365 - 0.2240588614977569im, 0.7524513340074506 - 1.1304300022402554im, -1.4587843530856532 + 0.6440865933017046im, -0.9405890834612723 + 0.5531684196838815im, 0.07450353614289715 + 0.6700673737335032im, 0.45939616224805385 - 0.6201219154140543im, 0.8393794710973469 + 2.1343169679828446im, 1.5787616443708137 - 2.202819977138088im, 0.6486436558407589 + 0.38044481418924186im, -0.6394026958298138 - 0.017503274107901482im, -0.5163246879504559 + 0.4435356730583819im, -0.29830501329848436 + 0.6698991641402312im, -0.1212611168247635 - 0.1740525993530086im, 0.06055790168775176 - 0.18952146529599817im, 0.3308285779780036 + 0.38442123798306155im, -0.46388478426954244 + 0.03784922719536235im, -0.7414246340835117 - 1.0157148936305707im, -0.04761632573309194 - 0.2549747947691933im, -1.5366116566564831 + 0.5229145965490327im, 0.13288434722912246 - 1.2886523833958745im, -0.8160741383244466 - 1.4222034499704104im, 0.1677252513519823 - 0.12466628791788198im, -0.03076508579867621 - 0.08145474724038518im, 1.1660757688587076 + 0.1285609854124463im, -0.47158808263583757 - 1.2921709496241833im, -0.2252233399161192 + 0.9881609111549224im, -0.5188444876454873 + 0.235177494391605im, -0.5094628741988917 - 1.436423788664856im, -0.8170801951421375 - 1.11455110715354im, -0.5519850174467849 + 0.7379468658741536im, -0.7395372571232953 + 0.20762375168587532im]"
0.0005239480115482031,"ComplexF64[-1.1452290666277993 + 2.124724841687348im, 1.0326855476598438 - 1.409139994552639im, -0.6330168878099763 + 1.1221116255946324im, 1.0178352472158592 + 0.6975318985159529im, -0.27191325083456064 + 1.7323988952088567im, 0.2808024220936602 - 0.2429762972210975im, 0.39601620597276316 + 0.21152383119897im, -0.8766794937192929 - 0.6642699187983014im, 2.488995832797731 - 0.03572429312548299im, -2.6018457141488263 - 0.27637481653094537im, 1.7690420722846447 + 0.7641462399959714im, 1.2453457499502205 + 0.3650008901019826im, 1.6627765265748526 + 1.8613827853467069im, -1.8389556471790218 + 0.8779959612376568im, 0.38751628009906175 - 0.18043036083527927im, 0.8605569405239761 + 1.6317612381391107im, -2.115191448728151 + 0.9044330541128005im, -0.7797393870583241 + 1.6398928946326614im, -2.0016657325854386 - 0.5430980886300225im, -1.364270422282366 - 0.5353520477754445im, 2.57707889657853 - 1.952373211597236im, 2.1765892203525237 + 1.7647276354934731im, 0.27784075933330366 - 0.27307818445690074im, 2.1992851863013807 - 1.9143578254566533im, 0.970081714138403 - 0.14086297225000774im, -1.4400761550773482 - 1.2956448927572706im, -0.6806759378411589 - 0.7538009152526005im, -0.9951711927231104 - 0.10516640834864739im, 0.8462123253207025 + 0.5507645066861208im, 0.12714112211395504 + 0.23293455626933038im, 0.24391777829157016 + 0.15946584028171287im, 1.108769199078168 + 0.8483885705555648im, -1.2589601035679812 - 0.8225246838133154im, -0.7795154150486846 - 0.30847636591089456im, -0.5277622524802195 + 0.11939785524258431im, -0.9881029101269576 - 0.1452967471370947im, 1.3645547541138128 + 0.2928041640388361im, -1.1996785342303204 - 0.42126936647042457im, 0.4996831594391151 + 1.35302332652336im, 0.17185518224272567 + 0.40003689263060127im, 0.8095202602496845 - 1.290143451814247im, 0.6536578225063754 - 0.10688595429698536im, -0.4271885754653562 + 0.4767838067435591im, -1.7436249342378485 + 0.3953039234674583im, 0.20148193693403638 + 0.8756222972773551im, 0.12246496418962022 + 0.2364426199167232im, 0.38967421515204453 - 0.41345815310650175im, 0.8300043406290836 - 0.4639210775134127im]"
0.0005980520671812206,"ComplexF64[-0.6074555181694797 - 0.26455360393392174im, 1.142059502941865 + 1.1047393144545357im, -1.3515433834103125 + 0.560440527579733im, 0.7175130021729959 + 1.286989632089522im, 1.297955708151994 + 0.038419188056970914im, -1.5457890922298896 - 0.5458944546529224im, 0.17976148771988817 + 1.1140886081196126im, -1.3144973300792397 - 2.0104901877120116im, -0.630523829211406 - 0.9281249141169616im, 0.22764203075428746 - 0.10571564957183473im, -2.071574535880266 - 0.48539731674069636im, 0.8385366009147849 - 1.6712462030507849im, -0.7756349829513492 - 1.2574058084763162im, 0.9034139895576131 - 1.121461639050568im, 1.510735542475845 + 0.21390742850871675im, 0.7594880889076892 - 1.693730382270683im, -0.1382472680304206 - 0.7648008104599131im, -0.5536922345459901 - 2.311652263981588im, -0.45338175382913865 + 0.22355537190233202im, -2.0052661603236115 + 2.0871596759815545im, 0.01062790050799999 - 0.4955430202847211im, -2.2441588240266754 + 2.1383068511933847im, 1.206225802462652 + 0.12945969520609993im, 2.0926853338548 + 1.9318221274165581im, 0.38313261473399346 - 0.5365868324090599im, -0.4076163108462862 + 0.6937084519293798im, 1.0324652574509712 + 1.4251404145165611im, -0.2473442987795793 - 0.27861271583666564im, -0.8664644465589216 - 0.2729297403968674im, -0.748067657980964 - 0.019302644216854677im, -1.1529311233896178 + 0.2198323333358331im, -0.24911568195630318 + 0.6729497133163658im, 0.07767651686366153 - 0.6138470237857212im, 0.8576967392321633 + 0.5196890816424895im, 0.927507944372608 - 1.1828508287204837im, 1.0553745860444015 - 0.8300079876173849im, 0.9754804692942745 - 0.25864548396366405im, -1.0151748769932991 + 1.0439980149254295im, 0.31861765626843613 - 0.8811663174824373im, -0.6032680729536722 - 0.6420166314776091im, 0.9150917502715893 - 0.6720527658662404im, -0.7941150756907466 - 0.5041793302258021im, -0.7975854136404465 + 0.1402824062430127im, 1.0418611576657566 + 0.7013051319635807im, 0.491733377338601 + 0.44243093129514444im, -1.3063062795582072 + 0.7341997713076275im, 0.4758323061944129 + 0.4347602598506449im, -0.5897793783737346 + 0.7995806306809371im]"
0.0004579632007118972,"ComplexF64[0.7826234160017143 + 0.08062013592901168im, -0.9141618676722746 + 0.163585567086967im, -0.2177278402746363 - 1.2731666891845796im, 0.09870418758338116 + 0.1389702793032373im, -0.4259308891318308 - 0.637922687709405im, 0.3816622361863384 + 0.7676154224054801im, -1.0638916088849746 + 0.16805807372031545im, 0.1060381463970638 + 0.35731217970266405im, 0.1669203272264338 + 1.4437506620087668im, 0.8986708859897727 + 0.5097508317276375im, 0.3953936354239143 - 0.062048519060653284im, -1.080275098816207 + 1.4650949113041418im, -0.6332979059569062 + 0.821593916561754im, 0.7060505285308541 + 1.2210921750580601im, -1.3690922649544344 + 2.2005958325857153im, -1.680754220216084 - 0.7305914465447336im, -1.3521676406564755 - 0.41399679662394423im, -0.29065046497642455 - 1.5447262260668957im, -0.12831455338380549 + 0.8750047809335322im, 1.2981698068692078 - 0.23417359621447262im, -0.9815826952846165 - 0.04277639179522574im, -0.438954265551754 + 1.9292495139667551im, 2.725146666812341 - 1.5041410688013737im, -2.1412391414545824 - 0.6861426128277759im, 0.8177118905494745 - 1.0004582747515687im, -0.9169117726698622 - 0.02736340745246532im, -0.9986833773177997 - 0.44690650490861533im, 0.6242123353776077 + 0.31068519040143894im, 0.8221915072667696 - 0.443079788136998im, 0.6845066870514817 + 0.9040777090622871im, -0.4002478475592444 + 0.7207066519385462im, 0.35588592724431656 - 0.6270931951499196im, -0.94231275250139 - 0.009498121728962736im, 0.09136039676031192 - 0.6639071959098295im, 0.8010310493797487 - 0.46331456607894184im, -0.8427080904444004 + 0.9098865656396984im, 0.37933254200624167 - 0.6031094018257295im, 0.08384893093715445 - 0.5877820275769305im, 0.404782505510163 + 1.1438781185819686im, 0.8122804203233268 + 0.6833245223587051im, 0.706384853848618 - 0.938159211014196im, -0.6570467605125648 + 0.9286691821024364im, -0.9763172907920566 - 0.6456030695142713im, 0.019377728801405786 + 0.23076440914680155im, 0.19282830732623601 + 0.49075319486753244im, 0.5541937613505397 - 0.665459406568882im, 0.0802721857085623 - 0.5091331378867976im, 0.04999611935421106 + 0.536769483224603im]"
0.00022275765234636147,"ComplexF64[-1.07167843212805 - 0.5827241433015227im, -2.052669973863015 + 0.599293280076671im, 0.273597822659392 - 0.8954929333633465im, -0.013352595535352441 + 1.7392943622941852im, -0.051776130240324576 - 0.8587993966874253im, 0.7677966099440283 - 0.27214362842757506im, 1.5324404489043322 - 1.1974990930908842im, 0.9720533477016234 - 0.6692763620627161im, 0.6565305257253823 - 0.16512053765883913im, 1.6871718375940625 + 0.025321209571459002im, -0.001387075055698907 + 2.208093844703223im, -0.02273562084543653 + 1.19984564007647im, -0.03420132699101684 - 0.7440472972886362im, -1.2232351779059167 - 1.435570800722114im, 0.2509810113915547 - 1.8512129109280897im, -0.3766225982661565 - 1.8140817965981682im, 0.9545964214318073 - 0.18047170669189755im, -1.6302551373862564 + 2.1971131605330325im, -0.6015526060480448 - 0.5350465482662525im, -0.08600213642673761 + 0.569281567005635im, -0.9088279002860163 - 2.285160187750726im, 1.1601309317996737 + 1.1114553940643277im, -0.9152509076201757 + 3.2057102548194214im, -0.04827193176505473 - 0.521006271126407im, 0.3027105956389466 - 0.6277329424245957im, -0.5170323132935527 + 1.0108858357530943im, -0.039847778581854267 - 0.8125484933189965im, 0.4328670055393159 - 0.24773016312100626im, -0.2961784550646444 + 0.8221350118276557im, -0.7676871576973517 - 1.0342495161420635im, 0.4634504383274168 + 0.6071525951444481im, 0.1342542849660912 + 0.22784254291458184im, -1.037470350029592 + 0.8170785433710006im, -0.3384818666247324 - 0.268873642005482im, 0.06660259873534724 - 0.14758884960573077im, -0.7122804199078777 + 0.7240702400352176im, 0.9128227284586775 - 0.07158202639776723im, -0.27511793291080916 - 0.27498842978520555im, 0.07678947234280128 - 1.3776101999572223im, 0.5078907062930699 + 0.3872165611886019im, -0.049142530025268354 + 0.8508209358389782im, 0.18404937651648132 - 0.6917130107045864im, 0.6037173250297057 - 0.8466540923792619im, 0.8882791746334681 - 0.765220554904169im, -0.2300551794044335 - 0.5462267348583995im, -0.5522648321133579 + 0.24445437441321377im, 0.9009675066283102 + 0.6331813979680286im, -0.27053342059110264 - 0.7743990039660045im]"
0.00029190162143788445,"ComplexF64[0.35022781594234437 + 0.5686730221509435im, -0.1300641393096576 - 0.7789710499681811im, -0.06424671827027205 + 0.7426396580248247im, 0.03208132161043205 + 1.0951212917313462im, 0.4641446008109295 - 2.1413296579461885im, -0.1190912091584225 + 0.528645866383078im, -0.17172719317195506 - 2.0985879816111597im, -0.7941918421416173 + 0.34659282311830397im, -0.8409973257821022 - 1.1760005323904168im, 1.4239415963649034 - 0.9486757675256913im, -1.2826904525283414 - 0.48961427668917634im, 1.4470417608264305 - 1.0500582080686784im, 0.7122434183256693 + 0.18189562094079276im, -0.35790494611595 - 0.9623057657509054im, 0.556016506832738 - 1.7120446338547284im, 0.7284866782514721 + 0.6679648180855752im, -0.88300504425546 - 0.14254449014149068im, 0.6529242118219725 - 0.9709150218187453im, -2.2704180477502733 - 0.9312144367547655im, 1.8752917511047287 - 1.1226530540583703im, 0.1279532993101236 - 1.0113315932499074im, 0.5056033931113364 + 0.03194362077804835im, 1.7572298464950014 - 1.5895720629924717im, -1.1508385998052337 + 1.958785428010213im, -1.0654625279407208 + 0.7373836758225601im, 0.35507229036428695 + 0.5698831244972576im, 1.0960643114838302 + 0.7375581356539915im, 1.1113519837769381 - 0.30438592744361986im, 0.18105017008372096 + 0.24208145704370243im, 0.4851031930657466 - 0.16982768722064442im, -0.4380066566525339 + 0.0704204610724677im, -0.3632681026548324 + 0.7952857616523983im, -0.5229610893151364 - 0.7851128908914363im, -0.885524289587502 + 0.033877466738390156im, -0.5913745401885478 - 0.2511906707145526im, 0.7310321069926403 + 0.39249484529498757im, 0.4457983364093195 + 0.6810547123841378im, 0.4049498413115519 - 0.26985275618992277im, -0.5137719543318051 - 1.1753419783370045im, -0.16134683584769152 - 0.9102911672309066im, 0.4952743789790628 - 0.26244040386488676im, -0.005274415167022998 + 0.9598308571163223im, 0.4250507275726303 + 0.19939538950190858im, -0.5719886147951424 - 0.1768532931244172im, 0.19693401300423133 + 0.5233356965098375im, 0.9357914778556681 - 0.5136626934276798im, -0.949920761934661 - 0.7995160716439984im, -0.9726444021835133 - 0.018407873893604876im]"
0.00036045400078599243,"ComplexF64[-0.8231629532822959 - 0.7885472365610943im, -1.6233148716870907 - 1.5221413855355348im, -0.18861251649648408 + 0.3731914234250723im, -0.5047711772629117 + 0.27065310840928647im, 0.09301460861318732 + 1.4584364760142328im, 0.7508607733206175 + 0.26485970049289753im, -0.4460100993240608 - 0.3979839598438687im, -1.0794850358393882 + 0.9178648189493887im, 0.28522409525873127 - 2.462690024459889im, -0.4129523272137471 + 1.8512151818128741im, -0.1516999011806518 + 0.3065975525778591im, 0.4122682645321388 - 0.7378482505493182im, -0.34408700583070045 + 1.3022706585806527im, 0.7450796091918365 + 0.5911104020402232im, -0.125471215795934 + 0.6565543425177278im, -1.3018081043123158 + 0.6109483924122061im, 2.251038018932416 - 3.2390566845477604im, 1.6109457575957744 + 0.12575711917385282im, 1.1272837065077677 + 1.029607165596534im, 0.2846720863555848 - 1.3959719698010031im, 0.9576952122610684 + 1.0744644095586366im, 1.1081628096613156 - 1.3106267194664798im, 1.9824589936917731 - 0.06929846812626696im, -0.7654303399497145 - 0.19530874225776143im, -0.6258615138193727 - 0.7010034841589692im, 0.590691718819372 - 0.10036978390484295im, -0.4983039839322285 + 0.01928152178407282im, -0.22174232836793834 + 0.32786883503043496im, -1.3424488077577954 - 0.07246473882964666im, -0.9235268131296612 - 0.889082397452329im, 0.9120583768255589 + 0.5551112511752604im, 0.7945434242289273 + 0.4592980695188834im, -0.1847622165056634 + 0.579562313584426im, 0.0478757942769698 + 0.693600738791488im, -1.1250209787151688 - 0.8732918864730711im, 0.9077081482457775 + 1.183357609462204im, 0.29887887066571656 - 0.6709442859697132im, 0.011342018247893392 + 0.3875768033394258im, 0.8427773977282573 - 0.5698229633684561im, -0.9874718300270787 - 0.8685275825800748im, -0.7175638740646264 - 0.021717603024139637im, 0.1309841816843609 + 0.05980200079361029im, -0.013550835621418263 + 0.9792206582695513im, -0.2734726717986781 + 0.6122536669822892im, -0.12147828989712667 + 0.6063876785557497im, -0.7395728094682833 + 0.4391640653450449im, 0.25622111273732584 + 0.773824376097107im, 1.1873485309757585 - 0.3664066553808803im]"
0.0001986805764605526,"ComplexF64[0.32455325373809973 + 0.6200603874759635im, -1.0286645126878537 + 0.03657124486318413im, -1.3014350055513284 - 0.4805926726838487im, -0.6567430640793356 + 0.7182994480962961im, -0.654467696511734 + 0.17071117908296274im, -0.04944977142035214 + 0.7381768815114111im, 0.9338873785106224 + 0.2808086133455077im, -0.14095832546513812 + 2.3868818742484783im, -0.16959669515630235 - 0.4499179114115979im, -0.6029557109129517 + 0.6939315236367738im, 1.9430005095034275 - 0.8017375355679796im, -1.3501963120649014 - 0.44319867466189106im, 1.175963991316828 - 0.6231406253441657im, -1.0899375825214028 + 0.44447347990161246im, 0.9721537828268471 - 1.15627580807638im, -0.3947990043018568 + 2.6329378658325466im, -1.9482779482848032 - 0.20974139802530095im, -0.03238662773907614 + 1.9978289774032176im, -0.9117746028598758 + 0.6535283889086901im, 0.28529301293990944 + 0.02356109598656048im, 0.18695060799092406 - 1.0650564219625624im, 1.4687309290603057 - 1.164332859633493im, 0.40203780484249063 + 3.9153761909014775im, 2.9899664194060014 + 0.5374173492839041im, 0.2806014304447507 - 0.2987457802876267im, -0.860228717816714 + 0.18291822462773505im, -0.04568568149195112 + 0.18085142822934647im, -0.0522980180153288 + 0.42219873614830183im, 1.7409982787124139 - 0.4182854126887335im, -0.6989103150171435 - 0.9307229952234951im, -1.4058518818512737 + 0.6148183540028934im, -0.3474128318951213 - 1.0854920379893729im, -1.366164483693327 + 0.5460734955743363im, -0.37729092663308555 - 1.0278093732565798im, 0.7888747162671047 - 0.11142629589368053im, -1.7770574753049815 + 0.40001053611305304im, 1.300949328448792 + 0.4947241146786486im, -0.5680587691538824 + 0.5385357624899497im, 0.15856752879297756 + 0.3879269326180547im, -0.3601881089135989 + 0.7237888331461378im, -1.2432985129186191 - 1.206510530867696im, -0.6940767616493247 + 0.6296279397691558im, 0.5220141998816293 + 0.850701089806818im, -1.7500166601486824 - 1.0871550410158917im, -1.1255351169586874 - 0.7155939419112926im, 0.16834908088294676 + 0.02576158198796409im, -0.3805750746789936 - 1.194227896132363im, 0.6602547834815912 + 0.6932113686225604im]"
0.0002540147429115347,"ComplexF64[0.3731351449513221 + 1.1615721068870055im, 0.8356256888881173 + 0.03004242751104954im, -1.747902180378189 + 1.617552648263019im, 2.520098118540195 + 1.0404614041213593im, -0.01038716529491634 - 1.4858312682375452im, 1.5126088460439686 + 0.15785201772278581im, 1.5730214140270944 - 0.09243641505953883im, -2.1105254339788395 + 0.4242416803739473im, -0.9246294603413884 + 0.6097806661740012im, -0.5441980700088429 + 0.9264960629197903im, -1.5016006585426793 + 1.461938027409011im, -0.5560778741553286 + 1.614807003118653im, 0.11778284612788244 + 0.9419148040579849im, -0.62561451412754 - 0.8792822977325155im, 0.6232594407195413 - 0.3364954720978758im, -1.7401537300335106 + 0.31658034576440314im, -1.5294977256447477 + 1.3221443867353815im, 0.8515044017027312 + 1.0190768854879784im, 2.1162033651435483 + 1.8305630107981261im, 1.11050143119416 + 0.3620769180470525im, 0.8621522251964359 - 2.4917258413354237im, 1.2160910051422529 + 0.36264071625964944im, -1.5503819081678218 + 0.16601622679799205im, 1.2592179506073489 - 0.944824730140978im, 1.0696673192394541 - 0.8700084196133913im, 0.12247238063860788 - 0.6257560680227175im, -1.089574760951601 + 0.8854557103871763im, 0.756085856934081 - 0.3295150616755886im, 0.6737507794228006 - 1.3357619040319941im, 0.5755136651226377 - 0.11406584330830064im, 0.47376992285195807 + 0.625844579804593im, -0.6242837577652235 + 0.6629150039693522im, -0.01958360881434321 + 1.4039701243158877im, 1.0093296869960755 - 0.09400215497171713im, 0.36739337174367204 + 1.3411737983169965im, -0.734169419121716 - 0.8629531262807761im, 1.2519633846808418 - 0.9408261671862489im, -0.10493685381221737 + 0.0027984243543152567im, -0.3145854180992186 + 0.2122581877624861im, -0.368046064580052 - 0.2715912080623242im, -1.2370307121551682 - 1.1193470137782007im, 0.9719067562208993 + 0.02827674603769429im, 0.5461483750084166 + 0.37304001705842477im, -0.49682421583301145 + 0.5140861473051527im, -0.7916940781167359 - 0.3889294072820205im, 1.0204196929244134 - 0.2040251830146394im, -0.012889252106370893 - 0.13705401056793887im, -0.3977534012682997 + 0.9219994457936078im]"
